VK,HT,FT
16,18,-1
80,89,0
69,143,323
78,133,237
65,141,0
78,112,130
71,753,700
32,141,44
73,83,401
83,114,112
32,60,151
65,139,383
78,89,273
32,154,247
16,141,140
65,108,109
83,132,382
73,135,190
65,209,496
78,136,93
32,69,304
70,196,136
85,111,356
83,97,758
73,139,155
79,7,680
78,95,155
32,179,138
84,106,215
89,111,362
80,241,0
69,44,13
32,115,178
67,186,681
85,95,417
73,100,70
83,114,466
73,101,433
78,102,343
69,75,520
32,85,103
82,136,170
69,115,118
83,172,219
84,80,464
65,109,492
85,136,252
82,113,490
65,161,663
78,78,83
84,142,186
32,106,108
73,78,194
78,119,443
32,146,292
16,286,703
71,592,46
82,181,271
69,118,89
78,138,315
87,6,0
73,158,280
67,922,976
72,129,544
188,234,441
32,174,3
16,255,706
67,918,706
79,168,218
78,122,224
69,90,224
67,510,340
84,132,434
73,134,185
67,737,925
85,142,210
84,122,278
190,265,92
32,149,8
16,581,450
73,123,182
84,169,482
32,94,0
73,134,268
83,122,0
32,83,167
65,119,504
32,65,48
83,137,101
77,337,272
65,147,582
76,287,204
32,142,50
65,145,95
78,72,96
68,98,145
32,108,116
81,934,918
85,102,414
65,138,122
73,127,297
84,101,379
32,139,813
79,140,526
67,670,764
65,101,179
84,98,468
73,135,222
79,115,339
78,39,244
32,139,226
8,246,979
188,616,839
32,97,70
74,565,647
85,149,426
83,167,494
84,169,465
32,112,311
79,241,292
70,232,172
32,137,291
77,131,420
65,133,362
73,111,394
78,46,432
32,103,316
83,104,117
84,130,135
82,112,366
69,111,85
84,158,494
32,91,550
73,133,0
78,125,228
32,152,495
84,160,155
72,85,76
69,156,147
32,114,133
84,101,297
79,187,152
87,872,497
8,47,497
79,165,11
87,771,236
78,122,118
190,205,557
32,76,0
16,344,394
89,116,243
79,168,0
85,157,158
32,85,120
67,372,857
65,133,682
78,29,290
32,131,199
79,154,0
82,109,198
68,87,215
69,92,145
82,107,151
32,112,106
84,168,720
72,88,77
69,119,163
73,111,191
82,117,183
32,104,19
70,200,236
79,122,206
68,214,240
32,162,99
84,176,288
79,147,184
32,133,259
71,91,753
79,125,122
32,135,0
79,165,22
82,111,307
32,109,97
71,68,18
79,0,159
32,111,0
73,122,197
78,94,250
32,48,115
65,103,437
78,93,164
68,91,114
32,113,75
83,196,0
73,117,403
84,114,104
32,87,484
79,135,208
8,652,401
68,151,262
79,187,308
87,148,473
78,101,335
32,65,209
84,98,361
79,282,65
87,229,68
8,15,584
32,165,135
69,176,191
65,124,191
84,175,114
190,273,957
32,89,125
16,869,405
84,89,378
72,147,322
69,87,0
8,0,813
87,329,18
32,124,0
8,314,741
69,180,309
32,100,112
16,181,152
82,158,114
69,72,95
83,144,209
65,150,807
85,141,232
82,54,180
65,185,717
78,72,311
84,93,502
32,124,296
73,92,0
83,124,620
32,88,143
16,481,611
66,658,55
89,126,0
79,44,534
66,293,468
188,800,583
32,171,0
65,126,358
78,137,228
83,136,178
8,0,154
68,192,211
32,146,126
84,63,794
72,112,85
69,165,126
32,67,133
65,143,588
84,96,113
77,850,361
79,35,373
83,115,426
80,59,269
72,22,426
69,97,460
82,171,341
69,145,86
32,84,150
73,95,235
83,88,780
32,98,156
82,118,486
69,56,125
65,147,468
88,43,851
69,126,135
68,113,196
32,140,69
65,120,494
78,110,29
68,108,157
32,102,166
8,0,743
76,90,400
65,104,107
88,924,4
69,195,322
8,270,0
186,588,909
8,103,909
76,96,208
65,142,349
88,999,335
69,166,174
68,27,233
188,168,804
32,64,42
87,29,642
65,179,683
82,76,0
77,872,191
188,776,961
32,158,301
65,113,255
78,128,234
68,81,157
32,98,59
85,126,145
80,250,317
66,533,698
69,174,254
65,161,0
84,134,215
32,110,0
87,330,104
73,112,501
84,155,113
72,190,241
79,0,579
85,111,244
84,152,75
32,118,520
66,509,538
69,106,215
73,122,334
78,74,259
71,318,154
32,115,319
84,149,142
79,46,479
32,84,131
76,0,193
79,49,247
85,134,447
68,111,222
190,677,230
32,111,291
16,28,7
65,158,446
76,187,315
83,122,462
79,39,302
188,746,490
32,204,125
84,156,340
72,98,158
69,132,286
32,129,132
82,121,99
80,218,442
8,128,296
80,115,108
82,147,433
73,145,186
67,532,839
69,37,328
83,120,462
32,100,138
65,147,349
82,119,261
69,160,89
32,110,80
76,157,179
79,194,0
87,406,278
69,168,238
82,101,308
32,108,104
65,147,432
78,81,245
8,538,376
84,130,290
72,144,201
65,152,425
78,67,74
32,176,192
82,119,259
