VK,HT,FT
16,205,-1
80,145,160
69,97,250
78,208,247
65,149,94
78,110,157
71,86,416
32,150,146
73,102,169
83,133,185
65,133,37
8,116,491
32,147,1158
65,128,244
32,108,158
65,123,170
83,134,148
73,88,350
65,81,146
78,141,175
32,155,188
70,132,170
85,88,136
83,86,160
73,89,212
79,95,192
78,122,68
32,126,169
84,66,137
89,0,201
80,126,192
69,72,127
32,70,145
81,76,340
85,108,162
73,63,96
83,62,108
73,53,136
78,135,192
69,83,118
32,95,386
69,78,166
8,82,285
82,145,160
69,122,191
83,123,137
84,128,317
65,69,471
85,62,201
82,110,425
65,93,105
84,126,343
32,128,187
73,78,138
78,146,134
32,113,46
16,750,391
71,92,140
82,197,188
69,162,250
78,79,153
87,108,391
73,126,224
88,130,192
8,1498,550
67,94,489
72,4,112
188,46,249
32,103,129
16,1060,531
67,109,147
79,72,72
78,71,426
69,86,255
84,121,128
8,151,957
67,63,120
84,117,289
73,103,50
67,62,234
85,67,201
84,130,185
190,138,204
32,110,88
16,358,121
73,62,127
84,99,256
32,76,310
73,77,83
83,135,132
32,96,146
65,95,185
32,43,130
83,156,240
77,0,155
65,126,281
76,8,145
32,102,211
76,62,144
79,118,280
67,112,223
65,117,137
84,106,151
8,58,226
65,139,165
78,102,277
68,98,151
32,97,94
81,133,82
85,56,270
65,134,212
73,63,137
78,110,112
84,111,212
32,158,125
76,82,148
79,95,212
67,81,103
65,119,144
84,146,250
73,158,190
79,76,98
188,110,225
8,111,346
78,109,262
188,110,180
32,176,192
74,70,586
85,57,223
83,193,128
84,52,178
32,148,78
79,142,421
70,65,119
32,84,134
79,63,275
70,101,160
32,93,162
72,66,103
8,125,603
84,90,136
72,115,128
69,85,144
32,126,98
77,68,128
65,61,144
73,137,75
78,84,112
32,78,45
83,10,129
84,126,504
82,73,203
69,235,120
84,91,387
32,78,143
73,69,214
78,151,100
32,94,192
84,190,121
72,100,102
69,167,128
32,160,122
84,17,144
79,77,109
87,126,139
78,94,159
190,78,241
32,133,122
16,295,182
89,70,162
79,169,381
85,142,151
32,146,298
67,141,526
65,93,94
78,67,183
32,139,107
79,73,595
82,124,303
68,107,192
69,124,192
82,101,152
32,211,264
84,120,129
72,139,110
69,75,106
73,140,163
82,94,137
32,111,132
70,82,205
79,242,167
68,124,328
32,85,264
79,131,188
84,46,215
8,253,523
84,110,420
79,94,153
32,178,1136
71,123,396
79,110,223
32,112,135
79,33,209
82,61,113
32,129,136
71,158,208
79,143,142
32,117,115
79,102,159
8,109,518
73,105,307
78,104,262
32,69,145
65,117,295
78,91,153
68,133,103
32,141,62
83,92,124
73,78,137
84,96,214
32,60,127
68,63,665
79,68,166
87,85,139
32,69,121
78,46,240
32,98,1115
84,170,171
79,260,124
32,107,112
8,842,324
78,102,73
32,68,146
84,126,367
79,92,155
32,101,74
69,96,315
65,77,103
84,132,230
190,106,126
32,168,158
16,69,200
84,122,259
72,72,176
8,41,461
32,110,139
16,808,266
84,86,144
72,69,200
69,63,98
32,110,161
82,95,-1
69,106,183
83,142,256
84,46,215
65,114,200
85,86,176
82,55,163
65,65,208
78,69,144
84,66,129
32,108,129
73,100,292
83,44,149
32,87,139
16,214,781
66,193,619
89,78,47
79,119,103
66,67,260
188,125,76
32,102,137
65,61,167
78,79,151
68,98,120
32,63,119
84,176,216
72,111,112
69,93,143
32,89,160
65,42,298
84,70,194
77,134,89
79,154,148
83,99,164
84,117,91
80,104,240
72,155,126
69,119,246
82,182,113
69,110,153
32,87,165
73,140,220
83,94,101
32,50,176
82,124,520
69,124,100
65,148,242
88,62,216
69,78,207
68,110,213
188,77,171
32,109,102
8,967,661
76,113,169
65,149,159
88,94,320
69,83,96
68,125,343
188,70,168
32,127,120
87,106,125
65,166,266
82,92,111
77,87,135
188,108,288
32,96,228
65,103,207
78,94,133
68,126,84
32,105,93
85,162,392
80,0,207
66,142,129
69,109,60
65,143,134
84,105,216
32,98,149
87,79,176
73,77,144
84,118,176
72,199,127
79,124,147
85,86,112
84,142,407
32,17,134
66,82,118
69,141,133
73,102,169
78,109,121
71,105,1261
32,110,145
84,87,121
79,139,215
32,103,220
76,89,207
79,95,228
85,83,105
68,145,241
190,102,200
32,97,288
16,183,290
65,88,119
76,93,98
83,55,340
8,609,369
83,56,37
79,107,72
188,89,297
32,75,136
84,157,335
72,118,132
69,22,141
32,104,87
80,7,124
82,54,379
73,196,175
67,134,95
69,118,222
83,144,102
32,52,153
65,96,152
82,91,120
69,115,81
32,89,64
76,86,202
79,225,173
87,107,73
69,176,112
82,165,103
32,118,149
65,73,89
78,76,156
68,133,112
32,118,135
82,141,197
69,148,57
83,135,192
8,81,803
65,77,541
83,132,144
79,85,344
78,114,241
65,97,90
66,110,147
76,18,137
69,129,152
32,126,246
70,89,239
79,278,144
82,142,113
32,69,137
84,147,175
72,57,119
69,67,96
32,75,126
81,129,409
85,93,159
65,109,120
76,105,184
73,96,203
84,66,225
89,74,182
32,148,98
65,100,284
78,192,144
68,111,152
32,85,67
65,86,202
77,86,143
79,191,152
85,62,144
78,54,191
84,74,153
32,94,147
79,143,123
70,64,132
32,82,128
68,82,224
8,199,486
70,126,480
79,155,155
68,68,268
32,122,118
89,78,372
79,149,218
85,116,122
32,80,43
82,125,296
69,99,127
67,129,192
73,110,127
69,105,276
86,110,201
69,86,187
188,110,209
32,69,935
65,86,128
78,124,97
68,114,159
32,87,81
84,133,759
72,126,112
69,32,100
32,125,96
81,129,155
85,102,117
65,69,197
76,131,171
73,64,124
84,100,105
89,40,253
32,91,368
65,154,187
78,56,142
68,114,98
32,126,172
69,83,155
70,77,193
79,140,206
82,113,141
32,70,123
8,76,85
84,172,1165
32,82,242
84,77,318
72,65,70
69,70,120
32,125,91
83,95,113
69,3,111
82,105,81
86,68,235
69,423,80
82,158,168
8,228,104
65,110,205
8,67,584
69,126,112
82,92,110
83,100,130
32,147,111
80,86,262
85,62,152
84,102,151
32,86,451
70,77,112
79,140,89
82,83,149
84,46,348
72,140,143
190,53,957
8,1218,645
84,151,375
72,2,145
65,148,103
78,82,194
32,70,147
8,51,1073
32,270,296
16,161,271
73,99,155
84,140,204
83,114,188
8,849,288
222,78,1087
83,148,339
32,147,168
70,94,285
85,94,78
78,77,228
32,126,122
79,177,280
82,106,121
32,91,170
80,101,257
69,184,160
79,95,164
80,116,342
76,85,256
69,99,337
32,109,159
79,59,55
70,62,119
32,132,94
65,156,192
76,93,136
32,95,278
65,99,134
71,69,108
69,27,209
83,107,191
188,49,262
32,133,192
70,91,519
65,148,169
77,103,168
73,105,133
76,152,161
73,147,229
69,77,128
83,140,175
32,118,90
65,43,357
78,116,98
68,161,67
32,130,237
89,21,418
79,117,102
85,101,159
78,74,160
71,59,144
69,1,137
82,148,105
32,99,143
66,134,244
85,83,112
83,93,148
73,110,145
78,126,112
69,134,118
83,317,359
32,94,268
80,108,302
69,78,120
79,62,329
80,142,339
76,142,232
69,115,97
188,95,194
32,78,122
71,110,187
82,232,224
69,199,200
65,117,136
84,134,90
32,125,116
8,298,1016
70,106,147
79,216,136
82,105,114
32,103,144
76,107,218
85,117,226
78,75,226
67,111,280
72,71,47
32,122,192
79,50,223
82,146,383
32,119,167
68,84,192
73,96,127
78,209,81
69,91,113
82,99,152
188,95,102
32,134,188
68,136,172
69,69,117
76,155,76
73,119,140
67,78,906
73,164,147
79,158,106
85,86,203
83,65,103
32,138,72
65,118,120
78,103,166
68,130,136
32,113,149
73,75,246
78,182,263
69,108,112
88,121,234
8,1498,320
69,141,709
88,105,319
80,83,200
69,190,184
78,126,660
83,11,248
73,87,118
86,78,192
69,103,197
32,1,156
70,119,184
79,221,83
68,95,248
188,77,409
32,109,152
74,70,144
85,86,232
83,192,151
84,122,122
32,125,120
65,125,168
78,101,133
32,72,139
65,119,269
76,69,170
32,150,272
65,90,184
82,145,160
79,33,199
85,313,77
78,54,223
68,82,124
32,147,180
71,67,740
79,237,208
68,108,259
32,74,185
16,175,110
65,65,111
83,94,281
73,101,208
65,69,149
78,85,174
32,96,129
70,63,294
79,188,161
68,2,374
32,59,160
69,125,226
88,102,240
80,53,326
69,107,135
82,99,137
73,105,119
69,55,112
78,56,226
69,100,746
8,358,576
67,83,1247
69,100,125
190,162,207
