VK,HT,FT
16,439,-1
80,160,219
69,122,167
78,96,269
65,136,230
78,122,334
71,131,155
32,105,189
73,117,313
83,136,178
65,118,321
8,374,426
32,115,167
65,123,349
32,83,111
65,142,368
83,143,154
73,155,247
65,139,327
78,128,196
32,113,166
70,134,284
85,104,260
83,123,174
73,159,215
79,152,95
78,111,210
32,122,132
84,118,228
89,112,341
80,144,348
69,140,316
32,93,139
81,966,134
85,126,293
73,117,346
83,144,237
73,152,227
78,97,241
69,76,270
32,110,118
69,119,386
8,314,449
82,121,346
69,164,129
83,127,287
84,122,248
65,132,225
85,110,210
82,108,322
65,140,222
84,126,250
32,108,147
73,133,214
78,112,173
32,124,105
16,474,551
71,111,310
82,115,256
69,134,117
78,100,265
87,143,204
73,127,170
88,116,605
8,196,550
67,114,368
72,113,144
188,158,402
32,102,251
16,402,498
67,117,256
79,162,175
78,117,258
69,95,289
84,122,298
8,185,573
67,112,398
84,114,285
73,125,206
67,143,374
85,116,308
84,115,235
190,129,331
32,130,188
16,472,444
73,95,350
84,130,307
32,131,284
73,131,450
83,142,169
32,97,110
65,132,232
32,95,133
83,114,466
77,116,351
65,118,221
76,287,242
32,112,167
76,142,277
79,158,302
67,126,271
65,124,326
84,122,252
8,217,552
65,143,308
78,127,207
68,132,174
32,107,118
81,217,125
85,123,309
65,126,265
73,120,196
78,135,235
84,127,320
32,118,136
76,101,265
79,163,292
67,130,269
65,147,266
84,108,242
73,131,192
79,167,105
188,157,515
8,316,584
78,108,255
188,161,391
32,118,177
74,488,304
85,129,293
83,157,203
84,104,330
32,118,128
79,147,378
70,172,171
32,122,133
79,120,673
70,165,261
32,122,169
72,95,120
8,261,610
84,124,233
72,111,165
69,134,258
32,106,132
77,105,333
65,142,336
73,132,312
78,120,250
32,116,93
83,107,456
84,104,291
82,132,275
69,159,106
84,112,216
32,139,201
73,139,545
78,100,195
32,142,104
84,106,214
72,85,102
69,139,279
32,97,138
84,140,308
79,126,153
87,126,398
78,121,188
190,131,273
32,95,161
16,489,546
89,106,327
79,150,191
85,127,185
32,110,127
67,120,322
65,133,337
78,126,323
32,98,169
79,120,321
82,116,164
68,126,263
69,109,208
82,111,162
32,112,104
84,117,233
72,100,91
69,121,210
73,136,242
82,112,352
32,116,108
70,118,307
79,252,130
68,126,322
32,95,135
79,115,585
84,123,377
8,282,458
84,112,220
79,136,134
32,132,202
71,122,291
79,152,351
32,109,153
79,117,426
82,116,185
32,106,107
71,121,308
79,169,226
32,102,160
79,152,432
8,174,418
73,131,169
78,109,245
32,127,101
65,132,375
78,125,326
68,135,217
32,101,145
83,104,445
73,159,231
84,122,306
32,127,261
68,101,199
79,147,173
87,124,256
32,130,160
78,129,764
32,130,130
84,110,222
79,145,163
32,127,172
8,393,580
78,114,303
32,113,119
84,119,219
79,120,168
32,118,212
69,111,393
65,149,292
84,113,295
190,122,312
32,102,200
16,553,573
84,122,318
72,105,111
8,220,489
32,100,110
16,448,452
84,117,314
72,94,169
69,135,225
32,98,123
82,127,399
69,112,111
83,133,253
84,122,407
65,127,263
85,104,241
82,105,246
65,141,208
78,113,274
84,134,215
32,112,146
73,137,582
83,137,219
32,90,118
16,434,502
66,87,488
89,105,426
79,145,156
66,91,529
188,158,466
32,112,164
65,124,367
78,116,170
68,141,237
32,92,151
84,113,312
72,106,127
69,139,272
32,113,123
65,132,320
84,120,296
77,101,321
79,158,259
83,143,190
84,100,190
80,169,358
72,110,220
69,123,253
82,115,259
69,157,142
32,108,168
73,123,442
83,146,158
32,94,134
82,134,459
69,96,114
65,133,353
88,116,671
69,110,277
68,130,245
188,163,350
32,121,200
8,445,643
76,111,355
65,131,228
88,123,668
69,118,235
68,136,246
188,160,289
32,106,191
87,117,271
65,166,157
82,108,375
77,121,231
188,168,422
32,105,172
65,133,339
78,108,254
68,123,177
32,102,138
85,114,313
80,159,285
66,105,337
69,98,212
65,131,314
84,112,281
32,91,135
87,115,241
73,116,362
84,111,353
72,112,127
79,174,87
85,129,189
84,119,213
32,125,105
66,95,393
69,83,236
73,133,318
78,112,240
71,134,103
32,97,143
84,103,374
79,133,151
32,89,153
76,135,295
79,144,332
85,118,188
68,114,205
190,144,339
32,113,185
16,546,472
65,125,250
76,162,217
83,131,215
8,335,516
83,129,323
79,121,189
188,149,485
32,116,241
84,107,402
72,94,102
69,125,228
32,111,125
80,182,233
82,116,353
73,128,233
67,132,310
69,125,220
83,127,286
32,120,114
65,125,223
82,105,440
69,170,140
32,110,113
76,132,315
79,145,181
87,142,203
69,144,260
82,110,251
32,105,126
65,139,348
78,127,245
68,131,227
32,100,111
82,122,410
69,106,97
83,132,277
8,220,553
65,138,291
83,118,151
79,162,131
78,142,264
65,118,317
66,92,319
76,130,411
69,146,253
32,99,110
70,133,304
79,242,138
82,126,164
32,110,114
84,138,329
72,85,100
69,124,208
32,106,116
81,863,340
85,115,301
65,138,259
76,169,236
73,124,228
84,131,320
89,96,307
32,103,117
65,138,399
78,110,141
68,128,233
32,104,140
65,140,250
77,122,134
79,157,392
85,108,184
78,101,250
84,141,316
32,119,132
79,138,375
70,149,208
32,120,130
68,94,260
8,151,459
70,134,304
79,269,135
68,113,339
32,88,130
89,103,379
79,165,240
85,129,154
32,132,132
82,119,376
69,98,114
67,127,283
73,118,232
69,144,152
86,96,314
69,114,218
188,161,470
32,111,209
65,137,231
78,109,314
68,141,161
32,109,110
84,112,225
72,97,116
69,130,190
32,110,124
81,799,236
85,122,338
65,120,277
76,177,239
73,129,175
84,147,295
89,97,233
32,115,109
65,134,260
78,120,159
68,131,154
32,98,113
69,123,292
70,149,235
79,202,158
82,115,194
32,111,113
8,282,445
84,126,282
32,123,206
84,131,400
72,87,123
69,128,256
