VK,HT,FT
16,200,-1
84,160,133
72,96,240
69,122,135
32,120,80
69,0,108
78,80,250
86,128,240
73,79,120
82,137,146
79,80,152
78,135,74
77,96,176
69,144,144
78,104,255
84,120,225
32,120,96
73,96,125
83,110,168
32,120,104
87,160,162
65,104,113
82,120,284
77,120,132
32,160,160
65,180,240
78,144,120
68,122,94
32,124,120
77,104,160
65,120,817
75,120,160
69,201,136
83,120,447
32,139,160
89,120,292
79,159,120
85,81,66
32,144,160
70,82,189
69,136,118
76,144,192
32,85,176
87,120,161
69,81,208
76,42,112
67,120,224
79,80,168
77,82,157
69,144,144
190,144,407
32,144,184
16,478,247
73,120,99
32,126,203
76,271,203
79,96,195
86,104,476
69,5,208
32,125,104
83,120,488
84,154,150
69,119,176
65,104,161
75,104,145
32,142,218
65,143,278
78,144,160
68,128,160
32,144,104
84,140,135
72,120,144
69,128,96
73,104,224
82,144,147
32,120,188
87,128,208
8,104,376
83,136,328
84,0,216
69,104,178
65,142,144
75,124,225
32,144,253
73,96,536
83,126,132
32,144,104
84,120,9
72,119,12
69,128,141
32,136,80
66,4,338
69,144,142
83,120,224
84,120,166
32,98,96
73,4,640
78,104,219
32,141,157
77,120,187
89,96,414
32,160,291
65,134,184
82,132,180
69,144,120
65,152,144
190,168,604
32,120,240
16,257,288
73,225,297
32,136,105
72,120,160
65,140,104
86,137,694
69,144,276
32,120,174
66,120,598
69,105,224
78,96,239
32,137,144
86,108,288
73,84,216
83,144,142
73,79,104
84,120,160
73,1,144
78,120,176
71,136,168
32,120,67
84,172,1179
72,119,178
69,60,96
32,118,80
73,111,650
8,104,374
73,133,80
83,146,127
32,1,140
82,172,536
69,144,163
65,120,242
8,120,681
83,128,408
84,144,111
65,115,160
85,120,243
82,120,118
65,167,135
78,120,171
84,144,192
32,110,160
70,90,249
79,96,83
82,120,142
32,9,98
77,144,189
79,120,198
82,144,120
69,117,120
32,120,104
84,159,242
72,127,108
65,101,19
78,102,120
32,143,192
49,58,501
48,15,247
32,160,200
89,28,185
69,120,173
65,120,186
82,2,168
83,139,96
190,144,245
32,120,186
8,87,707
32,144,200
65,160,96
78,120,68
68,120,27
32,139,104
75,120,200
69,96,388
80,0,184
32,144,104
67,138,288
79,120,144
77,93,145
73,120,111
78,98,152
71,136,168
32,128,222
66,91,236
65,120,232
67,126,226
75,129,160
32,157,192
87,49,470
72,120,196
69,104,80
78,80,144
69,128,232
86,120,257
