VK,HT,FT
16,406,-1
87,124,524
79,118,117
87,102,292
188,99,588
32,134,443
16,411,406
74,101,439
32,140,197
83,110,536
85,112,234
83,103,201
72,168,161
73,132,193
32,174,312
73,128,299
8,597,760
16,434,473
83,123,275
85,112,230
83,109,278
72,178,190
73,126,279
32,163,221
73,114,281
83,119,392
32,118,318
66,112,178
89,96,208
32,152,252
84,116,158
72,117,118
65,129,143
82,103,167
32,146,136
84,117,183
72,120,100
69,116,130
32,142,138
66,101,264
69,137,291
83,143,249
84,116,148
32,143,140
83,103,299
85,119,320
83,106,278
72,173,115
73,135,180
32,161,287
82,149,176
69,121,129
83,144,264
84,129,287
65,107,322
85,119,160
82,118,146
65,107,220
78,117,114
84,153,113
32,138,312
84,113,81
72,121,104
65,123,153
84,105,116
32,146,198
16,272,447
73,115,92
32,133,184
72,133,148
65,131,148
86,102,145
69,109,155
32,133,176
69,132,174
86,103,178
69,128,178
82,127,155
32,142,145
66,104,138
69,111,151
78,118,177
32,157,246
84,108,192
79,245,120
8,740,857
79,113,148
190,105,313
32,148,244
16,284,264
84,112,177
72,117,81
69,122,109
32,149,160
70,107,178
73,119,193
78,120,250
73,122,157
83,106,279
72,132,154
32,145,138
8,332,741
83,125,241
72,125,155
8,353,877
83,138,176
72,140,161
32,151,241
73,127,182
83,127,177
32,137,277
70,116,210
82,98,196
69,124,136
83,150,313
72,125,182
32,129,306
65,112,412
78,112,129
68,132,146
32,142,288
84,108,131
72,112,94
69,121,144
32,141,189
82,126,240
79,137,187
76,145,160
83,141,269
32,124,255
65,106,385
82,91,178
69,122,133
32,141,184
73,126,186
78,121,227
67,88,260
82,124,163
69,103,179
68,108,157
73,116,140
66,100,114
76,182,216
69,115,175
190,98,463
32,139,303
16,339,438
65,123,175
78,106,141
68,125,155
32,130,264
84,106,108
72,127,95
69,109,149
89,123,161
32,138,253
68,121,172
79,127,136
78,122,136
222,702,289
84,113,129
32,131,343
83,101,159
75,106,128
73,128,163
77,147,179
80,142,169
32,174,127
76,128,218
73,126,124
75,104,164
69,144,153
32,134,135
79,158,133
84,116,257
72,120,179
69,123,130
82,116,141
32,148,127
83,118,158
85,108,236
83,108,287
72,169,123
73,127,258
32,158,331
82,143,190
69,111,136
83,146,264
84,123,293
65,113,282
85,107,167
82,115,168
65,108,357
78,108,119
84,150,118
83,157,231
32,93,164
84,127,186
89,107,141
80,172,153
73,112,155
67,93,386
65,120,181
76,239,124
89,122,244
32,154,208
68,108,128
79,135,122
190,111,310
32,150,224
16,323,585
87,113,372
72,115,157
69,123,124
82,129,129
69,132,143
32,146,177
77,113,225
79,113,134
83,141,304
84,109,208
32,142,196
71,113,161
73,127,163
86,115,156
69,129,148
32,129,179
70,98,215
76,126,179
65,111,360
84,101,197
32,146,261
65,109,311
78,113,105
68,130,149
32,143,136
85,108,251
78,126,183
65,111,292
80,128,184
69,127,224
84,105,137
73,146,190
88,270,80
8,276,763
90,578,340
73,109,154
78,112,245
71,127,108
32,137,159
84,108,117
79,210,133
76,164,167
83,115,222
8,446,780
82,113,249
79,112,160
76,125,199
83,140,257
188,110,571
32,137,398
16,440,369
74,111,344
32,135,138
16,312,486
83,130,241
85,111,226
83,106,197
72,176,145
73,132,333
32,164,244
83,105,210
69,95,203
82,99,154
86,105,203
69,130,142
83,123,243
32,135,152
84,125,213
72,107,125
69,117,112
77,145,289
32,138,218
66,106,205
85,97,242
82,127,145
83,116,324
84,131,117
73,130,223
78,106,240
71,129,129
32,134,144
65,116,230
84,104,108
32,135,193
84,111,132
72,120,97
69,114,111
32,152,161
83,111,387
69,102,188
65,114,259
77,148,190
83,137,216
32,124,208
87,109,261
73,119,213
84,100,266
72,108,123
32,141,201
70,105,226
82,107,208
69,117,195
83,163,307
72,150,229
32,128,235
73,125,290
78,109,218
71,120,111
82,110,200
69,109,147
68,115,265
73,129,131
69,119,240
78,101,158
84,155,104
83,174,135
32,100,200
84,125,127
72,116,113
65,111,122
84,102,105
32,147,239
87,98,305
73,128,193
76,166,213
32,151,269
72,127,134
65,105,125
86,106,188
69,120,145
32,137,141
89,118,205
79,133,112
85,104,97
32,138,333
67,90,266
79,118,150
77,157,269
73,112,217
78,106,218
71,119,142
32,129,159
66,108,248
65,112,234
67,88,276
75,106,142
32,131,231
70,115,237
79,150,125
82,113,279
32,134,121
77,127,216
79,147,161
82,113,188
69,128,178
190,100,687
32,136,285
16,282,551
84,106,211
72,110,188
69,126,141
32,140,153
83,117,358
84,126,139
65,116,186
70,106,204
32,147,223
73,128,284
83,121,233
32,133,328
73,131,241
78,108,197
67,99,293
82,101,170
69,105,150
68,116,181
73,114,140
66,107,251
76,167,176
69,111,158
32,141,143
65,117,262
78,105,150
68,132,154
32,137,135
73,128,272
83,118,131
32,129,325
77,105,188
79,116,106
82,120,222
69,124,176
32,140,200
84,107,89
72,117,113
65,123,141
78,108,112
8,633,794
69,128,146
78,125,136
32,137,218
72,125,209
