VK,HT,FT
16,369,-1
73,144,144
32,163,151
84,63,115
82,141,176
89,96,103
32,140,129
84,111,79
79,40,329
32,0,62
71,80,119
69,114,145
84,120,85
32,89,74
79,132,225
85,97,77
84,73,93
32,77,86
84,157,203
79,143,47
32,93,48
16,176,201
83,127,78
67,119,390
79,71,69
84,100,91
83,87,179
32,109,131
8,452,908
222,102,315
83,19,115
32,121,176
65,120,436
83,133,81
32,127,23
77,109,200
85,77,213
67,96,93
72,116,96
32,89,63
65,122,93
83,132,140
32,36,85
80,79,95
79,109,91
83,207,129
65,174,70
66,124,438
76,180,165
69,69,152
32,95,763
8,1500,415
190,111,558
32,95,174
16,181,213
84,126,55
8,465,723
32,93,353
16,269,43
83,96,423
69,304,178
65,104,145
70,63,141
79,202,204
68,80,258
190,90,187
32,93,278
16,228,67
84,111,135
72,81,130
69,112,96
32,193,188
69,64,195
86,71,242
73,144,112
82,64,104
79,248,112
77,120,100
69,108,300
78,63,99
84,88,120
32,112,86
73,87,144
83,83,70
32,104,62
86,118,160
69,121,190
82,80,87
89,84,200
32,245,160
82,112,928
69,71,80
76,134,224
65,153,242
88,80,152
73,79,77
78,97,183
71,109,167
188,75,289
32,2,104
87,81,140
73,86,80
84,102,144
72,109,78
32,3,104
83,59,153
79,213,97
70,80,227
84,27,213
32,134,190
87,86,145
65,148,119
82,97,92
77,116,126
32,113,196
76,69,157
73,112,190
71,252,143
72,71,140
84,79,152
32,169,32
8,232,492
190,80,398
32,206,230
16,156,315
84,110,53
72,95,153
69,141,64
32,95,58
86,113,660
69,181,30
73,70,80
87,117,232
32,158,242
8,1500,1192
16,183,359
84,96,69
72,72,247
69,168,117
32,95,216
68,110,236
73,110,143
78,124,208
73,129,442
78,47,184
71,50,87
32,70,98
82,112,185
79,270,96
77,171,95
32,113,206
73,112,142
83,104,181
32,128,118
66,139,190
85,61,128
73,142,325
84,206,209
73,112,98
70,144,234
85,64,59
76,71,196
32,171,340
65,210,67
78,98,213
68,80,94
32,78,25
83,119,199
69,133,171
65,88,213
84,120,56
83,136,479
32,144,197
65,125,196
66,13,144
79,148,128
85,95,151
84,60,81
32,118,130
68,83,192
79,95,119
85,112,79
66,77,452
76,106,175
87,119,400
32,125,164
87,95,171
72,120,40
65,120,103
84,62,240
32,93,67
89,83,76
79,125,79
85,112,106
32,158,8
87,58,244
79,144,257
85,127,65
76,152,132
68,78,125
32,116,88
69,106,233
88,43,234
80,122,67
69,152,92
67,116,367
84,87,400
32,148,276
70,83,185
82,110,103
79,148,41
77,146,107
32,72,186
87,96,72
72,147,164
65,164,55
84,92,56
32,94,142
89,72,136
79,194,153
85,111,53
32,166,142
83,114,112
69,192,246
32,152,136
8,594,563
74,86,135
85,64,208
83,80,80
84,114,80
32,87,96
82,155,109
8,202,772
84,94,274
32,143,103
68,96,196
82,156,187
73,105,77
86,144,297
73,119,120
78,135,48
71,111,124
32,60,94
66,71,155
89,111,83
190,65,302
32,142,74
16,357,130
84,168,151
72,45,82
69,110,99
32,102,80
83,124,239
69,110,245
82,130,201
86,112,249
73,127,112
67,127,156
69,113,8
32,160,67
73,124,90
83,96,128
32,99,111
69,65,161
88,22,163
67,139,282
69,75,116
76,215,112
69,116,200
78,63,72
84,70,115
32,99,82
65,63,188
78,133,88
68,117,93
32,105,101
86,134,173
69,19,682
82,82,84
89,127,66
32,68,397
73,130,538
78,97,152
70,105,248
79,95,302
82,106,176
77,116,119
65,116,160
84,79,69
73,210,70
86,4,134
69,137,33
32,194,72
65,87,76
66,148,76
79,114,136
85,112,110
84,72,17
32,65,133
84,152,66
72,104,91
69,112,119
32,120,66
68,28,687
73,112,397
83,160,360
72,90,65
69,145,131
83,116,108
32,95,184
84,97,1112
72,109,37
69,107,136
89,101,55
32,85,57
77,123,76
65,104,111
75,89,83
69,143,127
32,66,342
8,964,562
190,135,442
32,112,142
16,610,461
73,116,243
70,121,44
32,110,65
89,74,140
79,135,169
85,106,22
32,169,93
65,112,26
82,132,47
69,130,46
32,109,68
76,55,157
79,299,192
75,109,292
73,127,138
78,126,92
71,82,59
32,158,67
70,106,117
79,151,112
82,95,112
32,94,90
70,108,98
82,112,152
69,104,209
83,112,321
72,124,13
188,112,150
32,118,116
84,80,622
79,53,120
80,185,326
32,76,189
79,184,301
70,104,188
8,113,542
81,156,150
85,112,501
73,126,100
76,192,474
73,88,327
84,94,124
89,83,106
188,55,353
32,144,136
8,113,682
32,96,296
72,144,178
73,103,131
71,144,326
72,102,26
32,127,188
83,144,73
69,182,80
65,111,112
70,88,166
79,65,308
68,69,184
32,56,96
16,96,153
83,96,134
67,125,68
79,115,252
84,64,152
222,115,119
83,160,80
32,62,90
73,103,680
83,94,63
32,79,72
84,34,25
72,145,4
69,61,144
32,113,110
79,223,191
78,128,195
76,192,80
89,76,109
32,95,125
80,64,94
76,131,71
65,113,155
67,116,112
69,121,138
32,104,520
16,186,275
73,65,89
32,101,127
87,160,116
79,97,100
85,66,111
76,146,165
68,127,250
32,131,128
82,218,652
69,103,142
67,112,192
79,52,75
77,222,191
69,141,663
78,152,112
68,78,100
190,96,223
32,6,186
70,80,67
82,88,200
79,100,92
77,164,88
32,101,55
79,44,152
78,144,177
