VK,HT,FT
16,393,-1
73,83,197
32,104,147
87,129,206
69,143,171
78,106,136
84,89,197
32,96,133
84,91,212
79,69,163
32,104,244
16,429,283
65,140,235
83,135,165
66,103,278
85,86,187
82,128,163
89,77,245
32,89,195
16,429,283
70,104,248
85,86,187
83,144,240
73,88,219
79,101,196
78,97,171
32,94,160
16,429,283
73,81,193
78,103,137
68,106,119
73,88,219
65,136,214
78,98,152
32,98,166
16,429,283
66,103,278
73,88,219
83,145,187
84,89,328
82,103,205
79,101,196
32,104,244
84,91,212
72,85,116
69,110,148
32,90,110
79,85,261
84,100,214
72,85,127
69,114,144
82,102,155
32,93,183
68,109,226
65,140,235
89,77,245
32,89,195
65,133,293
78,91,105
68,110,105
32,83,92
73,94,358
16,393,314
32,90,64
8,298,422
16,393,314
73,83,197
32,104,147
87,129,206
65,140,235
83,135,165
32,102,84
80,93,218
76,126,186
69,120,206
65,137,180
83,135,165
69,131,223
78,106,136
84,89,197
8,262,396
65,139,272
8,262,396
65,139,272
78,98,152
84,89,197
76,126,186
89,77,245
32,89,195
83,133,398
85,86,187
82,128,163
80,112,197
82,103,205
73,83,130
83,145,187
69,131,223
68,109,226
190,105,527
32,166,265
16,432,216
32,81,59
73,94,358
84,86,202
32,96,133
73,94,358
83,145,187
32,97,129
65,130,279
32,109,103
71,87,392
82,103,205
69,127,162
65,140,173
84,112,118
32,92,120
73,94,358
78,103,137
68,106,119
73,88,219
65,136,214
78,98,152
32,98,166
70,83,279
79,140,130
68,106,387
32,87,127
82,95,410
69,105,161
83,157,240
84,89,328
85,86,187
82,128,163
8,262,396
65,139,272
82,109,169
85,86,187
65,140,235
78,98,152
84,89,197
32,96,133
84,91,212
72,85,116
65,152,112
84,112,118
32,92,120
16,429,283
73,81,193
32,104,147
87,129,206
73,88,219
76,126,186
32,109,249
65,133,293
66,103,278
83,144,240
79,78,168
76,126,186
85,86,187
84,100,214
76,126,186
8,262,396
69,120,206
76,126,186
89,77,245
32,89,195
71,87,392
79,225,123
32,104,244
84,91,212
79,69,163
32,104,244
65,133,293
71,84,270
65,140,235
73,88,219
78,103,137
190,105,527
32,166,265
16,432,216
73,81,193
32,104,147
67,111,278
72,88,174
79,101,196
83,144,240
69,131,223
32,95,136
65,133,293
32,109,103
66,104,278
85,86,187
84,100,214
69,120,206
82,102,155
32,93,183
67,111,278
72,88,174
73,88,219
75,127,199
67,126,260
8,262,396
67,126,260
75,127,199
69,105,217
78,106,136
84,89,197
32,96,133
8,298,422
32,101,173
87,129,206
73,88,219
84,86,202
72,85,127
32,101,173
65,133,293
32,109,103
83,133,398
77,128,224
8,262,396
65,139,272
77,128,224
79,101,196
83,144,240
65,140,235
32,111,145
65,133,293
83,135,165
32,102,84
77,117,276
89,77,245
32,89,195
77,117,276
65,120,179
73,88,219
78,103,137
32,98,166
67,111,278
79,107,129
85,80,178
82,128,163
83,157,208
69,131,223
190,105,527
32,166,265
16,432,216
73,81,193
84,86,202
32,96,133
79,85,261
70,120,158
32,81,113
67,111,278
79,107,129
85,80,178
82,128,163
83,157,208
69,131,223
32,95,136
87,129,206
73,88,219
8,262,396
65,139,272
83,135,165
32,102,84
65,130,279
67,126,260
79,105,143
77,143,164
80,112,197
65,140,235
78,98,152
73,88,219
69,120,206
68,109,226
32,87,127
66,104,278
85,86,187
8,262,396
89,77,245
8,262,396
66,103,278
89,77,245
32,89,195
65,133,293
32,109,103
87,129,206
79,93,165
78,97,171
68,106,119
69,105,273
82,102,155
70,104,248
85,86,187
76,126,186
32,109,249
67,111,278
85,86,187
82,128,163
89,77,245
8,262,396
83,144,256
80,112,197
73,88,219
67,111,266
89,77,245
32,89,195
67,111,278
85,86,187
82,128,163
89,77,245
190,105,527
32,166,265
16,432,216
32,81,59
84,91,212
72,85,116
65,152,112
84,112,118
32,92,120
87,129,206
65,140,235
83,135,165
32,102,84
87,129,206
69,143,171
8,272,390
188,103,546
46,456,683
84,100,214
40,975,299
37,406,909
39,641,88
32,101,173
39,233,747
76,126,186
32,109,249
83,133,398
69,131,223
65,137,180
83,135,165
79,78,168
78,97,171
69,105,221
68,109,226
32,87,127
65,133,293
78,91,105
68,110,105
32,83,92
72,100,297
65,152,112
86,24,714
68,109,226
8,262,396
68,109,226
32,87,127
71,87,392
79,225,123
68,106,387
32,87,127
83,133,398
80,112,197
73,88,219
67,111,266
73,90,158
78,103,137
8,262,396
73,88,219
69,120,206
83,157,240
32,107,255
8,298,422
89,77,245
8,262,396
73,88,219
67,111,266
89,77,245
83,144,240
32,102,179
190,105,527
32,166,265
16,432,216
32,81,59
84,91,212
72,85,116
69,110,148
32,90,110
8,298,422
72,88,174
69,112,159
32,89,110
80,93,218
82,103,205
73,83,130
67,111,266
69,118,166
83,157,240
32,107,255
87,129,206
69,143,171
82,102,155
69,127,162
32,105,154
82,95,410
69,105,161
65,140,173
83,135,165
79,78,168
78,97,171
65,140,235
76,127,131
8,262,396
66,103,278
76,126,186
69,120,206
32,95,136
65,133,293
78,91,105
68,110,105
32,83,92
84,91,212
72,85,116
69,110,148
82,102,155
8,262,396
82,103,205
69,127,162
32,105,154
87,129,206
65,140,235
83,135,165
32,102,84
71,87,392
79,225,123
68,106,387
32,87,127
8,298,422
65,139,272
8,262,396
65,139,272
32,111,145
70,83,279
71,84,270
8,262,396
71,84,270
79,225,123
68,106,387
32,87,127
79,85,261
8,262,396
65,139,272
77,128,224
79,101,196
85,80,178
78,101,153
84,89,197
32,96,133
79,85,261
70,120,158
32,81,113
84,91,212
82,103,205
65,140,235
70,104,248
73,88,219
67,111,266
32,101,173
84,91,212
72,85,116
82,103,205
79,101,196
71,84,270
85,86,187
8,262,396
85,86,187
71,84,270
72,88,174
32,101,173
84,91,212
72,85,116
69,110,148
32,90,110
82,95,410
69,105,161
83,157,240
84,89,328
65,140,235
85,86,187
82,128,163
69,127,162
78,106,136
8,262,396
65,139,272
78,98,152
84,89,197
190,105,527
16,393,314
84,100,214
72,85,127
69,114,144
89,67,128
32,95,173
8,298,422
72,88,174
69,112,159
89,67,128
32,95,173
72,100,297
65,152,112
68,109,226
32,87,127
71,87,392
79,225,123
68,106,387
32,87,127
83,133,398
80,112,197
69,120,206
67,126,260
73,90,158
65,136,214
76,127,131
83,144,240
32,102,179
79,85,261
78,91,158
32,94,160
84,91,212
72,85,116
69,110,148
73,88,219
82,103,205
32,93,183
77,117,276
69,103,188
78,106,136
85,86,187
83,144,240
190,105,527
32,166,265
16,432,216
89,77,245
79,101,196
85,80,178
32,101,173
71,87,392
79,225,123
85,80,178
8,262,396
67,126,260
79,105,143
85,80,178
76,126,186
68,109,226
32,87,127
80,93,218
73,88,219
67,111,266
75,127,199
32,101,173
65,133,293
32,109,103
67,111,278
72,88,174
73,88,219
75,127,199
69,105,217
8,272,390
67,126,260
8,262,396
78,101,153
89,77,245
32,89,195
67,111,278
72,88,174
79,101,196
73,88,219
67,111,266
69,118,166
32,95,136
79,85,261
70,120,158
32,81,113
77,117,276
69,103,188
65,137,180
84,112,118
16,393,314
59,333,161
32,101,173
16,429,283
57,412,437
67,126,260
72,88,174
73,88,219
67,111,266
75,127,199
69,105,217
78,106,136
8,262,396
69,120,206
8,272,390
75,127,199
69,105,217
78,106,136
188,103,546
32,105,195
66,104,278
69,120,206
80,112,197
8,262,396
70,104,248
32,81,113
8,298,422
188,103,546
32,105,195
80,93,218
82,103,205
79,101,196
8,262,396
79,101,196
82,93,152
8,262,396
79,101,196
