VK,HT,FT
16,528,-1
73,104,276
32,104,115
87,106,472
65,144,198
76,185,199
75,116,321
69,92,110
68,88,204
32,115,112
73,80,247
78,129,225
84,84,169
79,112,74
32,86,99
16,519,461
65,142,334
83,138,284
73,82,261
65,119,124
8,686,551
78,95,564
32,117,88
16,275,345
78,107,242
79,120,215
68,91,303
76,104,214
69,114,143
83,86,207
32,114,301
87,102,432
73,86,137
8,497,621
73,90,255
79,83,132
84,106,174
72,96,100
32,104,94
65,110,311
32,84,85
8,889,717
84,112,412
72,85,128
32,104,117
65,105,234
32,85,94
81,847,412
85,109,189
69,113,152
83,97,198
84,102,186
73,103,96
79,91,122
78,113,303
32,118,121
79,122,403
78,95,281
32,104,115
77,155,526
89,91,205
32,89,86
77,141,429
73,88,115
78,98,162
68,87,208
190,138,177
87,104,500
72,84,119
65,133,137
84,95,268
32,97,88
69,95,499
88,78,282
65,106,240
67,125,372
84,107,231
76,106,127
89,95,145
32,88,177
73,90,332
83,95,148
32,85,93
16,512,414
70,94,333
73,105,226
76,111,156
73,75,180
80,129,410
73,99,274
78,107,198
79,141,195
32,99,148
70,83,626
79,213,186
68,80,347
16,436,305
191,684,882
32,90,191
16,414,541
84,140,356
72,73,114
69,92,101
32,92,99
80,122,769
73,85,264
67,90,221
84,113,318
85,100,100
82,107,231
69,124,200
32,97,198
66,84,380
69,99,123
67,93,281
65,117,214
77,147,202
69,84,143
32,102,223
67,94,584
76,98,249
69,90,159
65,130,182
82,106,182
69,93,156
82,115,116
32,109,298
65,115,220
83,108,258
32,89,96
16,393,486
73,87,175
32,100,89
79,103,369
80,139,368
69,105,139
78,87,131
69,85,191
68,90,249
32,103,90
84,104,201
72,82,90
69,93,119
32,103,56
68,96,503
79,137,255
82,80,201
32,85,187
65,113,447
78,85,104
68,86,93
32,79,92
87,107,619
65,144,200
83,118,181
32,107,104
73,81,437
77,107,173
69,75,237
68,92,278
73,86,131
65,126,177
84,105,180
69,112,140
76,94,228
89,94,134
32,86,181
72,103,177
73,99,142
84,128,160
32,89,114
87,105,464
73,91,139
84,114,298
72,95,100
32,116,77
84,102,395
72,88,97
69,101,136
32,98,61
77,158,393
79,115,91
83,78,137
84,98,236
32,101,169
80,130,613
76,109,126
69,100,158
65,144,197
83,134,211
65,111,207
78,84,139
84,93,209
32,101,107
83,97,436
65,121,212
86,98,316
79,139,139
82,81,177
89,112,250
32,101,101
65,109,280
82,109,233
79,134,440
77,118,367
65,105,155
190,112,282
32,84,72
16,591,434
77,139,183
89,94,198
32,89,63
77,127,317
79,126,116
85,97,101
84,105,187
72,92,105
32,103,125
66,89,327
69,118,110
71,88,472
65,109,264
78,112,193
32,118,97
84,107,319
79,120,88
32,92,85
87,95,633
65,140,190
84,108,339
69,103,126
82,108,132
32,106,182
73,83,463
78,134,211
32,116,89
65,122,276
78,87,100
84,98,148
73,112,139
67,94,212
73,109,173
80,122,488
65,111,252
84,99,343
73,123,115
79,77,107
78,101,271
190,177,440
32,82,80
16,373,459
84,131,588
72,69,119
69,86,130
32,89,95
82,116,536
69,84,100
83,101,235
84,96,266
85,86,127
82,107,281
65,124,145
78,102,78
84,92,135
32,98,103
73,91,435
83,92,149
32,93,73
8,861,525
65,112,175
85,83,129
82,91,260
65,117,148
78,87,84
84,100,172
32,101,98
73,92,428
83,95,123
32,84,85
83,87,283
77,107,250
65,100,147
76,139,153
65,102,171
78,97,169
68,89,109
32,86,80
72,92,204
65,122,202
8,657,641
32,105,558
78,110,298
68,93,169
32,84,74
72,92,169
65,128,140
83,106,228
32,92,146
65,118,528
32,89,94
70,78,749
69,96,154
87,100,471
32,101,117
66,93,409
79,103,222
84,90,328
72,77,88
83,101,299
32,91,166
65,115,476
76,153,129
79,141,248
78,102,213
71,82,183
32,105,100
79,117,387
78,94,214
69,96,172
32,90,80
87,98,493
65,131,189
76,166,124
32,90,131
65,124,348
78,81,99
68,86,110
32,81,66
83,94,391
69,92,160
86,107,260
69,137,140
82,104,120
65,118,157
76,187,139
32,101,110
83,89,465
77,127,369
65,105,125
76,150,262
32,94,154
84,100,255
65,142,188
66,95,376
76,107,279
69,89,131
83,89,232
