VK,HT,FT
16,90,-1
77,105,131
89,94,96
32,88,123
69,2,132
80,131,101
88,104,30
8,69,328
88,120,191
80,114,344
69,92,134
82,77,99
73,112,18
69,103,191
78,84,128
67,117,245
69,121,64
32,131,57
65,77,47
84,112,104
32,96,191
16,94,320
79,128,96
84,122,139
79,125,62
84,62,122
79,135,114
32,102,61
16,105,65
83,139,106
85,97,43
83,126,68
72,95,83
73,101,61
32,112,120
87,118,95
65,168,15
83,144,68
32,27,105
87,122,108
79,135,99
78,20,153
68,94,75
69,103,181
82,119,30
70,129,651
85,138,93
76,138,227
190,40,208
32,142,20
53,748,364
32,119,468
79,101,48
70,111,82
32,97,98
85,98,68
83,132,106
32,125,132
87,120,165
69,131,61
78,96,129
84,89,110
32,109,99
79,111,67
85,165,52
84,94,54
32,97,62
84,76,56
79,154,59
32,110,75
68,93,80
73,103,78
78,114,184
69,72,73
82,126,80
190,122,318
32,99,75
16,144,63
87,128,83
69,103,80
32,88,135
72,99,61
65,104,62
68,75,94
32,92,111
65,103,104
32,136,115
80,124,131
76,162,218
65,156,64
84,100,187
69,117,51
82,127,74
32,54,74
79,123,55
70,106,96
32,79,98
84,78,257
85,90,61
78,105,95
65,158,75
32,126,197
65,124,57
78,104,123
68,114,4
32,89,74
89,113,163
69,131,444
76,52,104
79,94,39
87,144,144
84,75,563
65,133,38
73,71,144
76,88,133
32,103,89
83,119,143
65,152,101
83,147,47
72,129,70
73,75,51
77,120,171
73,122,90
188,127,244
32,83,69
65,78,65
78,89,26
68,107,95
32,86,68
79,107,191
82,67,70
68,119,149
69,143,188
82,102,66
69,138,99
68,94,173
32,75,119
65,104,108
32,94,117
66,128,134
79,112,57
84,118,20
76,146,221
69,36,81
32,117,128
79,128,93
70,100,82
32,88,107
83,102,146
65,78,201
75,99,20
69,114,94
32,75,88
70,95,289
79,226,137
82,91,111
32,103,129
84,81,39
72,116,78
69,129,54
32,129,108
87,119,90
72,92,82
79,136,140
76,102,287
69,107,96
32,48,98
84,79,88
65,141,73
66,70,74
76,163,288
69,95,102
190,108,147
32,136,103
16,204,25
84,110,67
72,100,75
69,120,8
32,103,105
84,70,110
85,80,80
78,128,111
65,212,51
32,84,64
87,103,152
65,207,78
83,107,42
32,122,136
82,150,127
69,133,50
65,111,110
76,204,110
89,78,233
32,105,155
70,63,93
82,118,73
69,110,50
83,123,51
72,103,122
32,72,68
65,115,605
78,104,65
68,115,93
32,89,131
70,92,85
86,115,118
76,128,139
8,880,386
76,156,252
86,17,222
79,143,118
8,232,202
65,123,65
86,165,123
79,136,71
82,76,108
70,88,278
85,85,79
76,90,215
190,119,246
32,127,50
16,163,30
84,102,69
72,106,93
69,103,108
32,83,130
89,96,162
69,88,1111
76,325,104
79,115,71
87,101,509
84,106,81
65,144,122
73,159,65
76,163,48
32,93,225
87,124,146
65,121,57
83,152,137
32,138,7
78,97,124
79,255,103
84,106,111
32,17,118
65,126,100
83,71,52
32,159,124
71,93,118
79,243,835
68,72,63
188,143,636
32,91,93
73,116,269
78,97,157
32,78,85
77,159,171
89,102,205
32,99,100
79,58,70
80,94,89
73,82,118
79,68,87
8,877,234
78,96,104
73,43,18
79,107,84
78,95,62
188,149,70
32,107,69
66,135,165
85,163,59
84,81,57
32,94,98
84,97,47
72,89,98
69,120,73
32,107,118
83,177,151
79,83,70
89,103,112
32,107,107
83,182,95
85,113,59
65,88,58
67,107,79
69,129,110
8,61,286
65,138,673
8,98,522
65,130,100
85,91,430
69,143,159
8,401,407
67,93,184
69,160,78
188,92,79
32,87,83
71,102,111
73,74,166
78,87,184
71,124,92
69,157,83
82,96,68
188,146,528
32,115,230
87,87,222
65,203,307
83,152,69
65,114,32
66,49,277
73,111,82
188,139,380
32,88,92
65,80,526
78,133,80
68,53,55
32,89,141
79,118,60
84,165,88
72,107,83
69,109,67
82,121,62
32,97,67
67,94,159
79,141,71
78,103,156
68,88,95
73,40,100
77,161,231
69,86,84
78,88,64
84,70,1
83,140,375
32,91,152
82,160,53
69,41,58
65,126,60
76,289,113
89,112,232
32,103,90
77,150,165
65,140,97
68,86,74
69,109,183
32,118,98
85,111,103
80,149,77
32,13,140
70,49,93
79,83,84
82,10,109
32,82,59
73,110,187
84,116,6
190,135,101
32,137,100
16,138,86
70,84,84
79,120,101
82,112,70
32,107,75
87,80,52
72,155,54
65,147,104
84,150,76
32,93,94
73,122,78
84,120,103
222,127,174
83,131,161
32,77,76
87,119,215
79,109,118
82,91,58
84,79,63
72,67,112
32,85,82
77,113,149
89,105,36
32,86,103
70,77,77
82,53,62
73,88,59
69,209,85
78,117,144
68,80,80
83,78,68
32,112,108
76,123,56
73,91,82
75,100,167
69,119,97
68,29,168
32,85,125
84,145,63
72,115,78
69,93,78
32,112,137
89,114,145
69,167,106
76,284,82
79,89,286
87,118,172
84,77,748
65,133,140
73,230,113
76,163,217
32,64,128
65,103,128
83,125,100
32,121,137
77,24,257
85,100,81
67,90,214
72,112,75
32,30,108
65,181,112
83,126,66
32,111,65
84,68,83
72,68,69
69,101,68
32,108,16
84,122,170
85,89,110
78,82,64
65,109,85
190,101,97
32,116,60
16,160,134
84,103,83
72,97,36
69,108,117
32,108,42
83,110,129
69,158,237
82,82,77
86,12,125
73,74,160
69,103,64
32,93,114
8,554,472
67,95,209
69,97,84
32,4,94
87,83,106
65,257,70
83,156,73
32,89,81
69,200,71
88,107,191
67,152,698
69,114,103
76,155,32
69,126,85
78,93,36
84,126,100
190,95,158
32,115,109
16,172,68
87,112,303
69,93,187
38,898,506
37,104,373
188,131,147
40,265,362
39,76,172
32,106,82
68,88,240
73,40,1
68,73,147
78,99,73
222,104,165
84,71,69
32,112,131
72,100,104
65,108,80
86,83,68
69,119,104
32,93,128
84,120,78
79,121,23
32,101,93
87,120,90
65,163,70
73,84,79
84,93,128
32,103,52
76,161,221
79,105,90
78,121,152
71,111,78
32,91,127
70,39,224
79,106,110
82,117,77
32,91,65
84,65,49
72,104,122
69,111,68
32,97,98
70,84,95
79,86,119
68,72,178
32,109,125
65,114,117
70,114,469
84,88,67
69,117,261
82,78,83
32,105,77
79,129,248
82,126,95
68,121,78
69,124,186
82,104,52
73,60,103
78,115,163
71,122,80
188,149,189
32,92,60
65,158,120
78,80,66
68,103,66
32,105,114
79,134,60
85,132,95
84,130,65
32,31,124
87,101,128
65,121,24
84,137,117
73,126,162
8,51,484
82,139,84
32,76,102
87,143,98
65,163,80
73,87,26
84,116,101
69,114,154
82,120,80
32,105,73
87,101,129
65,189,58
83,0,138
32,148,131
65,102,88
84,98,81
69,123,172
78,103,134
84,78,111
73,90,50
86,130,122
69,202,70
188,123,162
32,125,91
66,140,120
85,148,475
84,119,57
32,88,116
78,105,119
79,85,41
84,85,103
32,103,117
79,141,84
86,139,158
69,140,174
82,99,134
66,76,149
82,77,105
69,135,74
8,413,252
69,135,0
65,148,109
82,169,83
73,114,93
78,102,290
71,131,89
190,109,193
32,101,63
16,177,71
73,76,88
222,126,189
68,83,258
32,103,88
68,110,164
69,123,168
70,106,82
73,81,103
78,116,147
73,114,101
84,116,126
69,98,184
76,319,117
89,108,228
32,116,100
71,104,96
79,153,20
32,111,104
66,112,134
65,129,628
67,88,85
75,29,133
190,136,222
