VK,HT,FT
84,88,-1
72,785,828
73,60,218
83,461,956
32,71,113
73,7,1046
83,568,670
32,79,235
65,118,33
32,75,187
86,5,339
69,472,151
82,688,207
89,769,472
32,71,102
71,911,703
79,241,775
68,40,386
32,69,234
86,16,353
69,552,62
71,380,57
69,942,241
84,34,235
65,103,110
82,971,750
73,98,283
78,920,796
65,142,211
8,762,943
65,140,29
78,308,364
32,61,104
82,946,335
83,38,219
69,465,362
84,87,268
65,97,144
85,94,516
82,84,39
65,111,210
78,142,73
84,61,255
190,632,21
32,71,335
84,87,175
72,823,285
69,679,49
32,62,78
65,93,224
77,551,355
66,64,770
73,71,147
65,137,225
78,933,411
67,775,159
69,845,282
32,100,77
73,70,164
83,235,696
32,85,76
71,353,900
79,205,41
68,97,625
32,73,175
65,107,311
78,315,557
68,65,161
32,62,196
84,70,820
72,516,264
69,417,377
32,69,317
70,569,100
79,154,189
68,471,645
32,66,113
73,98,211
83,484,133
32,69,74
65,117,392
70,608,81
79,927,654
82,390,731
68,625,966
65,106,121
66,324,916
76,252,502
82,467,960
190,325,107
32,71,329
8,505,334
65,108,151
78,619,45
68,305,159
32,62,0
84,63,0
65,97,132
83,81,507
84,84,416
89,915,501
190,311,858
32,96,113
84,114,221
72,780,698
69,661,670
89,457,80
32,93,328
72,2,285
65,100,115
86,93,460
69,435,589
32,61,475
65,118,225
32,77,114
66,519,840
85,302,419
70,179,974
69,31,697
84,63,159
32,52,102
73,62,160
78,41,466
32,66,209
84,0,218
72,496,556
69,923,442
32,86,94
65,98,342
70,484,481
84,65,539
69,800,423
82,140,902
66,165,539
8,854,453
78,471,932
79,902,177
78,978,237
32,74,236
65,118,0
78,872,740
68,791,429
32,72,109
89,454,518
79,297,825
85,394,834
32,70,209
83,960,818
72,206,395
79,778,467
85,79,402
76,357,248
68,577,346
32,97,233
84,132,221
82,711,568
89,34,358
32,82,76
73,51,116
84,73,221
190,591,313
32,62,383
84,82,318
72,341,590
69,221,39
89,205,600
32,69,142
83,441,256
65,112,344
8,739,40
69,376,105
82,44,503
86,341,54
69,593,28
32,52,82
65,133,210
32,100,155
86,959,188
65,108,210
82,756,660
73,98,178
69,139,693
84,65,535
89,787,432
32,61,63
80,302,672
8,730,99
79,633,699
70,437,876
32,60,208
83,871,219
84,79,225
65,110,212
82,971,527
84,84,376
69,534,45
82,637,245
83,742,720
188,75,503
32,71,226
82,297,678
79,331,460
84,88,221
73,67,189
83,957,117
188,790,797
32,77,78
86,171,796
69,758,406
71,936,519
65,117,257
8,611,954
69,960,329
84,61,426
65,27,163
66,812,551
76,462,71
69,573,305
83,328,772
