VK,HT,FT
16,136,-1
77,123,304
89,104,232
32,180,98
70,159,95
82,150,159
73,124,120
69,161,82
78,121,98
68,96,108
32,170,179
65,208,146
78,186,153
68,54,134
32,133,195
16,225,186
73,119,0
32,111,154
68,125,132
69,123,202
67,121,302
69,126,132
68,105,194
8,269,679
73,123,107
68,137,115
69,100,197
68,125,219
32,166,111
84,96,176
79,65,65
32,172,112
83,167,143
80,145,122
69,172,178
78,117,99
68,138,75
32,124,20
65,174,165
32,150,172
80,74,176
76,120,78
69,113,67
65,156,143
83,121,217
65,162,213
78,109,151
84,94,117
32,172,90
16,129,298
83,148,226
65,214,146
84,155,94
85,157,133
82,118,102
68,128,137
65,119,146
89,107,166
32,180,128
65,151,74
70,133,34
84,120,111
69,154,247
82,116,128
78,158,188
79,138,160
78,134,212
32,166,106
73,123,0
78,135,181
32,124,40
84,142,101
72,107,29
69,63,74
32,114,62
67,27,273
73,133,91
84,138,103
73,121,99
69,115,156
222,596,723
83,134,111
32,35,121
66,62,153
85,113,116
83,143,204
84,173,117
76,225,203
73,115,165
78,155,176
71,137,113
32,6,48
16,123,174
65,123,98
83,173,261
73,157,131
65,105,132
78,109,110
32,156,146
16,594,174
83,224,204
81,19,978
85,119,113
65,121,186
82,208,88
69,152,307
190,105,198
32,117,166
16,131,189
78,157,362
69,219,196
87,133,165
32,187,232
82,213,14
69,131,93
83,207,226
84,152,113
65,113,177
85,172,99
82,150,689
65,239,190
78,148,142
84,94,153
83,136,175
32,128,269
65,199,147
78,158,149
68,100,126
32,167,125
65,162,82
83,44,191
73,131,70
65,132,154
78,181,205
32,121,59
71,101,263
82,180,118
79,163,122
67,87,276
69,126,52
82,148,133
73,130,17
69,119,60
83,147,280
32,128,282
72,134,259
65,19,337
86,84,96
69,114,176
32,146,166
83,71,32
80,113,224
82,116,159
79,172,105
85,171,113
84,117,189
69,132,267
68,112,191
32,165,105
85,155,118
80,146,167
32,158,69
84,114,510
72,132,110
69,153,81
82,155,141
69,141,172
32,220,233
82,200,110
69,142,204
67,114,225
69,126,184
78,121,117
84,114,85
76,101,162
89,83,320
32,176,115
65,182,160
78,126,111
68,116,87
32,146,107
87,170,51
79,142,83
82,93,160
68,128,151
32,171,107
72,136,269
65,155,116
83,131,191
32,159,121
71,113,118
79,142,63
84,271,76
69,117,171
78,138,140
32,122,157
79,230,115
85,151,107
84,110,80
32,160,31
84,154,105
72,148,49
65,35,127
84,164,195
32,156,115
16,195,156
80,145,132
72,142,274
8,867,409
72,104,73
79,161,573
32,118,170
73,148,60
78,120,202
32,2,90
8,429,438
16,243,265
73,111,63
78,113,319
32,159,132
16,133,165
84,29,89
72,99,47
69,166,81
32,200,247
16,195,555
85,121,146
16,132,165
83,140,116
65,162,126
32,150,150
73,185,91
83,119,115
32,186,71
84,159,82
72,110,123
69,116,122
32,8,166
78,135,155
69,210,49
87,152,136
32,115,60
80,95,166
76,159,157
65,202,366
67,139,337
69,130,195
32,153,143
84,127,128
79,154,74
32,150,78
84,141,510
82,174,194
89,132,103
190,122,201
32,180,101
16,166,310
68,95,82
8,879,684
13,908,590
16,173,177
68,137,138
8,88,597
16,123,443
68,97,77
69,158,91
67,117,272
73,111,44
68,123,171
73,121,426
78,134,157
71,101,155
32,191,53
79,183,116
78,143,212
32,158,133
16,166,132
80,121,847
72,140,226
79,163,137
32,155,220
77,218,167
89,123,116
32,121,153
70,101,189
82,162,131
73,124,340
69,118,156
78,137,169
68,137,157
32,162,73
65,147,112
78,175,111
68,117,176
32,133,114
16,69,542
73,88,13
32,159,77
65,148,116
82,68,84
73,155,152
86,82,106
69,117,172
68,158,151
32,120,113
65,196,125
78,158,65
68,129,72
32,133,153
87,195,63
69,166,165
82,155,81
69,141,264
