VK,HT,FT
16,208,-1
84,64,96
72,176,208
73,208,64
83,80,160
32,96,720
80,80,224
76,80,176
65,96,48
67,80,192
69,80,160
32,80,96
73,80,208
83,80,80
32,64,176
71,80,176
82,80,48
69,128,176
65,160,80
84,64,128
16,320,368
49,112,256
16,159,-1
71,65,95
82,79,161
69,144,175
65,127,97
84,80,79
32,64,272
65,80,224
69,79,337
83,64,208
84,79,208
72,65,79
69,80,208
84,64,225
73,64,127
67,80,129
83,80,191
32,64,480
84,80,176
72,63,81
82,79,176
79,96,607
85,64,224
71,80,416
72,79,81
79,64,223
85,83,176
84,77,83
32,48,173
84,64,112
72,64,96
69,79,65
32,64,287
82,80,128
69,80,176
83,96,192
84,63,97
65,80,655
85,80,112
82,80,208
65,96,176
78,63,97
84,80,111
188,80,1200
32,80,192
87,64,192
79,80,64
78,64,224
68,80,144
69,64,176
82,48,176
70,112,144
85,80,64
76,64,208
32,64,208
65,64,112
78,80,80
68,80,592
32,80,144
70,64,128
82,64,160
73,80,96
69,80,80
78,96,128
68,80,1296
76,80,112
84,48,128
8,80,400
89,80,128
32,64,368
83,64,160
69,64,192
82,64,176
86,96,480
69,144,176
82,128,80
83,80,224
188,64,401
32,64,192
65,64,112
78,79,81
68,80,79
32,80,448
84,64,160
72,63,64
69,79,96
32,64,128
70,64,144
79,224,96
68,64,224
32,64,144
87,64,80
65,63,160
83,65,175
32,80,65
65,64,176
66,96,48
83,79,160
79,79,80
76,63,192
85,64,175
84,160,48
69,129,97
76,80,111
89,63,129
32,48,143
80,80,208
69,128,112
82,96,80
70,96,192
69,80,128
67,96,160
84,80,208
190,80,96
32,64,192
16,192,560
73,80,80
32,80,208
79,96,192
82,63,97
68,80,159
69,64,160
82,64,160
69,64,160
68,64,176
32,64,1024
65,80,176
32,64,192
83,80,304
84,80,240
69,96,145
65,112,79
75,48,480
188,64,768
32,64,256
65,64,144
78,64,64
68,80,96
32,80,80
76,80,192
73,64,160
75,80,144
69,64,80
32,80,112
16,208,96
73,64,112
32,64,224
65,80,112
76,64,112
87,64,112
65,80,160
89,64,80
83,64,96
32,80,128
68,64,240
79,64,48
188,80,368
32,64,640
16,640,768
73,64,512
32,64,224
79,64,224
82,64,112
68,64,160
69,64,144
82,64,144
69,48,144
68,96,128
32,64,96
73,81,176
84,64,81
32,48,160
82,80,48
65,96,128
82,144,160
69,144,96
190,80,128
32,79,192
16,176,784
78,80,80
79,81,207
87,80,113
188,64,112
32,32,272
77,144,-1
79,112,80
83,80,240
84,64,160
80,144,-1
76,128,80
69,160,96
65,128,96
67,80,240
69,64,160
83,64,192
32,80,624
72,96,176
65,64,96
86,64,96
69,64,48
32,64,144
65,64,80
32,64,80
86,80,160
69,144,96
82,112,80
89,80,96
32,48,320
83,80,145
75,64,128
69,64,272
87,80,1040
69,64,304
68,63,176
32,64,848
86,79,144
73,63,128
69,127,160
87,111,96
32,64,127
79,80,192
70,79,81
32,48,175
87,79,129
72,79,80
65,80,95
84,79,81
32,64,271
84,80,144
72,79,81
65,95,80
84,80,79
32,80,208
77,96,192
69,160,64
65,144,80
78,80,96
83,96,160
188,96,64
32,64,224
66,80,1328
85,63,81
84,64,127
32,64,96
78,64,176
79,64,176
84,63,65
32,64,159
16,208,112
67,96,160
69,80,208
76,208,112
65,79,209
82,64,543
222,48,992
83,80,32
190,64,592
32,64,208
16,144,160
73,64,80
84,64,176
32,64,96
65,80,160
82,208,192
73,80,224
86,80,208
69,64,160
68,96,176
32,80,96
80,96,224
69,64,256
82,96,160
70,96,192
69,96,128
67,94,162
84,80,222
76,96,112
89,64,96
32,64,1104
66,64,240
76,80,96
79,224,304
68,80,304
89,64,240
32,64,128
65,96,64
78,64,128
68,64,64
32,64,449
66,80,176
69,128,112
65,128,80
85,64,160
84,64,192
73,80,128
70,80,128
85,64,80
76,224,192
89,64,224
32,48,160
80,79,208
73,80,176
78,79,144
75,63,80
190,62,209
32,64,622
16,224,224
84,81,128
72,64,192
69,80,80
32,64,112
70,96,112
76,63,97
65,64,95
86,80,176
79,80,128
82,64,96
32,80,144
87,63,81
65,64,159
83,64,176
32,64,192
69,64,720
88,64,1024
81,64,336
85,79,65
73,80,191
83,64,240
73,64,128
84,80,144
69,80,128
188,80,624
32,80,192
65,80,80
78,64,112
68,80,1136
32,64,80
73,64,192
8,80,-1
16,351,273
73,48,223
32,80,336
87,80,208
79,80,80
85,80,160
76,80,192
68,80,80
78,80,144
222,80,-1
84,64,64
32,64,320
68,48,208
82,48,160
69,128,144
65,144,64
77,48,128
32,64,160
79,80,192
70,80,48
32,64,160
65,80,96
68,224,160
73,64,224
78,80,160
71,64,80
32,64,160
83,64,160
84,64,96
69,160,160
65,144,96
75,80,160
32,48,192
83,64,160
65,80,160
85,80,80
67,96,144
69,80,128
32,64,112
84,80,144
79,64,-1
32,64,209
84,81,79
72,64,97
65,111,64
84,63,80
32,64,192
66,79,160
69,144,80
65,128,63
85,48,129
84,63,176
73,65,303
70,79,225
85,63,80
76,80,175
32,64,192
80,64,224
73,64,176
69,63,65
67,96,175
69,64,160
32,80,112
79,96,192
70,80,48
32,80,176
77,80,160
69,143,81
65,112,79
84,64,240
190,80,-1
32,64,208
16,176,112
73,64,80
32,64,176
87,64,112
73,64,96
76,176,176
32,80,288
68,80,80
69,64,160
70,64,160
73,64,64
78,64,176
73,64,176
84,160,64
69,112,96
76,64,112
89,64,112
32,64,128
66,64,160
69,64,96
32,80,96
66,80,160
65,96,48
67,96,176
75,80,-1
32,64,240
65,96,144
71,80,96
65,64,112
73,96,368
78,64,240
32,80,592
84,64,144
79,80,80
32,64,208
69,64,128
78,80,64
74,96,160
79,80,208
89,48,80
32,80,1057
84,80,160
72,74,86
65,112,74
84,80,80
32,80,1344
69,79,176
88,63,816
81,80,303
85,79,81
73,81,175
83,64,113
73,81,127
84,79,113
69,63,224
32,64,399
77,80,176
69,159,81
65,128,95
76,63,129
32,80,-1
87,80,1216
72,63,81
69,80,1103
78,64,112
69,80,752
86,63,81
69,32,111
82,96,128
32,80,208
16,240,160
73,96,80
32,64,336
72,80,192
65,64,64
86,80,112
69,96,64
32,80,144
84,112,768
72,64,80
69,80,112
32,64,208
79,80,304
80,208,208
79,80,304
82,64,224
84,80,192
85,80,80
78,48,224
73,96,208
84,64,96
89,80,160
190,80,608
32,64,528
16,192,144
73,64,80
32,64,240
72,80,144
73,96,64
71,80,144
72,80,80
76,64,496
89,64,96
32,64,305
82,80,208
69,64,176
67,224,240
79,64,256
77,80,256
69,64,640
78,64,96
68,65,111
32,64,113
84,80,176
72,160,144
73,112,112
83,79,112
32,64,272
82,64,159
69,63,193
83,95,224
84,79,208
65,79,272
85,80,159
82,64,192
65,96,176
78,80,144
84,80,112
32,80,176
70,96,400
79,112,128
82,63,113
32,64,207
65,80,176
78,80,144
89,80,208
32,33,240
76,80,320
79,80,192
86,80,112
69,160,192
82,96,128
32,80,928
79,80,256
70,80,96
32,80,272
81,80,288
85,80,128
65,64,192
76,64,96
73,64,176
84,112,544
89,80,208
188,64,1120
32,64,224
80,80,256
69,64,256
82,64,208
70,96,208
69,112,208
67,96,256
84,80,288
76,64,208
89,80,144
32,64,304
67,80,256
79,224,192
75,112,336
69,77,147
68,96,189
32,80,624
83,80,192
84,64,192
69,160,176
65,160,96
75,64,112
83,96,160
190,80,144
32,1500,240
8,79,-1
77,64,-1
8,80,-1
32,80,-1
