VK,HT,FT
16,420,-1
84,177,597
72,966,278
73,942,404
83,15,531
32,118,194
82,640,708
69,96,270
83,830,224
84,482,624
65,645,209
85,505,487
82,511,518
65,287,441
78,833,430
84,684,102
32,103,191
72,824,934
65,929,255
83,911,368
32,119,214
84,53,679
72,692,625
69,87,249
32,125,259
66,285,137
69,99,247
83,500,724
84,251,145
32,100,207
70,603,842
79,0,442
68,825,681
32,119,255
69,114,229
86,795,556
69,95,230
82,581,712
16,767,260
49,551,725
16,721,760
84,364,631
72,306,266
69,94,246
32,106,238
71,703,984
82,987,662
69,98,247
75,703,294
32,124,241
83,530,799
65,418,24
76,668,233
65,833,977
68,80,237
32,112,269
72,484,972
65,941,24
83,208,560
32,125,218
71,174,901
82,139,984
69,87,255
65,821,950
84,878,781
32,121,223
68,680,806
82,956,717
69,105,262
83,38,874
73,425,30
78,511,388
71,57,674
32,113,230
65,190,608
78,207,723
68,747,413
32,116,218
84,830,638
72,30,860
69,97,273
32,100,182
82,797,429
73,541,498
71,478,474
72,185,818
84,345,520
32,134,246
79,189,406
76,390,108
73,310,584
86,317,47
69,99,239
83,37,866
190,376,823
32,120,252
16,326,325
73,484,315
32,112,222
65,561,159
76,22,177
83,30,945
79,324,461
32,123,220
76,283,616
79,2,378
86,360,350
69,96,297
32,122,215
84,872,514
72,619,541
69,87,283
32,103,217
83,178,700
80,430,918
65,147,900
78,341,555
79,198,452
76,342,476
8,693,963
75,286,934
79,278,320
80,481,154
73,138,268
84,728,289
65,108,982
32,104,203
65,19,807
83,1,706
32,121,258
65,880,398
78,262,97
32,103,269
65,269,478
80,7,682
69,96,278
84,225,145
73,132,8
90,258,882
69,103,229
82,824,467
190,55,817
32,111,212
16,601,48
84,770,567
72,288,11
69,93,292
32,106,223
77,607,948
79,88,474
85,240,220
83,831,517
65,142,839
75,656,481
65,274,225
32,111,188
73,548,791
83,663,587
32,132,194
84,175,633
72,880,174
69,98,280
32,109,273
66,35,536
69,122,235
83,357,444
84,908,617
32,129,264
16,171,17
73,161,389
32,132,250
72,209,546
65,237,925
86,882,413
69,118,275
32,107,192
69,98,304
86,880,105
69,99,297
82,440,278
32,131,211
69,121,305
65,412,858
84,772,782
69,99,287
78,48,880
190,120,258
32,115,225
16,994,253
84,673,608
72,720,738
69,106,282
32,106,262
65,83,248
84,580,888
77,484,923
79,310,454
83,312,797
72,609,932
69,101,236
82,379,394
69,99,302
32,100,221
73,445,559
83,307,169
32,100,243
86,593,591
69,95,267
82,788,985
89,43,108
32,134,210
65,668,685
85,296,885
84,495,852
72,272,312
69,120,264
78,927,684
84,515,214
73,667,925
67,943,235
32,108,199
65,452,142
78,847,653
68,498,409
32,115,241
77,360,195
65,12,669
75,154,677
69,97,278
83,384,572
32,116,209
89,29,971
79,106,333
85,953,578
32,101,262
70,537,565
69,120,260
76,967,299
32,116,238
76,336,937
73,455,289
75,860,833
69,110,274
32,133,195
89,681,302
79,16,311
85,265,673
32,124,184
77,810,935
65,645,498
89,556,239
32,108,237
82,644,872
69,110,296
65,176,937
76,926,251
89,517,101
32,118,184
66,3,908
69,121,325
32,100,182
73,439,913
78,957,899
32,113,219
16,578,811
71,962,333
82,397,512
69,98,255
67,434,969
69,113,301
190,11,38
32,133,217
16,50,602
89,330,988
8,488,945
16,376,352
84,785,654
72,895,508
69,116,234
32,113,236
83,94,521
84,310,645
65,343,742
70,657,27
32,128,212
73,213,691
83,384,99
32,121,225
86,776,641
69,91,289
82,20,464
89,399,327
32,133,217
8,517,638
70,317,932
82,15,376
73,903,933
69,95,230
78,373,333
68,719,968
76,655,540
89,922,366
32,109,187
65,75,188
78,633,460
68,596,854
32,106,182
67,314,884
65,176,750
80,800,585
65,141,597
66,621,592
76,707,917
69,108,255
32,129,223
84,708,359
79,34,333
190,300,872
32,119,189
16,364,120
89,577,234
8,791,35
16,566,665
84,301,337
72,715,282
69,108,298
89,996,993
32,118,269
75,12,55
69,103,283
80,473,418
84,520,578
32,118,198
77,97,137
89,733,58
32,105,196
68,44,590
82,268,554
73,24,567
78,232,478
75,12,687
32,102,201
70,429,726
73,976,55
76,991,34
69,100,315
68,692,409
32,111,189
65,665,185
78,609,573
68,919,204
32,120,187
77,688,994
65,8,212
68,141,734
69,118,276
32,112,245
83,965,716
85,360,905
82,20,748
69,108,313
32,123,185
69,97,310
86,703,180
69,98,240
82,621,18
89,99,417
84,610,779
72,881,251
73,679,297
78,663,769
71,827,617
32,109,209
87,342,601
65,352,433
83,506,19
32,112,210
65,590,610
76,309,303
82,316,410
73,920,301
71,647,911
72,867,778
84,402,482
190,553,364
32,130,214
16,831,583
84,514,962
72,955,403
69,118,281
32,128,223
84,79,873
65,907,648
66,3,818
76,632,617
69,98,291
83,769,386
32,125,231
87,648,889
69,99,224
82,298,454
69,89,289
32,116,257
67,985,888
76,945,803
69,89,285
65,327,756
78,345,393
32,122,253
65,634,715
78,501,196
68,765,90
32,122,219
84,43,495
72,100,447
69,121,323
32,127,206
87,898,346
65,149,815
73,457,808
84,789,434
32,120,223
83,654,376
84,11,698
65,862,841
70,584,895
32,132,270
67,272,486
76,710,983
69,86,305
65,737,632
82,636,762
69,120,299
68,939,288
32,100,269
68,838,671
73,180,81
83,882,889
72,456,678
69,103,305
83,542,601
32,116,199
65,858,182
83,320,688
32,112,214
78,51,364
69,101,271
68,864,152
69,119,262
68,681,669
190,544,386
32,130,185
16,576,730
84,190,80
72,581,580
69,112,328
32,114,205
83,456,131
69,90,227
82,361,907
86,172,618
73,54,269
67,635,409
69,110,328
32,131,189
87,865,434
65,823,369
83,715,125
32,100,231
70,261,775
65,771,866
84,917,372
32,115,243
65,687,38
78,914,207
68,303,244
32,125,207
84,334,688
72,642,341
69,116,273
32,105,221
70,55,816
79,146,322
68,28,314
32,116,218
87,867,592
65,59,31
83,751,639
32,112,246
70,304,957
82,411,418
69,112,323
83,759,842
72,95,770
76,289,158
89,488,331
32,129,253
80,211,187
82,423,606
69,104,320
80,227,994
65,708,335
82,838,613
69,109,285
68,910,802
190,626,14
32,114,216
16,888,691
73,276,872
32,109,212
87,987,725
79,32,406
85,813,790
76,310,569
68,201,472
32,103,255
72,686,154
65,607,94
86,183,595
69,87,274
32,128,218
84,72,730
79,141,379
32,125,235
82,850,356
69,87,319
67,157,529
79,136,469
77,397,880
69,101,315
78,452,462
68,515,85
32,131,189
84,139,418
72,584,482
69,102,233
78,217,202
8,726,519
77,118,512
32,129,217
84,437,220
79,64,364
32,116,252
65,79,371
78,316,231
89,318,853
79,368,331
78,449,272
69,119,254
32,105,214
87,802,176
72,242,686
79,5,412
32,113,192
76,698,520
73,154,264
75,350,917
69,90,226
83,791,239
32,130,262
71,468,484
82,83,475
69,104,308
8,849,995
16,825,873
71,472,640
82,181,483
69,111,262
75,725,87
32,126,216
70,899,600
79,389,420
68,488,581
190,346,210
80,592,268
