VK,HT,FT
16,251,-1
73,133,108
32,132,105
65,167,229
67,139,311
84,164,213
85,107,113
65,138,108
76,107,256
89,180,226
32,144,100
67,124,185
82,136,204
65,128,109
86,189,192
69,165,76
32,140,55
83,141,539
85,110,13
83,127,28
72,92,86
73,184,52
32,108,369
70,179,117
79,172,124
82,86,100
32,122,75
79,128,87
78,129,186
67,175,141
69,143,147
32,155,89
65,186,100
70,141,139
84,133,289
69,194,125
82,145,200
32,107,207
72,84,170
65,169,104
86,104,136
73,91,124
78,109,203
71,105,87
32,90,125
66,56,51
69,169,148
78,72,171
32,156,178
84,116,119
79,109,99
32,154,173
16,196,148
87,137,201
65,204,188
83,131,168
65,167,196
8,1500,252
65,186,244
83,140,204
65,117,265
66,118,92
73,135,130
32,212,92
16,557,79
66,199,108
73,157,160
83,172,93
84,132,172
82,140,204
79,112,13
32,156,93
16,265,89
74,111,93
65,107,156
80,144,305
65,169,447
78,141,101
69,150,143
83,149,240
69,124,108
32,117,131
16,252,139
82,147,121
69,124,226
83,140,262
8,1500,17
69,136,277
83,90,220
84,156,362
65,124,188
85,84,127
82,134,148
65,112,23
78,187,137
84,99,180
32,172,154
16,214,317
55,461,853
32,155,580
16,168,124
83,170,172
85,101,172
83,136,204
72,96,104
73,120,21
32,142,245
16,206,81
66,159,189
65,156,232
82,62,71
32,95,202
8,129,332
190,100,617
32,100,98
16,235,329
85,100,149
83,148,147
85,128,614
65,157,129
76,388,145
89,200,373
188,108,175
32,108,279
16,201,148
77,148,396
89,143,206
32,165,91
16,31,243
67,148,141
8,99,231
77,108,1069
89,183,244
32,177,125
67,187,106
82,99,167
65,230,128
86,133,75
73,120,92
78,124,28
71,137,47
32,122,87
83,95,182
8,90,444
83,123,601
32,139,104
67,132,186
79,275,99
78,140,107
83,87,194
73,63,101
84,133,213
8,434,653
83,164,259
84,149,77
32,103,86
79,124,76
70,156,87
32,131,117
65,115,296
32,126,108
84,102,362
72,123,76
73,116,133
67,125,140
75,130,124
32,90,138
83,124,215
84,102,418
69,161,159
65,203,119
67,121,118
75,154,77
32,109,167
8,443,279
75,129,284
32,118,113
65,133,48
78,92,111
68,152,132
8,524,371
79,100,428
82,218,147
32,176,127
74,136,116
83,116,104
85,98,100
8,125,335
85,108,1187
73,108,179
67,108,183
89,32,269
32,170,82
66,123,468
85,99,176
82,271,141
71,103,214
69,150,117
82,133,485
188,148,164
32,134,140
66,116,199
85,111,106
84,126,117
32,129,152
84,141,94
72,119,80
69,165,128
32,79,146
70,136,110
79,285,116
68,142,301
32,171,164
65,257,218
84,168,94
32,134,184
84,202,169
72,96,126
73,129,147
83,118,13
32,113,114
82,140,328
69,113,136
83,107,225
84,114,184
65,164,413
85,99,218
82,45,148
65,182,163
78,84,348
84,107,222
32,144,237
67,173,174
72,124,32
65,142,84
78,95,91
71,83,130
69,151,131
68,98,217
32,132,101
77,117,916
89,33,79
32,141,159
70,121,121
69,217,168
76,175,812
73,94,80
78,116,166
71,138,42
83,163,287
32,227,145
79,174,227
78,192,101
32,168,112
67,147,193
82,177,217
65,138,186
86,113,429
73,148,114
78,105,168
71,171,175
83,132,145
188,104,131
8,172,847
190,135,289
32,142,217
16,202,188
84,123,212
72,127,162
69,154,89
32,162,151
70,121,469
73,123,126
83,116,193
72,114,93
32,133,177
65,105,183
84,229,129
32,185,117
84,97,103
72,180,116
73,128,194
83,65,106
32,137,118
66,101,100
73,33,115
83,116,53
84,112,168
82,154,220
79,68,77
32,107,220
73,150,882
83,152,83
32,108,109
79,187,286
70,90,157
32,123,87
84,200,85
72,134,116
69,171,160
32,141,109
72,74,76
71,123,121
73,103,159
8,92,358
73,32,334
71,110,150
72,101,125
69,169,85
83,178,549
84,92,72
32,172,202
81,195,134
85,158,108
65,124,13
76,78,139
73,115,85
84,99,179
89,96,144
32,133,62
65,148,28
76,140,122
77,128,180
79,182,43
83,107,84
84,123,114
32,101,114
76,170,84
73,137,169
