VK,HT,FT
16,71,-1
83,446,889
65,142,217
80,142,288
79,136,186
82,151,102
79,121,160
32,174,127
8,134,564
16,780,893
73,876,237
70,798,388
32,180,113
89,289,72
79,173,138
85,752,960
222,235,164
82,148,155
69,141,194
32,184,138
71,937,630
79,159,163
73,876,974
78,120,145
71,113,420
32,167,130
84,123,441
79,170,160
32,181,105
71,254,505
79,158,117
32,162,134
84,128,715
79,126,120
32,172,120
16,129,871
83,60,817
79,163,121
8,738,269
65,155,95
80,122,461
79,125,136
82,153,152
79,152,180
188,270,706
32,172,132
66,743,865
69,126,245
32,169,111
80,709,529
82,148,163
69,144,246
80,108,969
65,141,271
82,144,125
69,136,150
68,570,914
32,174,114
84,122,868
79,188,120
32,171,126
8,403,1
70,793,446
8,880,58
32,165,128
70,654,382
79,145,160
82,152,109
32,179,116
65,145,199
32,177,99
66,697,948
73,669,495
84,134,511
32,180,115
79,189,122
70,695,978
32,170,95
65,145,185
32,173,122
87,619,902
65,154,183
73,177,287
84,123,747
32,180,124
70,530,189
79,128,178
82,144,160
32,156,131
65,154,163
32,173,139
84,128,368
65,145,157
66,885,63
76,462,346
69,139,182
190,281,950
32,184,125
16,114,174
73,616,324
84,125,142
222,42,636
83,406,469
32,184,133
8,17,386
16,745,907
73,285,480
84,125,457
222,544,427
8,209,174
16,882,219
84,123,843
72,72,970
69,133,158
32,163,107
80,547,229
76,225,714
65,148,230
67,68,408
69,140,192
32,172,116
73,212,855
83,686,429
32,180,98
77,974,590
79,137,169
82,145,141
69,140,179
32,167,100
84,123,10
72,581,282
65,151,148
78,112,182
32,183,99
65,142,181
32,173,105
76,543,2
73,262,447
84,123,360
76,66,742
69,128,213
32,182,113
80,571,389
79,184,156
80,66,154
85,454,112
76,393,397
65,135,103
82,151,155
190,914,117
32,171,129
16,600,250
79,188,125
78,112,168
69,124,228
32,186,106
80,355,207
76,596,344
85,941,248
83,791,611
8,558,307
84,129,47
72,879,292
73,453,416
78,117,182
71,104,915
32,179,139
84,124,815
72,79,802
65,148,93
84,122,227
32,185,105
77,584,338
65,133,223
75,520,829
69,138,134
83,640,466
32,183,132
84,132,970
72,520,477
69,141,172
32,159,117
80,132,673
76,468,47
65,147,140
8,980,32
87,930,39
65,134,139
73,829,326
84,127,175
32,162,95
66,946,657
69,130,150
65,140,241
82,149,127
65,150,222
66,971,135
76,118,972
69,127,216
32,185,103
73,701,166
83,227,582
32,186,106
84,136,721
72,909,890
65,145,185
84,122,912
32,182,121
89,828,806
79,150,168
85,354,820
32,170,112
8,853,373
84,128,770
72,958,234
69,132,223
89,368,374
32,168,104
72,855,152
65,148,263
86,174,875
69,140,210
32,166,116
65,149,215
32,169,140
8,57,569
32,175,95
87,279,589
65,144,133
73,777,168
84,132,933
32,172,116
83,705,73
84,133,731
85,818,311
70,605,794
8,147,233
65,137,283
70,559,157
32,157,131
87,964,120
73,82,441
76,174,453
32,169,120
84,122,354
65,150,221
75,93,284
69,143,178
32,166,117
65,135,219
32,167,106
83,560,890
85,262,820
83,528,873
72,788,364
73,950,480
32,183,96
79,141,159
82,150,153
68,851,320
69,143,176
82,152,117
32,166,110
70,51,637
82,151,160
79,187,130
77,767,328
32,158,123
89,602,459
79,147,140
85,283,557
32,162,113
65,152,103
78,120,154
68,683,739
32,158,113
66,576,232
82,154,169
73,683,271
78,118,152
71,964,285
32,178,123
73,933,75
84,128,588
32,168,135
84,124,43
79,140,160
32,161,102
89,991,367
79,190,174
85,715,700
32,182,120
87,579,210
72,707,837
73,182,372
76,228,797
69,139,134
32,159,132
8,769,742
69,127,128
82,155,118
69,123,205
32,165,140
89,993,73
79,183,110
85,145,864
32,177,131
83,476,453
84,134,134
65,149,278
78,112,148
68,994,172
190,591,383
32,182,112
16,887,35
79,130,169
78,120,148
67,938,777
69,137,219
32,171,130
89,571,654
79,167,113
85,80,275
32,178,123
68,637,740
79,152,187
32,175,102
71,144,250
69,136,248
84,128,941
32,167,109
84,128,416
79,129,118
32,171,104
89,707,994
79,196,158
85,444,668
82,155,90
32,175,117
84,125,17
65,143,135
66,783,219
76,332,65
69,129,179
188,493,583
32,178,118
89,279,195
79,176,171
85,820,801
82,143,141
32,169,119
70,789,297
79,157,107
68,255,961
32,174,110
73,389,200
83,939,366
32,173,109
67,355,333
79,150,111
75,494,653
69,135,193
68,873,459
32,167,101
84,126,572
79,194,174
32,182,141
79,127,114
82,145,126
68,943,391
69,138,138
82,154,111
32,165,105
73,393,737
78,107,163
32,180,113
70,257,62
82,153,162
79,138,106
78,122,146
84,124,783
32,185,112
79,145,141
70,564,396
32,156,111
89,574,60
79,199,133
85,870,216
190,874,870
32,165,131
16,3,277
84,134,326
72,583,668
69,128,174
32,179,110
67,882,688
72,909,759
69,144,233
70,960,864
83,571,751
32,182,118
65,137,97
82,150,121
69,142,176
32,166,116
65,146,148
76,472,23
32,158,108
83,187,421
72,830,938
79,129,114
87,153,527
77,323,297
69,133,140
78,110,152
32,172,103
65,139,107
78,111,138
68,360,801
32,179,117
87,943,475
73,997,778
76,223,268
32,181,123
69,144,139
78,120,176
84,126,576
73,76,877
78,117,155
67,184,851
69,143,209
32,165,101
8,825,974
67,669,293
69,124,209
32,185,128
69,132,131
86,447,38
69,128,237
78,114,139
32,159,93
84,135,33
72,683,794
69,124,240
32,161,124
80,850,749
73,557,29
67,145,547
75,990,73
73,209,129
69,137,197
83,600,697
84,130,71
32,162,109
69,137,159
65,152,242
84,136,787
69,138,217
82,155,115
83,520,713
32,164,128
79,151,115
8,449,948
65,134,203
77,952,263
79,185,184
78,112,164
71,654,3
83,373,440
84,126,595
32,160,101
89,793,65
79,125,116
85,893,716
82,151,130
32,157,114
72,314,983
73,179,336
8,659,973
67,89,365
72,261,749
73,133,29
76,85,804
68,422,244
82,150,113
69,129,246
78,119,141
32,175,122
84,122,18
79,136,182
32,186,138
71,697,309
73,510,742
86,704,189
69,127,169
32,177,136
84,128,84
72,680,224
73,91,668
78,112,172
71,521,196
83,902,26
32,179,97
8,691,478
83,54,943
79,188,147
77,516,538
69,138,169
84,130,878
72,581,832
73,539,769
78,120,159
71,40,766
32,182,138
65,139,285
32,160,126
84,126,340
82,143,150
89,460,303
190,674,285
32,158,133
16,704,930
84,131,985
72,161,514
69,130,206
82,149,165
69,129,165
32,167,140
65,149,160
82,155,140
69,136,169
32,175,129
87,87,668
65,140,140
8,567,168
73,359,722
83,361,922
32,168,108
65,142,148
32,177,129
87,761,439
73,44,763
68,78,744
69,133,148
32,176,99
86,215,489
65,148,198
82,151,159
73,445,225
69,123,206
84,127,551
89,420,380
32,162,137
79,153,135
70,283,878
32,181,105
79,142,106
80,610,592
84,127,823
73,597,67
79,165,119
78,108,165
83,977,996
32,174,106
79,199,143
78,122,136
32,177,130
84,133,501
72,279,762
69,143,155
32,180,130
77,915,14
69,138,175
78,119,164
85,912,845
32,157,95
65,147,124
78,108,177
68,490,357
32,158,100
89,800,332
79,169,146
85,933,743
32,176,126
87,553,29
73,178,976
76,414,837
32,176,106
68,7,386
69,140,237
73,69,681
78,119,152
73,7,502
84,133,233
69,126,193
8,623,870
70,66,766
73,483,447
78,114,172
73,766,146
84,129,708
69,143,130
76,383,49
89,545,983
32,163,135
66,481,536
69,140,246
32,169,110
85,505,537
83,242,811
73,190,79
78,108,148
71,120,234
32,165,124
65,151,238
32,185,126
84,125,825
79,143,128
32,157,105
71,804,499
79,159,117
32,156,116
66,741,115
79,162,176
88,830,560
190,37,447
