VK,HT,FT
16,250,-1
65,177,156
85,145,260
66,130,100
82,162,212
69,170,148
89,73,200
222,178,152
83,175,110
32,218,106
72,129,100
65,178,108
83,186,133
32,226,108
83,178,204
69,99,191
86,146,222
69,154,172
82,202,84
65,186,140
76,207,433
32,169,236
76,290,128
79,178,84
67,295,191
65,234,117
84,165,196
73,178,212
79,202,124
78,142,116
83,106,168
32,170,140
65,186,588
82,202,27
79,194,92
85,154,115
78,178,148
68,162,92
32,178,140
84,114,147
79,226,68
87,198,220
78,170,316
32,176,126
65,186,188
78,119,172
68,180,147
32,102,107
16,250,252
73,92,112
222,202,190
86,161,147
69,156,172
32,177,32
65,226,433
76,194,202
87,154,121
65,155,176
89,162,161
83,186,84
32,176,56
72,129,162
65,170,112
68,102,156
32,209,132
65,226,164
32,162,116
71,75,188
82,185,228
69,154,152
65,162,68
84,166,130
32,197,98
69,170,190
88,647,288
80,145,220
69,114,188
82,177,84
73,150,156
69,170,36
78,151,104
67,122,191
69,194,196
32,202,35
65,226,136
84,186,41
32,162,116
84,138,585
8,751,296
69,186,188
65,146,121
67,135,138
72,137,181
32,226,221
79,202,84
78,154,139
69,134,196
190,122,276
32,162,164
16,250,139
77,122,188
89,162,220
32,182,123
87,118,163
73,114,124
70,186,185
69,194,228
32,186,108
65,220,116
78,166,135
68,162,101
32,194,101
16,250,448
73,176,364
32,199,86
72,146,196
65,154,108
86,138,132
69,179,132
32,122,111
67,138,258
72,122,132
79,210,116
83,162,244
69,162,156
78,139,240
32,219,188
84,187,461
79,138,68
32,209,14
67,146,116
69,200,229
76,138,109
69,76,90
66,138,204
82,162,212
65,171,164
84,171,96
69,100,148
32,202,77
65,226,132
32,215,124
78,68,140
85,121,197
77,146,124
66,146,244
69,282,196
82,162,108
32,129,126
79,194,159
70,146,69
32,183,124
83,154,156
80,114,124
69,226,76
67,247,282
73,186,92
65,162,220
76,269,428
32,210,236
79,179,475
67,146,188
65,170,130
83,50,206
73,177,212
79,146,148
78,178,160
83,129,227
32,186,140
65,166,148
84,178,200
32,194,37
16,234,342
65,172,188
85,145,225
66,146,1284
82,193,252
69,186,101
89,154,12
222,186,141
83,173,164
32,189,108
8,810,299
190,146,192
8,650,413
32,194,140
65,153,148
78,162,148
68,173,156
32,194,84
72,165,238
65,192,140
86,171,164
69,162,188
32,210,211
89,141,19
69,186,228
84,154,193
32,177,79
84,161,132
79,138,99
32,179,161
66,146,286
69,277,220
32,202,124
68,148,78
73,162,36
83,170,124
65,178,188
80,130,169
79,226,124
73,162,86
78,186,172
84,162,87
69,194,148
68,202,188
190,122,196
32,154,108
16,214,276
84,147,105
72,154,180
69,185,68
32,186,110
79,186,226
87,53,643
78,162,97
69,149,139
82,162,92
83,162,152
32,218,86
79,194,79
70,186,198
32,194,108
16,250,456
65,170,92
85,139,260
66,122,204
82,162,232
69,162,227
89,162,203
222,188,172
83,154,108
32,194,131
77,131,124
85,138,294
83,226,102
84,126,169
32,185,79
68,138,127
79,226,224
32,146,162
65,226,148
32,169,194
70,157,114
73,162,164
78,170,158
69,138,148
32,186,124
8,1500,383
84,186,169
32,157,121
80,122,235
76,114,249
65,162,157
67,162,172
69,194,248
32,185,76
65,234,117
32,178,138
80,78,523
82,202,233
69,184,133
73,138,68
8,1390,644
77,161,100
73,145,132
85,137,263
77,150,236
32,194,76
79,194,229
78,178,143
32,218,140
69,130,194
77,122,119
80,154,181
76,42,17
79,186,84
89,143,196
73,130,76
78,146,124
71,169,147
32,178,116
71,59,1060
79,162,132
68,106,124
32,190,133
72,170,100
69,153,52
76,194,132
80,121,180
32,178,196
66,146,819
69,175,228
67,169,140
65,218,180
85,130,192
83,178,132
69,114,188
32,211,84
84,114,124
72,138,116
69,157,68
32,170,93
87,158,170
65,172,228
73,178,124
84,170,99
32,170,121
83,129,98
84,88,185
65,122,157
70,298,132
32,160,103
72,146,177
65,152,172
83,186,198
32,170,84
65,170,588
76,281,563
87,213,252
65,171,196
89,130,351
83,162,159
32,178,140
66,143,46
69,97,220
78,130,140
32,194,84
72,146,28
83,146,140
8,1227,378
79,138,148
83,124,87
80,157,195
73,138,156
84,146,147
65,170,186
66,146,186
76,130,244
69,128,148
32,194,124
65,178,116
78,43,17
68,186,100
32,193,140
79,183,209
78,140,197
32,164,140
84,161,87
79,36,83
80,154,164
32,194,116
79,204,140
70,154,115
32,170,74
84,162,124
72,138,173
73,191,136
78,146,99
71,154,52
83,162,444
190,151,167
32,218,148
16,250,372
84,154,144
72,143,204
69,163,68
32,324,93
70,226,483
79,161,284
68,154,44
32,199,132
73,90,151
83,176,104
32,202,100
8,882,420
16,272,137
73,143,60
222,186,163
77,138,669
32,210,92
84,186,276
72,138,59
69,197,76
32,170,77
75,130,92
73,162,156
78,138,159
68,186,92
32,193,132
79,146,151
70,146,116
32,170,108
80,127,156
69,146,188
82,202,132
83,162,156
79,218,84
78,154,180
32,164,98
87,217,111
72,139,116
79,170,239
32,132,214
65,186,188
76,144,563
87,138,215
65,186,191
89,130,171
83,146,156
32,170,140
71,136,235
69,178,220
84,173,85
83,178,84
32,209,116
84,206,247
72,130,60
69,130,108
32,148,84
83,154,476
65,178,165
77,159,82
69,171,124
32,188,117
84,137,197
72,122,59
73,194,108
78,171,126
71,154,76
32,178,124
65,178,371
84,178,133
32,178,100
65,178,156
32,202,230
82,243,161
69,153,113
83,146,156
84,163,118
65,164,45
85,146,290
82,202,228
65,178,192
78,134,187
84,114,61
32,210,84
79,194,140
78,166,139
67,284,199
69,194,236
32,206,79
16,234,175
73,108,100
32,154,179
70,226,212
73,130,105
78,154,588
68,154,100
32,178,108
65,227,148
32,226,147
68,192,53
73,130,111
83,152,124
72,122,55
32,202,116
16,234,196
73,106,60
32,154,167
76,140,61
73,130,78
75,108,146
69,186,120
32,234,84
66,132,151
85,179,420
84,146,140
32,177,124
16,250,339
73,112,108
222,168,132
86,146,128
69,186,85
32,210,15
69,130,212
78,130,132
74,740,586
79,162,93
89,121,250
69,138,156
68,153,204
32,169,116
69,120,401
86,162,30
69,166,156
82,194,84
89,130,232
84,197,100
72,137,60
73,175,439
78,99,120
71,170,116
32,186,124
16,210,223
73,178,96
222,154,148
86,140,145
69,98,146
32,170,80
72,145,143
65,177,34
68,196,224
32,194,148
87,63,227
72,132,140
69,162,84
78,146,20
8,885,916
78,200,148
69,138,92
86,158,260
69,154,172
82,162,115
32,162,104
66,122,152
69,202,228
78,146,124
32,186,116
68,152,732
73,120,130
83,155,129
80,122,164
76,145,260
69,170,140
65,62,157
83,175,236
69,179,156
68,152,202
32,218,100
