VK,HT,FT
84,81,-1
20,124,196
72,102,225
69,90,93
32,119,148
20,215,137
75,80,257
20,128,223
73,105,132
84,96,125
67,77,280
72,79,93
69,193,159
78,87,130
32,116,185
82,102,408
69,110,90
83,126,253
84,87,226
65,123,229
85,82,175
82,81,214
65,131,235
78,103,137
84,103,134
32,86,198
76,103,183
79,159,216
67,102,182
65,116,221
84,87,216
69,89,142
68,111,179
32,133,97
73,106,187
78,100,105
32,97,121
76,92,191
8,444,514
20,483,572
76,121,130
20,64,299
79,138,215
65,135,136
8,376,396
83,120,329
32,119,155
20,334,218
65,120,111
20,280,121
78,109,195
71,92,170
69,107,139
75,86,191
8,319,471
76,83,580
69,94,129
83,136,195
32,116,310
8,508,635
65,137,613
83,103,222
32,122,157
8,598,569
38,633,338
20,76,225
83,116,179
20,72,314
73,94,159
76,157,202
86,91,275
69,119,191
82,91,168
32,102,100
20,105,155
76,92,145
20,95,282
65,124,190
75,95,119
69,110,98
32,99,103
65,120,223
82,109,147
69,121,127
65,104,125
32,100,354
79,87,293
71,75,221
8,67,405
70,79,405
32,113,191
20,425,210
76,143,164
20,357,150
79,119,225
83,90,114
32,94,138
20,91,145
65,92,101
20,309,260
8,253,606
78,121,437
71,87,155
69,89,142
76,116,144
69,111,190
83,143,278
188,101,211
32,101,174
20,297,279
67,126,151
20,291,328
65,116,155
76,139,165
73,85,179
70,80,201
79,123,99
82,106,155
78,99,174
73,84,146
65,87,189
32,92,227
73,131,163
83,88,94
32,112,146
65,106,179
32,109,187
71,78,244
82,92,181
69,137,82
65,120,199
84,82,155
32,111,164
80,128,148
76,121,135
65,98,102
67,101,135
69,121,130
32,100,138
84,83,154
79,102,79
32,110,137
69,120,381
65,123,246
84,91,158
190,121,372
32,118,162
20,313,273
84,97,283
20,128,149
72,103,137
69,95,110
32,96,124
77,115,222
69,112,173
78,111,121
85,90,211
32,107,280
79,101,286
80,123,219
84,100,170
73,133,110
79,108,101
78,98,165
83,114,100
32,121,245
65,73,193
82,134,196
69,126,99
32,119,131
70,92,205
65,108,145
73,104,113
82,96,140
32,120,118
8,507,434
32,117,705
8,276,373
69,85,504
32,96,157
65,108,107
84,93,111
73,111,104
82,104,94
69,90,100
32,100,150
73,113,236
83,114,120
32,99,96
67,93,140
65,114,128
83,121,244
85,92,163
65,111,170
76,147,117
32,117,262
8,542,474
188,103,373
32,100,172
83,84,170
79,107,111
32,115,104
89,113,152
79,144,124
85,93,134
32,108,99
67,120,156
65,127,119
78,128,128
32,111,168
82,101,326
69,101,85
65,124,125
76,212,83
89,121,396
32,109,103
71,95,155
69,114,214
84,113,139
32,116,154
68,80,302
79,85,125
87,109,158
78,102,116
32,98,255
84,102,194
79,110,88
32,125,105
84,100,131
72,101,114
69,110,101
32,104,173
71,99,270
79,205,94
68,101,242
32,87,213
83,120,298
84,99,165
85,117,269
70,204,234
16,290,198
49,95,182
32,99,399
20,303,220
84,84,285
20,290,131
72,92,163
69,115,112
32,117,135
83,109,335
84,83,188
65,110,150
70,234,214
32,93,260
65,84,181
82,156,106
69,109,121
32,121,126
86,90,166
69,112,170
82,104,100
89,71,195
32,126,126
80,101,370
79,115,136
76,165,221
73,100,220
84,157,264
69,112,178
32,115,70
65,114,143
78,88,129
68,84,100
32,108,146
67,80,266
85,91,142
83,121,143
84,89,151
79,87,149
77,109,135
69,95,195
82,102,137
32,60,184
79,97,235
82,90,137
73,91,100
69,102,119
78,93,116
84,112,142
69,116,130
68,115,163
190,78,199
32,119,175
20,344,243
73,105,137
20,111,100
32,103,101
76,107,248
73,103,154
75,92,167
69,106,98
32,114,108
84,91,158
72,86,120
69,119,125
32,100,87
80,118,409
82,77,127
73,72,156
67,78,136
73,135,117
78,101,360
71,79,149
32,141,151
65,93,134
78,101,151
68,80,137
32,110,87
84,108,182
72,97,80
69,84,84
32,95,99
70,107,161
79,281,165
68,96,248
32,98,78
73,81,189
83,74,108
32,79,121
71,102,281
79,179,152
68,84,250
190,74,316
32,124,254
20,598,142
73,106,106
20,224,202
70,123,132
32,92,150
89,85,183
79,115,103
85,97,129
32,106,108
65,131,123
82,109,105
69,113,87
32,123,113
76,101,241
79,151,212
75,108,341
73,115,203
78,101,98
71,102,87
32,73,127
70,107,309
79,101,78
82,95,101
32,86,80
65,110,229
32,101,164
82,123,313
69,112,110
76,163,118
65,106,369
88,96,297
69,111,203
68,98,207
32,120,103
83,137,156
69,132,177
84,141,198
73,97,229
78,114,181
71,99,133
32,67,98
65,123,186
78,105,98
68,82,136
32,109,128
65,105,376
32,118,96
71,75,313
79,227,226
68,88,235
32,111,122
77,89,336
69,102,83
65,134,124
76,104,189
188,107,478
32,105,105
84,101,244
72,84,103
8,574,570
20,239,741
84,90,179
20,318,291
72,90,189
69,92,101
32,102,91
75,64,269
73,68,194
84,93,121
67,101,271
72,106,175
69,197,142
78,97,120
32,124,115
87,127,148
73,76,150
76,223,159
32,99,251
66,69,208
69,114,172
32,111,243
84,109,257
72,85,84
69,120,156
32,115,122
82,124,153
73,85,134
71,80,98
72,82,100
84,92,98
32,107,96
80,89,252
76,91,146
65,83,106
67,139,89
69,113,162
32,87,128
70,98,310
79,102,146
82,72,123
32,82,115
89,111,174
79,144,125
85,116,89
190,89,257
32,161,298
20,568,216
73,106,151
20,238,52
32,110,250
69,80,301
78,79,211
74,93,304
79,123,232
89,111,203
69,93,158
68,94,185
32,123,214
84,79,269
72,84,98
69,81,100
32,103,97
65,116,192
84,91,165
77,84,176
79,97,152
83,107,160
80,94,194
72,113,182
69,86,135
82,148,99
69,102,172
32,115,198
65,140,222
78,71,104
68,75,101
32,76,85
72,76,235
65,100,75
68,92,154
32,76,141
65,93,106
32,92,89
71,92,259
79,202,253
68,87,272
32,121,131
84,97,417
73,106,122
77,115,135
69,90,109
82,80,123
32,115,153
8,647,513
32,131,430
87,104,115
73,105,133
84,111,112
72,110,147
32,119,93
77,106,206
89,109,155
32,102,115
72,105,396
85,101,232
83,50,122
66,93,303
65,111,142
78,114,117
68,70,138
188,90,217
8,58,536
190,88,415
32,100,172
8,365,581
32,131,538
73,86,180
8,85,411
32,119,665
20,381,148
73,107,109
20,193,87
32,108,72
69,84,235
86,103,211
69,122,149
78,107,85
32,85,148
72,105,271
65,90,84
68,96,118
32,75,159
65,97,107
32,93,106
70,100,149
69,151,186
87,137,133
32,140,109
71,76,368
76,94,315
65,124,87
8,238,409
83,94,393
69,115,154
83,132,234
32,99,172
79,144,141
70,89,101
32,98,90
87,83,212
73,94,151
78,109,186
69,101,172
32,131,321
87,93,281
72,95,93
73,120,157
67,100,88
72,120,101
32,101,100
20,290,140
73,93,102
20,145,148
32,109,255
77,97,186
73,90,119
71,97,122
72,102,122
84,87,80
32,105,113
65,101,264
68,127,174
32,82,125
8,734,555
32,128,459
65,96,121
78,86,100
68,115,262
32,97,114
69,86,169
78,95,100
74,97,331
79,78,271
89,116,142
69,136,227
68,107,231
32,110,151
84,88,157
72,80,131
69,78,129
32,122,104
86,78,292
65,144,194
82,116,191
73,85,178
69,109,175
84,109,158
89,97,179
32,74,122
79,92,222
70,106,82
32,84,132
68,110,201
82,102,162
73,101,155
78,111,128
75,112,131
83,93,232
8,443,574
32,114,433
20,261,174
89,107,268
20,327,185
79,109,116
85,99,87
32,93,111
67,124,159
65,123,120
78,111,133
32,122,143
69,89,186
86,108,268
69,124,161
78,86,91
32,96,185
67,88,217
72,91,131
79,106,162
83,95,124
69,86,219
32,91,148
70,107,217
82,112,179
79,101,75
77,120,113
32,122,118
65,120,176
32,105,150
86,72,314
65,132,150
82,117,189
73,112,186
69,103,159
84,93,134
8,180,420
89,80,571
32,82,109
79,102,247
70,108,149
32,85,108
65,101,134
76,119,89
67,102,162
72,86,158
79,144,203
76,158,180
73,86,141
67,96,138
32,89,157
8,487,501
72,101,900
79,115,161
76,120,224
73,97,174
67,93,131
32,108,129
8,675,458
67,102,317
79,105,106
72,108,191
79,116,222
76,121,253
73,80,142
67,107,143
32,113,205
66,105,327
69,119,148
86,75,220
69,123,146
82,98,105
65,118,171
71,115,141
69,122,162
83,112,173
190,85,210
32,83,186
20,476,170
73,106,68
20,133,54
32,118,252
82,96,211
69,93,115
67,138,212
79,99,122
77,276,200
69,94,261
78,90,115
68,103,125
32,85,124
65,101,311
