VK,HT,FT
16,145,-1
73,114,112
32,50,78
72,65,153
86,76,172
69,96,71
32,88,93
8,990,552
65,82,177
86,79,0
69,81,92
32,78,79
66,65,163
69,54,104
78,71,315
32,74,109
84,80,49
79,89,45
32,76,88
16,279,366
77,80,460
76,0,173
69,51,125
32,60,60
8,785,200
79,152,192
76,195,69
69,61,187
32,75,100
16,73,435
77,11,92
79,82,54
76,106,0
69,58,49
32,77,89
83,72,307
69,92,0
86,67,25
69,86,132
82,101,31
65,75,82
76,130,60
32,55,27
84,74,492
73,155,116
77,55,290
69,96,80
83,104,530
32,97,48
78,119,27
79,113,86
87,89,234
32,0,39
65,30,257
78,72,122
68,74,87
32,64,93
69,145,236
65,78,407
67,21,0
72,84,89
32,75,59
73,63,103
84,106,179
8,0,288
84,67,290
73,119,115
77,117,148
69,89,111
32,70,92
73,114,236
84,79,292
32,85,102
72,81,15
65,113,111
32,108,79
8,744,64
83,63,0
32,79,117
66,72,182
69,96,248
78,140,7
32,95,87
68,58,82
69,56,137
76,137,141
73,72,124
67,58,64
73,66,263
79,89,168
85,106,94
83,56,350
190,82,308
32,52,55
16,0,107
87,83,183
72,140,97
73,94,167
76,167,181
69,55,210
32,66,118
73,58,258
84,64,0
32,272,195
73,57,168
83,64,325
32,61,70
78,82,23
79,68,72
84,58,252
32,0,0
77,117,357
85,81,154
67,112,317
72,55,112
32,81,102
84,61,0
79,87,76
32,65,100
76,137,124
79,52,122
75,81,26
32,41,97
65,98,28
84,159,434
188,74,419
32,94,67
84,76,187
72,61,26
69,62,43
32,88,64
82,77,357
69,65,167
83,74,345
84,65,183
65,80,386
85,116,37
82,81,177
65,92,153
78,82,69
84,73,157
32,0,176
72,70,420
65,104,121
83,131,97
32,96,65
65,103,369
77,62,147
65,97,469
90,89,707
73,74,0
78,110,90
71,82,166
32,0,59
65,74,156
85,102,171
84,52,197
72,54,44
69,63,85
78,123,500
84,79,80
73,104,121
67,68,176
32,63,92
16,0,0
77,110,161
69,77,113
88,822,382
73,104,50
67,114,113
65,104,10
78,65,121
32,67,69
70,58,607
79,167,98
68,70,167
190,110,0
32,112,65
16,0,0
76,110,366
83,38,302
84,52,209
32,78,102
8,998,522
65,60,382
83,144,159
84,66,102
32,80,409
84,80,154
73,88,94
77,54,265
69,73,118
32,79,92
16,369,322
73,129,62
32,80,62
72,50,15
65,102,151
68,69,165
32,63,146
84,77,851
72,76,81
69,73,57
32,75,94
80,79,122
76,132,414
65,89,290
73,134,62
78,136,48
84,83,116
65,78,192
73,99,88
78,126,61
83,48,224
32,90,224
65,59,194
78,70,91
68,74,85
32,84,74
65,96,95
32,180,37
80,64,310
85,55,22
76,184,151
69,51,159
68,76,275
32,89,116
80,93,644
79,165,201
82,66,92
75,111,249
32,122,0
68,53,624
73,59,172
83,57,47
72,66,66
190,129,624
32,121,103
16,365,659
84,97,66
72,50,109
69,65,79
32,86,83
80,69,600
76,175,155
65,82,504
78,52,173
84,67,135
65,116,118
73,103,211
78,116,185
83,118,0
32,83,68
87,69,13
69,61,104
82,106,81
69,90,70
32,80,117
71,54,47
82,104,327
73,113,205
76,197,188
69,64,39
68,64,41
32,95,76
84,64,298
79,86,72
32,68,80
80,82,91
69,114,172
82,61,71
70,64,222
69,42,312
67,82,0
84,58,223
73,110,70
79,0,56
78,79,142
32,67,5
65,89,304
78,73,108
68,83,38
32,80,98
72,67,164
65,118,86
68,86,138
32,88,109
74,184,683
85,87,257
83,67,315
84,70,191
32,82,0
69,64,212
78,137,46
79,121,117
85,71,112
71,56,60
72,84,358
32,96,91
83,36,326
65,63,0
76,113,116
84,84,342
32,84,219
84,63,125
79,93,73
32,74,99
79,144,176
85,114,86
84,36,119
87,103,279
69,75,16
73,88,0
71,93,59
72,90,68
32,103,64
84,66,354
72,75,140
69,55,108
32,64,94
83,79,104
87,49,73
69,107,142
84,87,195
78,74,215
69,106,0
83,116,7
32,69,102
79,177,40
70,24,380
32,114,274
84,78,533
72,23,111
69,60,30
32,64,97
70,54,54
82,72,0
85,77,112
73,115,75
84,85,263
190,47,139
32,79,104
16,549,193
84,89,288
72,67,109
69,73,69
32,67,76
80,86,191
79,129,208
82,63,78
75,84,121
32,0,165
87,26,295
65,102,213
83,115,74
32,94,106
8,466,190
68,76,200
73,75,135
83,61,149
72,69,89
32,106,65
87,91,0
65,100,314
32,315,116
8,454,466
83,84,187
32,76,200
82,58,365
73,107,194
67,58,73
72,89,123
32,65,79
65,39,106
78,62,148
68,69,82
32,90,95
83,75,288
80,78,363
73,87,73
67,36,198
89,60,160
188,99,75
32,123,62
74,977,167
8,103,734
87,76,137
72,90,56
73,109,138
67,51,81
72,79,77
32,83,100
