VK,HT,FT
16,521,-1
89,683,656
79,182,859
16,960,226
77,497,388
32,150,355
16,300,54
89,188,151
79,605,319
77,10,427
32,202,209
89,494,87
79,574,366
77,852,312
16,563,164
49,209,378
32,139,224
16,359,63
71,722,280
82,967,698
69,224,112
65,88,946
84,741,130
32,120,386
70,98,817
79,496,471
68,706,279
190,853,548
8,931,83
16,422,457
49,651,769
32,143,143
16,420,845
84,789,766
72,387,787
69,147,627
73,886,967
82,118,187
32,181,131
8,263,171
72,638,192
69,644,760
32,138,189
79,822,387
82,869,840
71,141,915
8,127,786
65,855,501
78,351,691
71,527,634
69,589,15
32,186,0
67,160,747
72,538,844
73,459,648
67,399,334
75,945,523
69,113,589
78,822,373
32,146,0
73,653,246
83,835,763
32,99,344
83,153,976
79,23,82
32,167,137
68,372,366
69,225,183
76,321,135
73,623,63
67,943,69
73,66,577
79,427,585
85,992,6
83,574,873
190,430,573
32,175,64
16,594,138
73,353,469
222,368,115
86,736,833
69,650,716
32,85,134
66,730,499
69,238,746
78,346,22
32,162,422
84,966,272
79,233,935
32,158,169
77,748,224
65,456,504
78,719,778
89,690,660
32,168,31
67,547,169
72,781,46
73,98,520
78,192,930
69,38,199
83,120,894
69,931,937
32,100,154
70,496,909
65,227,51
83,347,17
84,708,758
32,145,81
70,739,729
79,338,522
68,519,792
83,101,128
8,471,379
32,123,107
80,173,903
76,847,232
65,557,2
67,457,984
69,924,510
83,342,132
32,202,168
65,696,346
78,56,177
68,980,560
32,151,343
84,382,374
72,606,66
73,123,132
83,821,891
32,144,160
79,740,219
78,880,496
69,301,145
32,67,283
83,304,76
84,244,167
65,687,453
78,836,651
68,400,772
83,95,389
32,147,226
79,337,408
85,840,66
84,450,501
32,105,223
84,490,778
72,604,189
8,315,400
190,719,136
32,229,136
78,88,141
79,758,399
84,811,746
32,104,282
83,949,677
85,689,127
82,862,693
69,567,695
32,129,280
8,533,648
16,745,363
78,311,323
79,760,371
84,641,571
32,152,58
83,888,932
85,505,951
82,73,907
69,294,975
32,213,224
87,207,578
72,213,367
65,294,466
84,499,61
32,111,128
72,342,163
69,137,535
89,50,802
8,615,9
84,822,982
72,870,614
69,229,123
89,92,862
32,194,215
