VK,HT,FT
16,770,-1
77,287,561
89,868,692
32,95,138
72,865,599
85,621,243
83,174,33
65,109,164
8,493,721
83,521,606
66,443,692
65,109,119
78,146,144
68,512,178
32,82,46
65,78,207
78,141,137
68,967,633
32,120,126
16,50,420
73,118,62
32,129,167
72,686,977
65,109,21
86,395,231
69,69,276
32,123,75
66,384,6
69,73,183
78,110,39
32,125,149
70,974,578
65,109,74
78,128,122
83,376,776
32,94,103
79,221,865
70,250,773
32,102,68
79,983,434
85,316,791
82,570,823
32,132,90
76,977,235
79,729,767
67,834,628
65,78,126
76,436,254
32,121,115
16,511,114
79,913,586
76,673,24
73,125,62
86,663,952
69,75,98
32,124,69
16,366,260
71,673,999
65,59,69
82,386,177
68,632,646
69,72,84
78,142,132
32,17,108
67,236,605
72,813,183
65,110,93
73,117,72
78,93,152
32,105,140
82,183,702
69,47,92
83,462,190
84,61,143
65,86,166
85,605,548
82,545,759
65,109,129
78,14,162
84,93,48
32,104,168
70,366,588
79,844,411
82,291,796
32,109,186
83,492,486
69,85,186
86,457,682
69,53,96
82,677,261
65,62,168
76,63,244
83,118,355
32,125,72
8,943,801
32,109,74
89,704,915
69,70,127
65,103,0
82,570,674
83,495,43
32,116,72
78,110,125
79,383,693
87,234,568
190,988,51
32,147,52
16,478,735
84,81,146
72,785,210
73,118,62
83,387,963
32,140,72
80,284,855
65,103,93
82,85,207
84,60,62
73,109,109
67,950,641
85,662,672
76,596,965
65,78,193
82,611,970
32,101,140
82,250,219
69,93,268
83,757,859
84,13,65
65,78,132
85,162,246
82,11,561
65,76,211
78,131,176
84,93,78
32,110,111
73,104,100
83,816,726
32,140,114
84,78,55
72,964,90
69,55,96
32,102,140
79,91,773
78,134,28
76,603,273
89,270,246
32,117,175
79,563,607
78,87,125
69,54,126
32,122,186
73,110,79
78,82,162
32,127,93
84,94,62
72,211,824
69,61,88
32,92,109
70,136,479
8,192,672
16,330,477
70,742,408
65,78,25
82,939,297
71,919,788
79,355,114
189,558,929
16,533,503
77,459,626
79,136,25
82,450,511
72,674,562
69,49,130
65,78,64
68,600,453
32,110,177
77,911,841
69,32,80
84,67,47
82,727,960
79,95,530
32,90,121
65,83,94
82,646,40
69,61,270
65,78,64
32,142,107
8,983,662
188,595,164
32,76,84
83,747,323
79,760,141
32,109,182
73,99,69
83,70,198
32,131,47
84,82,157
89,741,502
80,280,830
73,111,66
67,296,945
65,70,93
76,823,257
89,203,325
32,109,80
86,916,185
69,48,69
82,303,626
89,454,756
32,46,73
66,578,495
85,616,791
83,794,620
89,306,555
190,816,425
32,110,44
16,949,573
84,90,79
72,855,286
65,109,147
84,74,48
32,122,147
66,89,105
69,85,156
73,136,109
78,138,168
71,886,96
32,120,133
83,844,956
65,47,216
73,118,95
68,444,683
188,370,696
32,120,105
87,938,284
69,62,98
32,110,69
72,347,372
65,77,167
86,968,970
69,73,96
32,120,47
78,126,39
69,78,140
82,786,654
32,125,134
72,844,465
65,78,104
68,165,159
32,120,47
65,111,85
32,80,121
80,637,906
79,354,66
82,155,296
32,149,135
69,72,131
88,943,755
80,465,628
69,26,174
82,467,522
73,122,79
69,71,96
78,115,40
67,464,920
69,93,151
190,657,29
32,125,120
16,666,94
84,42,78
72,299,245
69,89,79
32,39,106
82,915,68
69,69,161
83,366,320
84,80,79
65,91,219
85,589,822
82,855,972
65,85,133
78,103,202
84,81,48
32,140,109
73,94,109
83,474,275
32,76,21
86,979,877
69,62,99
82,240,435
89,59,279
32,110,93
8,714,539
32,41,135
87,15,260
69,90,152
76,282,532
32,131,63
75,752,294
69,92,190
80,713,455
84,63,37
32,54,121
189,289,150
32,110,77
69,54,99
88,797,970
84,78,63
82,829,611
69,68,256
77,274,601
69,61,75
76,541,720
89,462,438
32,91,83
67,769,568
76,505,859
69,84,99
65,78,125
78,46,125
188,362,905
32,123,73
87,372,2
73,111,145
84,78,131
72,951,284
32,126,62
65,78,30
68,754,486
69,68,283
81,721,842
85,93,633
65,76,206
84,75,54
69,62,99
32,145,75
80,566,435
65,78,45
82,463,661
75,381,785
73,108,76
78,97,0
71,949,529
32,120,108
65,110,69
78,139,191
68,399,846
32,125,72
83,2,878
69,34,73
65,56,157
73,94,79
78,103,162
8,464,59
84,93,62
73,127,554
78,67,124
71,155,388
32,120,108
73,124,79
78,76,186
32,130,72
84,61,62
69,89,99
72,385,480
32,66,73
66,234,98
65,78,75
82,254,929
8,550,354
72,485,679
69,61,17
32,110,125
66,14,476
65,78,93
82,47,304
191,873,116
67,534,694
65,109,132
70,748,88
69,91,88
32,14,140
73,110,91
70,697,658
32,124,129
65,111,131
32,147,72
87,578,565
65,108,65
73,109,129
84,78,48
32,125,88
73,125,72
83,343,493
32,118,36
78,139,183
69,76,121
67,339,767
69,72,96
83,167,209
65,4,125
82,717,274
89,311,576
190,700,502
32,124,137
16,789,425
84,60,136
72,720,360
69,47,94
32,110,66
70,492,477
79,60,987
68,186,17
32,78,76
73,112,109
83,372,248
32,109,135
79,132,380
85,851,558
84,94,221
83,108,873
84,78,119
65,78,93
78,120,130
68,663,364
73,15,82
78,47,161
71,856,9
32,125,93
65,109,125
78,93,99
68,397,791
32,125,104
84,90,66
72,559,10
69,54,99
32,85,124
83,27,716
69,26,79
82,459,82
86,848,456
69,65,233
82,185,741
83,664,296
32,125,102
65,109,67
78,77,138
68,580,169
32,108,127
67,178,607
79,725,744
75,33,313
83,452,280
32,122,77
65,109,125
82,438,321
69,72,91
32,110,182
86,566,851
69,72,106
82,135,413
89,440,343
32,125,112
87,8,552
73,93,101
76,437,391
73,109,109
78,127,77
71,318,265
32,147,64
84,78,78
79,876,520
32,140,107
65,78,101
68,677,403
65,109,48
80,53,866
84,44,144
32,136,84
84,52,130
72,793,354
69,78,98
32,140,140
84,60,67
82,986,327
65,91,173
68,285,997
73,125,112
84,78,67
73,110,450
79,351,180
78,97,125
65,20,132
76,574,23
32,129,140
68,191,469
73,135,109
83,217,873
72,83,755
69,60,248
83,22,598
32,137,130
84,4,62
79,238,988
32,104,108
69,49,105
78,99,131
83,288,437
85,260,318
82,650,59
69,71,105
32,120,140
84,79,187
72,9,559
69,79,129
32,106,93
83,974,270
65,78,80
70,253,601
8,769,454
84,81,197
73,108,82
83,216,801
70,230,14
84,81,74
8,278,920
65,44,169
67,772,241
84,81,65
73,94,103
79,502,620
78,86,122
32,140,47
79,564,841
70,724,718
32,49,42
69,47,79
65,109,158
67,263,717
72,676,765
32,117,108
68,369,90
73,122,109
78,141,168
69,62,88
82,192,905
190,652,396
32,103,72
16,613,131
77,236,318
89,333,303
32,120,50
72,930,927
85,472,649
83,175,39
78,141,125
8,861,359
66,959,570
65,78,76
78,83,132
68,153,852
32,132,108
65,71,75
78,93,131
68,931,343
32,110,120
16,968,231
73,93,62
32,100,68
72,255,698
65,78,106
86,46,766
69,72,233
32,140,36
84,90,40
82,501,726
73,110,62
69,84,98
68,777,395
32,120,75
65,72,93
76,248,409
32,107,121
79,941,83
70,319,721
32,118,174
84,48,63
72,961,695
69,47,242
32,125,69
84,80,137
82,462,802
65,84,144
68,591,741
73,15,81
84,61,48
73,122,109
79,818,434
78,29,174
65,111,65
76,156,405
32,122,135
70,938,830
65,52,55
86,560,353
79,726,45
84,61,150
73,125,109
69,93,87
83,431,839
190,86,241
32,140,47
8,215,696
82,315,593
73,125,109
84,54,62
69,81,66
83,2,656
32,120,28
8,60,274
188,977,348
32,120,140
65,108,102
78,141,130
68,750,386
32,120,109
72,902,449
69,75,138
32,110,77
79,190,784
70,52,589
84,64,122
69,93,99
78,135,98
32,109,100
84,64,115
82,443,612
73,111,158
69,61,152
83,200,21
32,109,106
84,67,135
72,946,615
69,55,98
73,93,105
82,747,311
32,116,47
83,146,195
69,50,77
65,33,70
83,783,458
79,735,729
78,138,140
83,94,798
8,457,806
65,64,62
76,676,3
32,135,121
70,421,960
65,79,178
86,438,260
79,503,707
82,351,397
73,81,78
84,90,39
69,93,86
83,79,167
32,136,140
65,56,64
83,893,663
32,90,125
87,42,541
69,72,154
76,829,395
190,361,672
32,110,93
16,741,939
84,61,84
72,151,656
69,89,43
89,411,707
32,87,47
72,205,406
8,240,773
65,109,162
