VK,HT,FT
16,455,-1
73,103,221
32,181,144
67,124,0
65,130,79
77,104,82
87,106,100
8,267,550
69,98,449
32,51,84
84,78,316
79,142,73
32,122,41
84,94,283
72,79,117
69,75,0
32,73,98
82,163,100
69,168,65
83,155,0
84,78,260
65,87,165
85,78,202
82,140,193
65,142,225
78,63,136
84,108,182
32,108,655
16,527,224
84,105,232
79,190,154
8,865,575
65,100,189
86,89,285
79,128,456
76,112,276
65,153,96
84,99,155
65,177,113
32,101,284
87,177,0
73,59,90
84,114,170
72,43,65
32,159,84
77,126,27
89,131,386
32,137,358
70,104,88
65,185,0
77,49,0
73,200,239
76,149,85
89,94,55
32,105,0
76,186,112
65,126,171
83,77,145
84,76,395
32,131,183
16,522,434
87,89,165
69,76,170
68,64,189
78,128,18
69,150,79
83,132,207
68,140,172
65,96,65
89,111,80
32,105,94
78,59,269
73,34,0
71,84,11
72,108,176
8,615,632
69,98,713
86,101,383
69,148,225
78,17,268
73,172,1
78,83,118
71,106,257
190,164,1320
32,141,174
16,513,418
84,100,290
72,61,121
69,38,84
32,99,136
72,114,4
79,123,273
83,79,89
84,78,161
69,85,104
83,176,0
32,127,55
71,119,0
82,107,0
69,139,87
84,70,296
69,143,113
68,84,187
32,90,124
85,110,0
83,88,178
32,84,330
67,116,121
79,120,0
82,45,149
68,101,224
73,95,152
65,270,0
76,168,191
89,115,176
32,88,562
65,130,118
78,114,106
68,139,110
32,81,85
87,159,147
69,145,53
32,56,169
87,139,364
69,155,111
82,139,137
69,149,137
32,107,253
73,81,551
77,151,0
69,133,203
68,114,202
73,47,186
65,141,216
84,51,298
69,173,138
76,0,111
89,134,202
32,119,149
83,114,286
69,155,28
65,177,117
84,89,169
69,244,203
68,105,162
190,73,520
32,114,232
16,719,40
87,125,164
69,149,131
32,86,217
79,143,392
82,84,204
68,111,187
69,147,246
82,153,64
69,0,135
68,127,181
32,111,44
65,121,238
78,157,94
68,137,121
32,83,93
8,880,678
32,146,0
65,112,0
80,207,28
69,67,149
84,69,191
73,273,0
90,51,446
69,130,312
82,150,41
32,68,399
84,49,62
79,129,85
32,120,103
83,114,120
72,104,220
65,192,401
82,160,60
69,116,96
32,127,179
65,163,157
78,110,121
68,166,20
32,74,110
87,13,346
69,97,100
32,89,186
87,140,449
8,69,286
69,120,3
65,232,68
67,179,646
72,108,55
32,86,173
79,106,400
82,89,152
68,96,167
69,71,228
82,152,40
69,213,122
68,109,188
32,107,74
68,195,94
73,68,175
70,218,108
69,76,133
82,125,106
