VK,HT,FT
16,109,-1
83,399,74
79,103,180
85,100,123
80,114,141
76,686,630
20,470,879
65,129,80
78,476,871
84,647,799
65,112,2
84,53,478
73,94,922
79,101,143
78,70,635
32,126,38
73,142,976
83,671,701
32,95,146
79,52,127
78,818,160
69,97,87
32,124,16
79,123,158
70,851,706
32,110,80
89,896,147
77,992,372
8,779,207
77,891,856
89,90,626
32,117,80
70,366,28
65,102,60
86,657,457
79,32,72
82,543,419
73,488,882
84,958,373
69,120,70
32,141,80
82,451,847
69,98,117
83,47,547
84,867,469
85,265,799
65,140,126
82,850,833
8,847,821
65,123,84
85,402,856
82,718,381
65,111,84
78,291,428
84,788,546
83,580,422
32,95,80
84,146,76
79,108,61
32,110,109
71,182,909
79,103,126
32,118,21
84,999,684
79,181,78
32,125,74
79,129,133
78,24,386
32,116,80
65,117,75
32,124,123
82,96,163
69,86,110
71,738,648
85,117,593
76,667,945
65,36,128
82,168,779
32,108,110
66,756,33
65,129,88
83,441,746
73,83,890
83,900,148
190,401,23
32,100,118
16,492,569
84,676,563
72,479,607
69,77,86
32,117,115
87,764,160
73,755,595
68,299,745
69,120,115
32,155,74
82,312,972
65,153,60
78,204,531
71,244,40
69,75,94
32,141,144
79,120,195
70,890,194
32,92,74
67,582,640
72,740,936
79,99,148
73,333,27
67,555,449
69,86,90
83,510,972
32,117,48
73,267,789
78,107,176
32,105,50
84,868,33
69,124,113
72,55,411
32,106,80
8,4,603
72,205,769
69,77,258
32,12,73
66,530,573
69,74,82
8,174,765
85,266,348
70,314,97
69,76,86
84,15,658
32,49,137
77,297,853
65,131,441
75,892,372
69,91,10
83,623,426
32,159,82
73,575,322
84,679,904
32,95,122
81,946,32
85,835,782
73,389,167
67,765,807
75,577,36
32,159,99
65,100,119
78,531,221
68,626,728
32,110,87
69,86,108
65,129,131
83,454,742
89,266,433
32,95,80
84,376,36
79,113,127
32,78,80
80,835,749
73,72,190
67,180,731
75,289,903
32,151,107
79,154,138
85,227,733
84,431,565
32,126,109
77,603,483
89,479,491
32,145,74
70,146,273
79,51,82
68,433,385
32,39,104
65,27,105
78,253,887
68,120,579
32,126,78
69,119,196
65,153,103
84,331,740
32,126,80
65,74,554
32,86,79
77,775,59
69,88,184
65,153,73
76,28,762
190,937,943
32,142,134
16,372,835
84,335,214
72,229,762
79,96,91
85,1,681
71,526,840
72,802,64
32,95,71
84,35,15
72,328,326
69,103,78
32,125,109
82,506,22
69,86,200
83,105,880
84,779,74
65,152,82
85,285,596
82,531,635
65,92,60
78,163,607
84,926,83
32,187,119
72,315,944
65,129,99
83,306,490
32,110,73
16,629,255
222,510,172
83,330,58
79,149,94
85,68,975
80,864,796
16,825,660
222,754,989
32,159,143
73,391,738
78,449,864
32,26,80
73,567,970
84,745,377
83,7,867
32,117,139
78,944,165
65,102,83
77,913,587
69,157,171
188,336,42
32,128,37
84,59,4
72,813,667
69,86,69
89,317,502
32,116,72
79,84,62
70,882,720
69,165,86
82,459,936
32,176,76
80,177,173
65,117,83
83,50,309
84,968,396
65,117,720
83,617,661
188,899,914
32,110,34
77,864,602
85,375,928
70,416,471
73,609,529
67,21,372
83,732,932
188,703,421
32,126,152
83,523,195
65,70,112
76,132,362
65,123,68
83,527,56
68,613,259
8,125,146
68,510,293
83,588,458
188,484,229
32,99,131
65,126,86
78,399,761
68,285,733
32,184,58
80,535,60
73,195,5
90,229,964
65,153,92
32,89,75
65,117,116
76,860,347
83,164,350
79,96,89
190,81,661
32,110,59
16,723,248
70,344,856
79,109,82
82,220,918
32,116,80
83,389,620
85,535,732
67,911,838
72,877,595
65,131,58
32,117,88
8,446,198
32,95,80
65,106,80
32,144,97
82,210,926
65,113,463
78,904,612
71,89,670
69,86,300
32,95,128
79,143,166
70,338,284
32,86,126
67,734,826
72,760,791
79,123,90
73,703,490
67,839,343
69,43,88
83,135,569
188,932,290
32,117,80
84,238,736
72,717,151
69,83,110
32,94,129
70,845,50
79,92,216
68,64,669
32,106,78
73,820,14
83,227,715
32,96,79
81,782,954
85,970,249
73,409,102
84,343,772
69,118,97
32,137,91
70,380,313
82,533,547
69,133,109
83,143,501
72,200,329
32,113,94
65,128,82
83,26,62
32,118,115
87,907,29
69,140,256
76,493,234
188,971,560
32,126,69
87,745,552
72,436,873
73,805,361
67,476,774
72,796,666
32,102,95
73,164,319
83,523,187
32,110,80
83,670,29
79,150,231
77,841,540
69,102,71
84,133,314
72,751,52
73,933,600
78,712,0
71,528,581
32,101,110
84,200,653
72,416,884
65,153,307
84,987,642
32,155,80
73,179,491
83,646,732
32,2,49
68,944,440
73,727,185
70,147,925
73,915,68
67,643,640
85,973,687
76,187,348
84,963,469
32,101,129
84,356,32
79,122,157
32,117,80
70,216,769
73,359,919
78,220,508
68,987,374
32,104,147
73,82,794
78,571,595
32,110,110
77,938,313
79,93,153
83,797,53
84,747,76
32,12,79
66,963,564
85,974,865
70,896,100
69,86,71
84,218,245
189,108,412
83,959,912
84,525,652
89,564,112
76,988,467
69,142,95
32,177,109
82,808,437
69,118,79
83,491,618
84,959,983
85,658,357
65,140,60
78,861,646
82,156,590
8,871,804
65,135,84
85,620,971
82,10,671
65,129,100
78,59,0
84,332,735
83,658,448
32,98,80
84,933,413
72,897,496
69,64,67
83,28,462
69,129,114
32,117,100
68,431,500
65,52,122
89,544,278
83,784,452
190,287,689
32,101,128
8,365,939
78,878,507
77,188,736
78,34,453
8,504,413
16,447,468
84,682,958
72,402,85
69,118,332
32,110,140
83,943,887
69,69,84
82,249,772
86,639,49
73,458,811
67,611,868
69,147,117
32,123,87
73,134,271
83,767,319
