VK,HT,FT
16,1007,-1
73,89,348
32,124,117
65,125,256
76,354,133
87,122,97
65,128,113
89,92,201
83,88,62
32,142,127
72,117,168
65,95,51
86,81,184
69,94,130
32,62,127
65,137,156
78,90,202
32,64,14
69,115,340
78,130,140
72,86,274
187,106,324
8,950,672
74,115,447
79,143,246
89,58,404
65,150,198
66,97,0
76,144,196
69,121,165
32,92,92
69,103,86
88,97,350
80,69,286
69,214,56
82,174,174
73,144,92
69,157,163
78,94,231
67,78,111
69,135,193
32,103,51
87,114,145
72,93,82
69,110,132
78,166,52
69,115,22
86,101,0
69,77,141
82,111,10
32,139,105
16,293,171
73,117,0
32,90,17
71,102,0
79,125,1
32,45,123
84,89,43
79,103,8
32,167,0
16,168,148
83,129,417
85,105,375
83,135,0
72,108,143
73,127,188
32,86,163
16,51,76
84,63,0
72,120,150
65,125,159
73,178,100
190,83,286
32,223,672
16,175,253
65,123,145
76,192,42
32,157,206
79,81,267
70,65,112
32,139,97
72,80,441
84,83,184
69,133,0
32,64,364
8,1175,40
16,288,524
84,44,224
72,89,0
69,78,48
32,86,28
83,119,231
69,126,185
32,163,0
86,92,547
8,381,252
82,104,266
86,84,111
73,125,97
67,15,59
69,108,175
32,96,0
73,62,364
83,36,88
32,122,70
81,70,392
85,49,66
73,85,164
67,94,205
75,56,138
32,53,190
65,103,248
78,116,21
68,102,97
32,196,119
80,83,494
79,135,143
76,138,433
73,105,214
84,92,122
69,66,287
32,77,0
65,113,329
78,78,112
68,80,211
8,226,309
188,14,307
32,174,185
65,0,0
78,56,120
68,86,285
32,92,342
84,31,0
72,119,77
69,123,74
32,67,175
70,102,360
79,248,176
68,124,416
32,113,0
73,56,242
83,78,129
32,58,96
65,129,0
8,141,101
70,157,774
82,72,342
69,241,0
83,117,399
72,115,196
32,105,133
65,85,123
78,149,109
68,92,48
32,98,158
68,144,239
69,140,375
76,114,235
73,51,370
67,146,102
73,145,180
79,54,102
85,105,8
83,168,224
190,104,535
32,159,127
16,111,0
73,128,151
32,90,0
79,192,354
82,105,124
68,150,178
69,157,164
82,97,73
32,154,94
65,137,331
32,73,170
68,90,87
73,100,80
70,223,85
69,169,341
82,100,118
69,136,83
78,31,135
84,69,70
32,120,146
84,53,120
89,117,261
80,156,58
69,118,219
32,109,192
79,83,69
70,112,30
32,109,52
83,70,134
85,131,258
83,131,176
72,157,150
73,90,114
32,149,76
82,70,413
79,251,297
76,168,0
32,149,399
69,139,186
86,134,185
69,171,156
82,70,54
89,120,0
32,212,16
84,100,479
73,107,132
77,83,148
69,117,35
32,82,132
16,417,68
73,72,111
32,120,0
71,93,57
79,77,226
32,144,195
65,111,468
78,99,64
68,101,0
32,127,36
72,104,605
65,117,74
86,79,194
69,127,134
32,104,5
78,118,387
69,154,95
86,85,208
69,159,127
82,108,151
32,120,227
66,87,202
69,0,224
78,81,373
32,130,0
68,138,161
73,145,161
83,69,75
65,146,249
80,131,412
79,217,234
73,119,75
78,160,37
84,70,100
69,140,75
68,110,241
32,401,113
87,82,153
73,89,217
84,112,160
72,97,87
32,59,99
84,160,99
72,67,94
69,53,536
32,69,112
84,119,0
