VK,HT,FT
16,385,-1
87,81,252
79,165,115
87,95,121
16,454,235
49,82,154
32,101,256
16,145,359
87,86,245
72,112,104
65,115,103
84,99,90
32,136,97
65,124,124
78,96,144
32,99,276
65,118,178
87,93,309
69,95,156
83,122,139
79,91,101
77,70,85
69,78,114
32,92,109
65,146,149
78,103,160
68,135,126
32,99,103
70,103,296
73,116,117
8,278,498
82,103,118
73,103,204
69,73,98
78,97,157
68,116,132
76,98,201
89,85,146
32,109,127
80,87,408
76,108,133
65,121,101
67,92,119
69,81,93
32,103,135
84,113,153
79,69,130
32,87,89
69,99,364
65,143,164
84,75,121
190,62,210
32,104,357
16,109,213
73,281,56
222,99,160
86,79,101
69,70,99
8,681,335
16,342,235
73,248,177
32,101,167
76,107,266
73,107,100
86,74,147
69,82,109
32,115,90
73,103,196
78,91,77
76,94,194
65,106,89
78,91,135
68,133,140
188,80,332
32,122,311
65,109,167
78,144,151
68,147,135
32,97,102
87,101,260
65,101,105
83,104,85
32,121,143
65,124,232
77,94,203
65,116,90
90,721,220
69,111,168
68,99,160
32,105,104
66,84,214
89,96,171
32,105,96
72,103,203
79,81,106
87,88,263
32,123,162
72,98,286
8,462,358
71,102,188
79,131,174
68,101,227
32,105,171
84,105,92
72,125,64
69,92,62
32,114,130
70,97,274
73,115,99
83,132,148
72,121,123
32,120,135
87,87,325
65,97,100
83,110,110
32,124,149
173,329,55
8,227,433
86,78,97
173,860,332
8,142,344
86,78,123
8,480,462
32,119,144
18,846,151
16,179,425
173,745,698
32,115,111
84,109,179
65,132,192
83,110,127
84,114,127
69,100,175
8,321,359
84,115,179
65,120,191
83,129,99
84,114,142
69,87,151
83,128,224
32,127,149
76,90,219
73,95,83
75,80,179
69,109,152
32,111,223
83,122,176
79,84,126
77,79,85
69,78,108
84,92,197
72,130,138
73,109,117
78,109,134
71,102,175
32,101,156
8,652,540
73,102,173
84,93,97
32,94,142
87,89,219
65,101,119
83,106,98
32,108,123
8,798,614
190,72,211
16,243,415
89,97,243
79,129,122
85,121,87
32,85,108
75,94,301
78,116,106
79,94,117
87,97,327
32,119,102
72,104,300
79,118,146
87,98,259
32,124,124
85,110,131
83,111,133
85,107,166
65,114,132
76,142,124
89,85,109
32,118,119
79,96,304
78,78,93
76,119,195
89,88,146
32,109,137
82,93,192
69,107,98
83,117,178
84,116,139
65,120,255
85,101,148
82,88,129
65,130,111
78,112,96
84,116,145
83,99,190
32,107,121
79,95,320
78,76,98
32,127,190
84,112,113
72,132,99
69,80,65
32,102,111
71,97,238
8,351,542
67,88,242
79,146,157
65,128,156
83,109,106
84,123,121
32,131,128
72,96,269
65,100,97
86,74,99
69,75,111
32,113,141
82,103,230
69,106,76
65,147,172
76,130,131
89,91,143
32,108,132
71,93,275
79,174,144
68,100,370
32,102,132
83,107,304
69,132,123
79,107,117
8,185,425
65,113,153
70,97,256
79,249,194
68,111,330
16,194,446
191,329,295
32,101,256
16,219,308
87,96,245
69,98,91
76,130,135
188,85,353
32,111,124
40,159,565
16,186,451
8,584,493
32,120,108
72,94,169
69,83,66
82,100,112
69,79,80
190,61,276
32,93,169
16,109,283
77,89,209
8,417,404
32,104,237
8,750,415
32,116,119
16,138,275
73,0,53
84,92,120
32,93,130
77,103,226
69,96,104
65,145,167
83,130,105
85,109,145
82,81,117
69,87,92
83,121,229
32,102,139
85,121,150
80,93,321
16,248,399
49,72,261
32,117,156
16,196,368
84,108,147
72,119,50
69,85,72
32,96,163
83,111,180
84,105,131
65,135,195
70,148,250
32,122,253
87,102,232
65,99,117
83,117,101
32,106,139
70,105,339
82,110,139
73,105,119
69,97,90
78,90,126
68,122,139
76,120,161
89,86,107
188,80,217
32,99,192
65,119,216
78,104,72
68,160,115
32,124,129
84,109,111
72,124,60
69,77,68
8,345,290
83,109,134
69,153,134
82,101,134
86,58,133
73,101,219
67,97,146
69,100,99
32,92,118
87,89,145
65,102,114
83,123,111
32,109,120
70,110,340
65,112,162
83,118,115
84,109,193
188,73,362
32,96,285
65,113,145
78,131,128
68,160,125
32,126,96
84,102,87
72,119,69
69,77,69
32,96,123
80,100,377
76,111,146
65,113,96
67,94,115
69,77,82
8,419,295
87,87,197
72,128,67
