VK,HT,FT
16,35,-1
84,94,523
72,122,134
69,153,117
32,175,202
16,243,1372
83,90,214
65,186,319
71,945,786
65,153,438
8,269,379
72,88,147
69,145,123
32,161,135
16,211,564
86,540,376
65,147,571
80,457,846
73,147,722
65,145,142
78,147,35
79,144,123
32,145,136
82,139,198
69,172,128
83,177,222
84,102,162
85,127,156
65,167,218
82,166,144
65,148,156
8,28,551
16,363,911
82,182,136
69,214,102
83,117,215
84,125,225
85,119,395
65,141,205
8,762,366
85,104,158
82,99,184
65,169,797
78,104,132
84,115,188
32,148,98
87,623,208
73,97,123
76,130,221
8,27,1212
79,59,151
70,147,128
69,126,297
82,136,833
83,170,199
32,160,413
89,103,679
8,92,785
32,139,201
89,95,264
79,104,137
85,89,151
32,306,210
65,160,180
32,140,170
85,71,166
78,94,107
73,148,219
81,462,977
85,104,146
69,104,170
32,157,237
68,106,159
73,137,205
78,111,223
73,84,171
78,139,211
71,700,411
32,172,209
69,87,150
88,144,746
80,676,853
69,143,190
82,85,121
73,85,126
69,104,231
78,133,242
67,676,749
69,141,101
190,197,86
32,181,60
16,342,69
84,138,258
72,114,133
69,55,37
32,150,179
79,141,200
87,842,129
78,145,126
69,143,736
82,115,137
83,136,177
32,159,199
65,150,168
82,118,137
69,155,158
32,161,248
70,116,238
82,129,111
79,196,177
77,128,95
32,143,217
16,196,104
73,163,114
84,103,213
65,186,167
76,132,360
89,122,443
32,147,245
65,101,1035
78,114,159
68,134,177
32,143,132
72,136,124
65,124,167
86,394,925
69,118,101
32,155,290
66,512,34
82,104,262
79,237,273
71,48,190
72,114,134
84,154,190
32,166,176
84,131,201
72,131,138
69,31,102
8,808,724
85,95,183
71,64,326
72,83,141
84,141,156
32,237,200
8,676,553
66,555,963
82,117,143
79,118,318
85,137,158
71,750,871
72,96,139
84,123,175
32,184,449
84,150,175
72,96,124
69,114,165
73,47,110
82,104,285
32,154,184
16,202,518
67,780,988
85,29,461
76,116,176
84,100,175
85,113,745
82,116,152
65,143,167
76,116,141
32,129,77
70,102,614
76,118,227
65,171,172
73,111,188
82,155,164
32,114,257
84,97,200
79,152,167
32,236,286
84,93,200
72,107,43
69,138,127
32,153,141
82,129,740
69,30,133
83,149,229
84,92,313
65,147,146
85,117,993
82,117,148
65,186,148
78,118,142
84,126,117
190,421,353
32,170,244
16,252,448
84,115,195
72,129,148
69,123,126
32,166,234
82,97,234
69,121,218
83,115,294
84,173,220
65,147,193
85,90,121
82,119,184
65,174,214
78,141,193
84,142,175
32,176,448
73,75,136
83,136,226
32,142,173
67,734,362
76,113,212
69,108,170
65,148,547
78,122,208
32,199,127
65,207,125
78,122,203
68,104,128
32,161,276
67,808,887
79,147,234
90,19,42
89,137,808
8,97,474
65,171,157
85,115,945
82,95,233
65,145,337
78,51,216
84,91,317
72,90,133
65,148,176
86,121,134
69,126,144
32,168,83
8,244,474
70,118,569
76,118,226
65,138,130
73,80,217
82,70,849
67,81,295
8,235,669
88,575,581
8,1198,476
67,827,347
79,137,149
90,849,81
89,94,907
190,59,406
32,172,251
16,195,90
84,102,212
72,108,124
69,146,103
32,174,34
70,34,86
79,156,746
68,138,202
32,171,277
73,110,239
83,123,129
32,155,150
65,158,57
85,83,149
84,135,200
72,114,138
69,141,115
78,217,843
84,156,545
73,142,154
67,486,676
32,152,206
16,267,163
73,73,160
84,101,191
65,219,157
76,210,113
73,115,171
65,147,149
78,122,134
190,910,604
32,156,237
16,292,118
32,187,145
16,1340,119
84,93,187
82,161,233
89,82,645
32,176,160
84,25,194
72,94,124
69,59,137
73,147,127
82,127,121
8,1500,752
16,41,1271
77,88,209
65,153,202
78,83,128
89,123,951
32,166,134
79,105,174
8,95,1010
72,83,116
65,158,175
86,172,394
69,141,108
32,168,228
83,117,146
85,94,637
71,503,542
69,136,113
83,163,178
84,147,179
69,110,102
68,123,130
8,1500,36
16,213,113
65,148,155
16,226,1401
8,811,825
16,409,44
84,146,200
72,114,132
69,114,117
32,159,260
79,139,154
87,620,701
78,65,136
69,102,364
82,104,407
83,134,189
32,164,188
83,110,222
85,135,136
71,318,832
69,106,136
83,178,148
84,134,153
32,130,203
84,127,199
72,126,147
65,147,48
84,85,327
32,195,217
89,80,328
79,139,492
85,135,137
32,160,128
84,32,191
82,104,244
89,121,901
32,124,209
84,113,163
72,84,123
69,152,145
73,171,177
82,117,236
32,176,192
8,97,1041
87,510,403
65,145,159
78,148,203
84,85,121
32,198,265
89,124,864
79,143,144
85,71,913
32,246,251
84,92,181
79,179,210
32,174,155
70,148,127
69,92,181
76,135,224
32,173,148
76,83,116
73,98,139
75,355,423
69,108,151
32,171,126
89,18,53
79,105,128
85,86,197
32,303,161
65,150,169
82,140,114
69,233,292
32,116,181
73,148,135
78,117,125
32,174,450
16,197,94
73,93,182
84,115,315
65,170,205
76,132,221
89,109,212
190,375,399
32,308,207
16,197,125
84,85,218
