VK,HT,FT
16,1209,-1
83,113,178
80,122,266
65,98,102
71,3,126
73,122,267
79,142,91
222,139,581
83,92,302
32,169,124
73,90,446
83,87,181
32,111,126
79,81,91
78,97,249
69,121,172
32,141,115
79,97,131
70,131,112
32,159,179
77,129,159
89,99,283
32,115,180
70,89,135
65,115,241
86,130,265
79,69,166
82,92,120
73,128,87
69,91,129
84,75,196
32,14,123
8,1500,420
69,90,219
8,73,251
84,90,940
69,225,100
32,146,102
82,93,143
69,161,131
83,174,187
84,104,82
65,117,372
85,96,139
82,140,90
65,152,212
78,66,171
84,119,93
83,135,92
32,119,126
73,104,101
78,158,175
32,107,232
84,106,81
72,91,101
69,130,63
32,84,124
16,290,166
67,108,42
79,106,137
76,127,297
85,91,701
77,105,204
66,92,309
85,73,108
83,16,101
32,86,121
16,137,626
65,130,125
8,33,282
65,119,904
82,82,98
69,98,182
65,122,60
190,111,145
32,52,101
16,127,326
87,127,78
69,104,126
32,85,55
67,85,1500
65,176,283
78,122,128
32,148,201
67,114,207
79,98,140
85,113,91
78,74,151
84,92,175
32,109,75
79,109,649
78,27,138
32,69,62
69,106,146
88,133,278
67,89,83
69,117,175
76,209,94
69,69,160
78,73,137
84,4,114
32,111,123
83,118,105
69,127,161
82,110,111
86,83,314
73,77,162
67,105,72
69,139,80
32,4,100
65,158,215
78,151,91
68,85,81
32,107,95
69,130,82
88,90,283
67,135,159
69,93,194
76,245,284
69,12,210
78,81,86
84,100,111
32,164,168
70,97,594
79,292,65
68,100,267
32,187,131
69,80,816
86,122,211
69,129,186
82,70,87
89,76,92
32,179,125
84,112,107
73,80,100
77,94,209
69,103,116
32,85,65
87,154,188
69,109,107
32,98,89
86,81,171
73,98,156
83,98,102
73,91,127
84,115,125
190,108,484
32,106,29
79,141,239
16,241,316
78,102,130
69,130,253
32,138,181
79,97,211
70,96,114
32,118,169
84,124,82
72,128,112
69,68,149
73,80,169
82,97,162
32,98,43
83,81,497
80,167,180
69,65,162
67,119,190
73,112,100
65,3,149
76,191,99
84,87,218
73,75,133
69,159,115
83,75,144
32,129,100
73,89,148
83,72,99
32,111,115
84,129,511
72,97,99
69,139,151
73,67,84
82,91,140
32,128,165
16,211,126
76,27,184
79,144,16
66,81,57
83,89,238
84,98,107
69,95,249
32,82,109
8,985,635
82,148,517
32,111,1008
16,199,222
66,125,80
73,67,119
83,114,115
81,129,708
85,150,158
69,145,104
190,110,304
32,245,237
16,215,543
73,176,225
222,103,236
86,58,267
69,143,225
32,77,244
78,106,345
69,59,94
86,71,34
69,137,207
82,137,85
32,155,123
72,106,153
65,120,160
68,202,98
32,113,114
66,91,188
69,97,116
84,125,132
69,89,469
8,106,451
84,106,263
69,81,114
82,98,82
190,74,111
32,68,279
16,186,282
83,98,118
79,116,34
77,140,99
8,64,1311
77,70,309
79,67,171
84,107,89
72,100,91
69,103,28
32,116,87
65,104,336
78,73,91
68,128,105
32,107,43
70,89,106
76,155,86
65,115,186
86,96,210
79,98,149
82,75,131
70,137,205
85,106,109
76,136,238
188,66,237
32,89,12
87,96,454
73,136,86
84,42,111
72,114,218
32,68,131
76,74,139
65,138,16
82,134,53
71,134,50
69,75,211
32,154,187
67,110,467
72,98,106
85,21,459
78,65,188
75,138,215
83,82,193
32,124,113
79,92,211
70,60,182
32,154,91
82,125,219
69,100,83
65,114,115
76,267,52
32,3,140
76,73,252
79,185,147
66,90,165
83,114,214
84,97,67
69,24,186
82,63,105
32,83,114
77,96,852
69,99,185
65,126,27
84,15,201
188,176,125
32,121,107
73,105,119
84,110,163
222,140,148
83,127,138
32,129,138
83,82,128
79,159,68
77,105,131
69,79,19
84,56,80
72,66,91
73,83,85
78,114,84
71,63,34
32,93,97
16,108,479
73,39,77
32,89,135
76,89,127
79,96,180
75,97,231
32,101,75
70,52,82
79,103,96
82,133,119
87,90,603
65,104,204
82,101,283
68,77,206
32,107,13
84,198,136
79,108,77
32,108,87
70,97,646
79,331,124
82,157,75
32,150,91
87,125,141
69,70,224
75,106,277
83,120,415
32,142,112
66,145,82
69,277,191
70,170,149
79,264,172
82,78,93
69,65,141
32,139,132
65,114,155
32,121,181
70,99,106
8,113,368
86,121,128
73,172,144
83,97,122
73,104,123
84,106,128
190,75,470
32,114,92
16,14,554
73,90,249
78,114,158
32,77,126
65,156,124
68,80,96
73,108,474
84,101,155
73,88,60
79,114,155
78,120,75
32,108,197
84,92,181
79,74,138
32,88,28
87,77,117
79,90,94
78,137,208
68,50,95
69,16,174
82,116,93
70,71,151
85,72,222
76,132,35
32,160,173
80,131,836
65,64,119
83,127,260
84,118,305
65,143,172
32,74,91
65,100,1043
78,82,100
68,66,152
32,114,84
16,154,135
73,80,192
84,107,136
65,114,542
76,77,122
73,68,251
65,13,108
8,65,472
73,68,235
65,130,170
78,167,132
32,107,131
69,151,146
78,79,107
84,72,152
82,172,176
69,157,84
83,107,596
188,139,220
32,151,40
84,129,334
72,112,67
69,81,62
89,74,344
32,153,85
68,120,160
79,129,162
32,4,182
77,144,222
65,91,193
71,98,173
73,112,79
8,229,301
78,41,214
73,137,177
70,77,83
73,121,370
67,130,122
69,103,193
78,88,117
84,65,161
32,98,95
65,130,313
78,102,135
68,131,59
32,126,79
85,92,204
78,81,215
73,90,283
81,135,569
85,129,214
69,188,286
32,83,126
87,113,500
79,95,155
68,103,187
32,85,68
70,127,673
73,107,104
82,71,91
69,82,124
68,89,283
32,155,124
80,86,189
73,122,302
83,141,108
8,98,573
90,96,286
65,114,356
83,166,166
32,81,154
8,1321,355
190,98,264
32,74,19
16,124,125
77,125,118
89,188,259
32,103,84
80,130,366
69,102,173
82,68,194
83,111,186
79,57,92
78,98,103
65,85,170
76,95,124
32,113,188
70,122,617
65,167,188
86,137,147
79,123,75
82,126,95
73,73,138
84,98,96
69,104,96
32,92,64
73,127,838
83,84,106
32,82,157
65,144,108
32,81,181
80,107,175
82,75,180
73,31,149
69,44,100
32,56,48
65,115,85
78,110,94
68,167,92
80,196,115
65,146,106
8,1443,297
32,122,1340
80,127,230
69,117,142
65,114,155
82,114,71
32,115,155
80,139,108
73,138,105
90,359,377
65,104,367
32,69,572
87,142,558
73,114,297
84,109,76
72,158,104
32,113,121
65,106,133
80,276,143
76,116,193
69,109,163
32,98,125
66,116,163
85,88,204
84,121,102
69,113,131
82,58,247
32,111,136
65,149,288
78,95,125
32,104,91
8,565,679
68,76,235
32,111,209
67,99,97
65,129,77
78,69,137
68,107,130
73,84,206
69,139,107
68,57,235
32,118,124
87,90,324
65,189,157
76,168,135
78,136,376
85,162,346
84,113,96
83,79,93
190,128,110
32,120,212
16,126,367
87,41,235
72,114,88
73,61,203
76,69,210
69,109,102
32,33,88
84,64,108
72,73,102
69,144,86
32,104,88
70,98,163
8,279,571
82,106,121
69,109,108
83,114,247
84,82,284
65,72,187
85,154,290
82,138,139
65,51,80
78,74,71
84,89,40
32,89,105
73,88,171
83,115,115
32,81,93
70,96,539
65,70,149
78,79,189
67,108,139
89,76,198
32,48,182
69,94,172
78,74,128
79,128,168
85,98,108
71,105,221
72,146,93
32,16,199
70,98,58
79,96,163
82,98,99
32,106,75
65,105,163
32,84,342
82,102,134
79,71,108
77,88,492
65,87,100
78,136,92
84,66,147
73,141,132
67,150,212
32,66,194
68,11,123
73,97,164
78,223,398
69,170,213
82,102,146
188,107,99
32,138,26
84,98,354
72,82,139
69,141,139
32,92,141
8,1423,1025
89,81,1007
32,48,136
78,33,727
69,11,114
86,76,132
69,79,215
82,150,92
32,90,123
70,147,137
65,96,168
73,61,309
76,114,164
32,95,198
84,114,127
79,98,87
32,111,108
65,159,140
67,115,466
79,92,294
77,133,68
79,75,226
68,120,195
65,161,194
84,62,297
69,126,157
32,139,162
77,80,139
89,106,228
32,143,59
70,98,177
65,132,110
77,172,151
73,175,280
76,128,123
89,125,368
32,97,157
87,66,711
73,57,155
8,81,524
72,73,390
73,81,116
67,121,116
72,102,148
32,105,163
73,90,214
78,109,116
67,14,81
76,57,116
85,82,188
68,95,186
69,106,90
83,16,162
32,110,241
83,121,290
77,114,103
65,80,111
76,598,150
32,107,101
67,81,307
72,97,233
73,64,172
76,150,84
68,90,165
82,108,228
69,100,170
78,114,229
190,107,236
32,128,44
16,303,110
84,115,75
72,50,250
69,90,128
32,134,123
87,97,385
72,107,93
79,157,106
76,83,178
69,75,17
32,91,251
70,102,171
65,116,91
77,102,102
73,73,101
76,98,116
89,89,189
32,81,285
69,150,211
78,74,107
74,66,205
79,153,147
89,57,77
83,122,12
32,151,137
69,57,940
65,137,157
84,137,170
73,72,123
78,29,120
71,93,35
32,90,120
72,73,65
69,97,169
82,162,116
69,126,50
32,76,50
65,139,155
78,75,156
68,87,112
32,17,91
84,177,69
72,106,173
69,117,118
82,208,75
69,120,83
32,108,146
73,82,121
83,68,134
32,113,120
83,64,140
79,108,197
77,73,75
69,67,83
84,128,135
72,72,174
73,25,107
78,116,54
71,82,11
32,76,131
79,68,37
78,87,164
32,137,131
84,81,149
72,90,53
69,113,137
32,66,76
77,75,142
69,134,15
78,55,146
85,158,263
32,136,123
70,89,11
79,130,114
82,88,150
32,82,69
69,114,936
86,124,165
69,121,136
82,134,70
89,58,53
79,109,169
78,70,91
69,74,88
190,109,141
46,73,886
8,58,719
66,79,400
