VK,HT,FT
16,135,-1
83,127,207
80,157,262
65,105,171
71,112,178
73,97,179
79,143,157
222,763,756
83,127,207
32,173,168
73,99,216
83,121,174
32,129,181
79,127,160
78,112,222
69,92,191
32,137,171
79,127,160
70,114,118
32,128,76
77,93,187
89,116,303
32,144,124
70,108,176
65,108,153
86,99,227
79,143,157
82,108,145
73,114,289
84,105,161
69,127,175
32,137,171
82,111,339
69,160,106
83,191,330
84,100,258
65,107,228
85,133,181
82,128,168
65,105,171
78,102,133
84,99,151
83,127,207
32,173,168
73,99,216
78,112,194
32,99,157
84,103,207
72,117,71
69,128,114
32,143,105
16,137,313
67,126,197
79,143,157
76,147,184
85,133,181
77,97,214
66,101,209
85,133,181
83,125,163
32,173,168
65,105,120
82,139,170
69,160,106
65,96,177
190,106,443
32,263,373
16,151,371
87,149,218
69,149,193
32,137,171
65,115,122
76,197,122
87,149,218
65,100,268
89,117,287
83,127,207
32,173,168
72,99,182
65,113,105
86,99,227
69,123,230
32,137,171
8,503,570
69,124,179
32,137,171
67,153,187
65,105,171
78,102,133
32,99,157
67,153,187
79,143,157
85,159,129
78,114,185
84,99,151
32,115,129
79,127,160
78,112,222
32,123,140
69,92,205
88,301,100
67,126,197
69,129,277
76,226,162
69,117,169
78,141,164
84,97,155
32,115,129
83,117,160
69,108,244
82,138,123
86,99,227
73,103,164
67,105,205
69,129,277
32,137,171
65,115,122
78,107,118
68,128,93
32,112,77
69,92,205
88,705,892
67,126,197
69,129,277
76,226,162
69,117,169
78,141,164
84,97,155
32,115,129
70,108,176
79,142,109
68,124,190
32,119,110
69,92,205
86,83,196
69,149,173
82,151,142
89,121,138
32,147,167
84,103,207
73,89,124
77,97,214
69,121,146
32,137,171
87,158,219
69,132,173
32,137,171
86,99,227
73,103,164
83,121,156
73,101,208
84,105,161
190,106,443
76,147,184
32,126,235
16,137,313
77,97,214
79,185,200
83,127,207
8,337,544
16,135,321
79,143,157
78,112,222
69,92,191
32,137,171
79,127,160
70,114,118
32,128,76
84,103,207
72,117,71
69,128,114
73,97,179
82,128,168
32,117,106
83,117,160
80,157,262
69,124,179
67,126,197
73,97,179
65,105,171
76,197,122
84,115,226
73,89,124
69,129,132
83,191,330
32,173,168
73,99,216
83,121,174
32,129,181
84,103,207
72,117,71
69,128,114
73,97,179
82,128,168
32,117,106
16,137,313
76,147,184
79,152,246
66,101,209
83,127,207
84,100,258
69,127,175
82,138,123
32,107,61
16,137,313
66,101,209
73,97,179
