VK,HT,FT
17,713,-1
86,157,308
17,478,726
86,200,185
16,402,251
84,108,238
72,121,411
69,157,92
32,139,124
16,347,320
77,144,298
69,138,199
82,120,251
67,147,64
65,168,15
78,174,359
84,133,172
73,38,0
76,64,228
69,146,228
32,86,75
16,317,222
71,110,266
82,177,110
73,139,150
76,162,253
32,79,575
73,142,256
83,154,177
32,147,153
79,132,0
78,132,154
69,176,126
32,198,158
79,139,978
70,130,159
32,118,52
77,163,212
89,60,393
32,198,0
70,28,0
65,105,169
86,192,199
79,166,442
82,135,191
73,155,130
84,107,126
69,169,230
32,194,71
80,143,29
76,133,110
65,154,85
67,156,167
69,132,112
83,68,191
32,123,199
84,118,232
79,178,274
32,191,158
69,143,136
65,113,307
84,166,512
190,156,0
32,112,0
16,542,613
84,118,183
72,99,352
69,83,143
32,127,123
86,173,283
69,126,123
83,53,297
8,372,350
66,164,373
69,167,251
83,151,326
84,99,596
32,0,153
84,121,38
72,104,64
73,121,232
78,214,119
71,161,527
32,135,63
79,239,287
78,191,167
32,208,114
84,107,284
72,113,91
69,98,162
32,81,114
77,99,236
69,176,234
78,323,209
85,133,160
32,107,52
73,196,197
83,147,122
8,369,516
78,164,955
32,199,121
77,165,0
89,50,430
32,183,258
79,258,594
80,0,294
73,134,269
78,164,146
73,240,163
79,180,123
78,223,112
32,223,218
73,87,223
83,136,0
32,137,55
84,112,160
72,199,121
69,99,198
8,566,520
16,268,227
222,165,91
84,114,234
72,139,151
69,101,87
32,170,78
66,121,290
85,116,266
83,144,123
73,85,93
78,216,175
69,120,0
65,138,167
83,139,285
8,313,365
83,159,306
8,57,351
83,226,342
32,126,0
77,119,356
65,149,188
78,116,0
16,151,357
222,156,228
32,292,199
66,222,386
85,122,194
82,172,325
71,94,364
69,110,133
82,112,172
190,152,461
32,307,411
16,436,364
84,80,194
72,97,442
69,112,79
32,119,130
84,100,149
65,94,386
66,151,282
76,252,326
69,136,0
83,226,323
32,137,473
65,139,176
78,108,704
68,90,182
32,168,262
70,123,275
76,0,0
79,134,144
82,130,20
83,116,387
32,136,241
65,108,221
82,119,893
69,101,0
32,150,141
65,134,212
76,635,119
87,152,673
65,135,217
83,112,157
8,222,458
89,57,345
83,170,82
32,162,187
67,180,144
76,300,0
69,164,199
65,169,299
78,116,585
188,175,213
32,132,239
65,103,152
78,98,315
68,50,157
32,134,339
84,137,257
72,145,55
69,105,153
32,100,36
83,70,273
84,152,1002
65,112,392
70,209,220
32,6,0
65,134,238
82,110,487
69,76,219
32,74,194
86,253,262
69,136,142
82,104,177
89,113,347
32,158,109
70,72,182
82,40,177
73,172,101
69,109,279
78,208,176
68,73,162
76,93,373
89,102,0
190,134,326
8,806,897
32,30,466
16,344,342
73,150,265
84,140,259
222,113,667
83,53,11
32,118,340
65,165,0
32,247,360
80,134,131
82,173,528
69,114,287
84,0,440
89,83,352
32,223,292
66,170,398
73,30,51
71,184,828
32,160,53
80,166,287
76,185,149
65,136,0
67,235,216
69,112,159
32,142,181
65,147,46
76,174,123
83,130,339
79,213,553
188,215,498
32,162,115
83,108,628
79,230,606
32,175,65
89,95,412
79,134,0
85,135,138
32,176,357
85,152,460
83,122,140
85,66,236
65,194,70
76,323,119
89,139,0
32,142,222
