VK,HT,FT
16,164,-1
73,108,111
70,108,86
32,89,83
84,62,163
8,88,292
89,106,171
79,54,166
85,46,105
222,60,244
82,71,86
69,113,4
32,87,86
65,116,69
32,106,67
68,129,148
73,116,80
83,65,74
67,99,78
69,86,113
82,99,92
73,93,108
78,112,82
71,66,25
32,70,113
86,73,187
69,103,141
71,83,223
65,54,92
78,81,155
188,95,136
8,88,226
78,96,68
73,82,98
78,104,66
71,55,58
32,91,99
86,108,209
69,76,142
71,68,280
65,102,122
78,107,58
188,79,135
32,86,153
65,139,198
32,86,108
77,71,154
69,69,60
84,76,149
65,191,74
76,168,93
32,89,434
70,75,155
8,235,391
65,107,87
70,110,98
73,137,73
67,72,46
73,101,116
79,201,76
78,189,371
65,137,1044
68,90,88
79,85,68
188,73,140
32,93,161
79,91,133
82,90,85
32,75,222
65,90,108
78,105,136
89,95,153
32,98,140
83,95,296
79,83,207
82,89,104
84,82,88
32,75,75
79,95,127
70,72,38
32,88,83
71,83,430
65,118,124
82,107,60
68,131,154
69,90,104
78,82,75
189,12,190
86,62,116
65,110,83
82,103,58
73,108,87
69,123,148
84,97,135
89,132,144
32,86,90
87,88,137
69,99,114
73,105,144
82,86,118
68,70,161
79,98,61
188,87,181
32,108,161
16,175,199
72,104,110
65,145,82
82,77,60
68,123,130
32,112,115
16,238,204
84,91,174
73,130,98
77,88,5
69,93,84
83,83,138
32,22,111
73,74,135
83,62,74
32,94,31
84,86,46
72,83,66
69,44,111
32,16,127
80,67,138
76,108,56
65,118,53
67,112,147
69,120,100
32,86,99
70,86,943
79,208,101
82,87,108
32,82,151
89,27,61
79,79,137
85,81,145
190,124,226
32,116,76
16,144,49
73,78,131
70,14,175
32,89,61
89,66,120
79,117,63
85,150,60
222,88,170
82,81,223
69,96,107
32,79,86
78,116,119
79,67,161
84,87,100
188,74,187
32,63,176
73,107,109
84,85,83
222,65,109
83,80,115
32,82,84
83,71,9
84,96,125
73,82,102
76,190,166
32,90,289
84,103,89
72,96,83
69,92,21
32,70,101
80,140,122
76,110,64
65,110,23
67,104,60
69,47,147
32,109,86
70,128,279
79,200,61
82,65,74
32,105,92
89,97,85
79,74,129
85,91,57
190,124,281
32,91,118
16,147,60
71,77,109
8,91,336
67,81,230
65,79,126
84,120,143
69,113,95
82,42,92
73,90,87
78,105,59
71,78,99
