VK,HT,FT
16,308,-1
72,77,127
85,80,75
32,111,82
16,69,858
72,80,80
79,62,1
84,91,80
8,836,718
85,99,163
32,111,64
16,175,156
72,85,47
79,80,80
84,80,42
32,96,142
73,64,281
83,80,190
32,112,80
65,13,123
32,64,42
85,112,160
78,80,140
73,67,80
81,81,393
85,112,144
69,64,112
32,80,165
82,64,112
69,80,175
83,80,176
84,96,80
65,64,222
85,79,97
82,80,84
65,23,176
78,91,96
84,93,112
32,96,142
87,136,385
73,63,110
84,80,96
72,34,99
32,94,48
65,96,104
32,79,145
71,80,151
82,80,105
69,65,96
65,80,192
84,80,77
32,80,83
70,80,9
69,64,177
76,83,160
190,424,591
32,95,64
16,175,899
73,80,67
84,65,96
222,748,631
83,96,166
32,64,0
65,66,64
78,80,117
32,79,64
65,67,117
76,228,227
32,95,85
89,116,77
79,112,63
85,95,146
32,112,128
67,94,322
65,80,188
78,142,96
32,93,64
69,80,158
65,80,86
84,18,48
32,86,56
16,120,799
77,128,158
79,48,222
76,104,160
71,18,227
79,81,216
8,357,996
78,64,65
71,80,288
79,82,15
76,112,163
73,61,142
65,64,69
78,81,44
32,129,80
68,152,518
73,96,112
8,766,209
82,65,173
69,80,176
83,64,208
84,64,96
65,64,184
85,96,96
82,64,112
65,64,192
78,163,95
84,80,212
32,96,96
87,96,774
72,96,111
69,96,177
82,59,190
69,64,144
32,95,96
84,80,62
72,96,96
69,64,80
89,79,34
32,96,64
67,80,60
79,37,102
75,552,542
32,80,42
84,80,19
72,96,96
69,80,256
32,80,64
70,80,112
79,94,15
68,84,383
32,64,13
82,7,139
73,96,31
71,80,64
72,111,81
84,64,177
32,5,95
73,63,32
78,94,191
32,64,32
70,59,144
82,80,43
79,63,112
78,126,112
84,7,183
32,119,61
89,112,97
79,64,187
85,112,160
32,96,80
8,107,40
79,48,82
70,80,171
32,96,224
89,80,187
79,64,117
85,95,160
190,646,987
32,80,104
16,178,385
70,64,106
82,80,176
79,80,176
77,22,148
32,80,96
84,95,108
72,29,97
69,81,127
32,79,245
77,112,111
79,80,63
77,86,147
69,105,111
