VK,HT,FT
16,287,-1
87,92,90
69,93,157
78,169,104
84,34,182
32,109,31
84,126,87
79,69,0
32,105,54
16,301,137
75,151,0
85,78,121
76,150,402
65,40,76
32,135,127
16,428,28
82,85,0
69,93,37
86,158,88
79,84,158
76,102,96
86,110,0
73,191,359
78,150,77
71,84,41
32,149,24
16,181,238
83,145,241
85,110,0
83,125,40
72,92,0
73,117,121
32,110,325
16,431,118
66,148,134
65,210,67
82,83,107
32,87,21
76,125,712
65,93,250
83,150,35
84,125,25
32,155,161
87,126,234
69,80,386
75,88,243
32,127,10
65,118,51
78,86,96
68,121,0
32,83,55
73,94,49
84,119,11
32,114,9
87,147,83
65,138,181
83,160,17
32,122,10
65,126,64
87,120,207
69,167,0
83,154,182
79,171,0
77,141,63
69,136,74
190,125,87
32,115,93
16,236,703
73,123,116
32,126,13
85,101,446
83,110,136
85,88,51
65,64,139
76,259,189
89,126,0
32,165,53
65,125,25
77,159,33
32,114,6
86,173,203
69,205,101
82,108,0
89,103,0
32,110,81
8,83,337
188,141,53
32,73,137
86,107,206
69,145,16
82,131,27
89,100,41
32,110,57
80,118,6
73,78,121
67,159,136
75,133,42
89,98,15
32,158,170
65,154,50
66,16,10
79,94,77
85,163,111
84,142,5
32,150,56
38,559,550
37,144,1307
8,206,170
16,119,163
75,52,351
40,125,299
77,92,0
89,88,104
32,141,34
83,46,393
85,85,227
83,128,77
72,109,545
73,100,7
188,126,157
32,86,52
84,123,174
79,126,0
32,113,201
65,104,69
86,105,166
79,135,288
73,73,0
68,118,2
32,175,51
83,82,68
73,160,58
67,142,97
75,74,28
78,198,67
69,101,20
83,126,43
188,79,825
32,75,56
65,94,246
78,99,0
68,85,0
32,87,4
8,218,649
66,118,517
85,103,111
84,126,140
32,158,20
87,168,511
69,134,79
78,76,82
84,120,4
32,92,0
65,124,119
78,75,40
8,224,348
72,181,181
69,78,23
65,114,124
68,67,41
32,83,189
65,123,0
78,155,43
68,147,81
32,45,70
84,155,131
82,110,55
73,127,0
69,90,61
68,142,86
32,118,72
84,86,114
72,42,33
73,111,0
83,147,6
32,88,0
80,64,61
76,162,60
65,115,59
67,171,116
69,88,19
32,141,0
8,381,499
190,92,181
32,56,0
16,344,250
73,149,300
32,147,0
77,94,52
65,123,0
8,206,717
85,110,228
83,110,23
84,141,0
32,59,8
83,75,127
65,134,57
89,78,117
32,116,235
16,301,128
73,95,232
32,133,164
65,68,313
77,93,0
32,80,27
86,86,145
69,137,98
82,183,0
89,108,9
8,108,101
65,157,82
77,146,22
32,127,41
83,114,91
79,134,1
32,118,188
71,106,37
76,184,43
65,110,0
68,83,251
32,80,107
16,521,171
73,79,0
32,114,112
68,92,192
73,182,0
68,118,1
190,142,17
32,184,101
16,738,94
78,39,93
79,149,229
84,126,39
32,146,81
79,148,279
78,151,22
76,100,63
89,123,39
32,87,0
87,142,75
65,59,213
83,205,73
32,97,97
73,99,39
84,72,52
32,84,232
84,101,771
65,197,13
83,139,384
84,109,89
89,141,212
188,224,71
32,161,33
69,116,0
83,103,143
80,54,104
69,77,90
67,110,115
73,155,136
65,159,190
76,94,48
89,126,116
32,154,193
84,37,0
72,98,65
69,146,16
32,122,0
84,124,32
69,123,0
77,156,61
80,128,414
85,19,0
82,126,106
65,110,385
188,109,0
32,86,93
66,93,0
85,93,92
84,91,92
32,118,0
73,119,0
84,173,8
32,147,0
87,92,193
65,135,0
83,184,25
32,82,48
70,101,50
85,87,0
78,106,140
16,277,202
49,107,287
32,126,251
16,1500,53
84,134,9
72,142,317
69,79,15
89,85,45
32,94,40
72,141,76
65,232,0
68,109,105
32,97,17
65,104,0
32,94,65
67,126,231
79,80,0
78,142,3
86,107,106
69,118,25
89,126,44
85,101,51
82,100,98
32,109,0
8,902,824
79,142,111
82,86,84
32,117,78
66,109,474
69,115,23
76,198,25
84,86,53
32,107,294
84,99,22
89,120,95
80,84,341
69,165,25
32,24,40
84,122,300
72,134,44
73,113,0
78,126,29
71,113,0
32,19,0
84,109,33
72,149,42
65,138,33
84,143,47
32,119,12
84,126,102
72,155,0
69,79,17
32,120,70
70,94,75
79,267,351
68,144,157
32,98,83
87,16,12
65,94,26
83,168,53
32,122,0
79,151,117
78,141,10
190,134,1067
32,148,173
16,251,838
87,94,89
65,124,245
83,125,0
32,57,2
86,71,232
69,87,87
82,119,85
89,86,42
32,165,140
70,157,41
85,65,83
78,64,102
32,118,22
65,118,80
78,95,35
68,116,16
32,118,11
75,79,49
69,145,29
80,110,181
84,118,24
32,121,0
77,86,50
69,110,49
32,69,25
79,22,69
67,281,19
85,102,57
80,84,186
73,134,7
69,161,0
68,134,1
32,115,48
87,116,128
8,39,496
188,118,1072
32,102,56
16,233,441
57,94,9
65,110,24
78,95,23
68,164,32
32,102,68
16,230,27
73,122,23
8,17,386
84,158,834
72,150,50
69,102,60
32,77,66
75,69,0
73,80,115
68,43,24
83,137,33
32,162,74
65,158,50
78,122,37
68,78,0
32,142,56
77,91,118
69,134,90
8,257,275
16,142,257
73,86,122
32,88,169
83,158,0
65,121,89
84,122,140
73,182,41
83,139,49
70,142,25
73,79,97
69,87,350
68,85,104
32,125,5
65,143,24
78,110,56
68,166,5
32,126,32
79,132,0
67,123,62
85,118,214
80,99,73
73,94,33
69,78,172
68,156,109
190,142,46
32,180,120
16,194,53
68,139,83
69,109,178
70,136,173
73,104,176
78,101,33
73,192,132
84,141,0
69,179,276
76,23,84
89,102,24
32,76,66
80,142,216
76,137,97
65,94,0
32,135,33
78,139,0
8,238,504
78,100,622
32,83,51
79,208,89
78,118,0
32,142,103
71,78,91
79,111,26
73,23,27
78,151,119
71,124,0
32,68,81
84,68,78
72,87,151
69,157,105
82,132,106
69,129,41
32,124,57
65,118,71
71,72,108
65,65,6
73,133,128
78,68,197
188,74,196
32,119,30
80,118,252
82,110,23
79,118,64
8,122,193
77,149,864
65,191,557
89,122,152
66,103,28
69,265,89
32,97,54
77,164,115
65,142,90
75,103,44
69,79,37
32,111,69
73,62,43
84,86,46
32,85,33
65,92,27
32,109,18
79,169,406
78,187,25
67,155,136
69,151,95
32,114,25
65,90,81
32,117,40
77,86,499
79,126,8
78,139,74
84,105,282
72,72,9
32,147,49
84,123,0
72,95,15
73,126,9
78,118,56
71,72,22
16,142,50
49,118,46
32,145,591
84,100,26
72,121,34
69,140,2
32,126,109
74,166,323
85,24,165
83,144,0
84,123,20
32,88,1
70,76,107
65,158,65
78,122,14
84,188,116
65,149,66
83,133,0
84,18,159
73,188,54
67,24,70
190,102,0
32,254,316
46,763,482
40,125,322
188,133,97
32,110,76
65,134,22
78,82,31
68,85,38
32,139,11
87,150,40
65,158,25
83,110,0
84,151,2
69,185,42
68,71,78
32,125,88
77,132,25
79,75,0
78,134,0
69,87,2
89,130,126
16,245,392
73,122,7
32,86,42
188,153,51
32,79,0
66,93,14
65,147,116
83,145,131
69,116,39
68,88,85
32,77,2
79,160,24
78,148,63
32,77,47
80,167,121
82,164,114
69,132,0
86,92,159
73,75,318
79,110,97
85,176,366
83,162,39
32,106,64
82,175,186
69,189,136
86,166,233
73,62,19
69,101,176
87,93,260
83,92,174
32,127,10
70,118,240
82,79,124
79,46,82
77,64,89
32,193,65
70,149,75
69,323,8
8,146,417
82,54,441
73,133,24
69,166,0
78,99,33
68,110,57
83,162,0
190,83,976
46,715,177
40,148,297
83,76,169
69,94,85
82,108,3
86,112,199
69,328,139
68,75,143
32,141,109
