VK,HT,FT
16,223,-1
77,263,164
89,115,173
32,152,109
71,580,8
73,206,96
82,183,112
76,103,348
70,211,15
82,182,146
73,126,273
69,135,148
78,103,135
68,78,292
83,118,216
32,115,161
65,174,107
78,127,111
68,111,80
32,112,122
16,17,109
73,214,127
32,144,262
87,165,92
69,136,95
78,119,96
84,113,275
32,112,104
84,103,136
79,145,80
32,127,112
84,65,288
72,202,95
69,28,206
32,113,140
82,165,184
69,142,116
83,108,140
84,74,236
65,159,119
85,375,213
82,139,119
65,104,104
78,103,88
84,103,267
32,128,119
70,933,760
79,147,92
82,143,149
32,175,128
65,15,119
32,188,135
71,532,436
73,167,151
82,114,151
76,166,128
222,410,916
83,110,127
32,87,103
76,112,135
85,724,132
78,137,137
67,106,112
72,132,39
32,152,88
65,118,104
78,95,130
68,72,135
32,151,104
72,135,137
65,38,119
68,30,111
32,151,104
65,119,111
32,87,112
71,234,183
82,103,112
69,63,112
65,176,152
84,127,354
32,160,96
84,73,102
73,206,221
77,915,750
69,126,129
190,659,140
32,119,96
16,168,133
8,427,375
16,170,464
87,8,152
69,191,96
32,143,72
87,136,383
69,103,40
82,98,112
69,95,176
32,114,159
87,159,145
69,198,105
76,95,182
67,79,184
79,198,64
77,611,569
69,247,130
68,134,135
32,132,95
65,144,45
78,71,102
68,94,192
32,131,50
83,110,121
69,103,198
65,127,119
84,150,136
69,97,127
68,124,95
32,115,100
82,95,103
73,150,155
71,905,296
72,130,156
84,146,152
32,151,95
65,111,112
87,122,180
65,119,120
89,126,245
32,21,104
66,892,440
89,137,247
32,112,146
65,138,248
32,143,136
86,973,295
69,96,176
82,150,79
89,127,12
32,112,122
78,27,105
73,126,242
67,103,187
69,108,88
32,134,112
72,150,226
79,4,120
83,111,42
84,151,152
69,135,104
83,148,139
190,811,806
32,112,199
16,192,162
84,151,138
72,118,149
69,135,176
82,103,144
69,151,56
32,111,112
87,126,135
65,125,112
83,269,41
32,143,151
65,182,105
32,159,112
71,0,658
82,121,148
69,147,104
65,127,120
84,119,126
32,120,217
86,374,716
65,103,152
82,103,104
73,179,248
69,136,600
84,142,907
89,94,481
32,107,101
79,176,169
70,313,158
32,152,112
70,444,954
79,149,96
68,80,226
32,150,48
84,150,103
72,111,148
65,127,152
84,120,852
32,111,143
65,122,119
76,96,128
32,135,19
83,104,171
79,138,112
85,827,90
78,123,104
68,180,192
69,318,189
68,119,110
32,128,117
68,97,195
69,111,104
76,128,152
73,119,167
67,45,183
73,119,79
79,106,153
85,652,668
83,143,103
190,590,469
32,112,228
16,192,331
73,100,57
32,118,172
79,151,143
82,140,916
68,8,136
69,135,207
82,112,127
69,167,83
68,88,130
32,151,132
84,103,27
72,110,169
69,143,164
32,129,8
16,168,156
67,136,224
72,123,91
73,163,128
67,135,287
75,200,559
69,136,458
78,47,386
32,127,127
16,457,549
71,268,30
89,135,152
82,101,192
79,127,102
32,120,166
87,149,166
73,151,97
84,85,182
72,153,70
32,221,147
71,46,462
82,142,160
69,126,118
75,907,880
32,128,164
80,329,970
79,113,41
84,145,144
65,135,151
84,127,8
79,143,132
69,159,96
83,175,176
32,87,162
65,186,151
78,95,129
68,103,119
32,120,119
73,170,102
84,122,152
32,127,144
84,103,256
69,316,126
8,52,522
65,173,118
83,175,138
84,112,181
69,111,112
68,95,135
32,142,17
87,136,138
79,255,88
78,95,74
68,62,85
69,79,95
82,130,120
70,357,522
85,337,672
76,67,539
16,221,181
49,156,209
32,128,249
16,169,261
87,136,145
69,165,93
32,134,256
65,147,124
76,184,418
83,110,103
79,163,96
32,77,96
71,337,837
79,136,128
84,142,248
32,143,160
84,74,335
72,156,149
69,159,175
32,143,174
83,89,216
80,123,541
73,127,180
78,113,54
65,119,105
67,79,184
72,152,146
32,101,128
65,112,129
78,144,104
68,58,204
32,107,121
65,107,152
82,104,192
84,100,419
73,101,97
67,72,304
72,111,1
79,128,91
75,542,452
69,135,112
32,117,160
68,180,80
73,123,145
80,842,31
32,84,112
87,126,37
73,206,127
84,137,70
72,162,175
32,159,336
80,468,0
73,186,279
84,142,74
65,103,138
83,157,170
32,149,103
65,150,104
78,102,303
68,166,80
32,121,117
87,190,142
72,118,81
8,713,425
73,177,96
83,236,245
72,105,65
69,161,150
68,94,352
32,151,135
87,59,145
69,135,136
32,111,98
72,18,74
65,122,152
68,121,128
32,151,141
79,150,70
82,183,165
68,122,248
69,185,144
82,107,87
69,86,122
68,103,85
32,110,95
84,137,147
87,102,158
79,112,96
32,127,97
83,276,128
69,136,144
82,137,104
86,531,457
73,159,142
78,95,155
71,783,294
83,151,238
32,118,109
73,166,80
84,107,187
32,119,160
87,186,109
65,111,256
83,134,128
32,87,196
83,143,237
79,117,119
32,127,43
71,325,180
79,157,115
73,167,157
78,103,218
8,48,375
79,100,119
68,81,192
190,320,385
32,130,104
16,168,138
84,103,159
72,113,126
69,278,95
32,111,67
87,134,153
65,127,42
73,206,97
84,103,176
69,79,112
82,128,148
32,112,161
87,135,98
65,119,152
83,206,128
32,87,116
70,963,83
82,183,82
73,127,153
69,88,119
78,113,102
68,104,111
76,137,132
89,126,154
32,166,103
65,95,115
78,165,103
68,104,183
32,127,80
84,107,187
72,126,139
69,156,176
32,143,132
83,134,160
69,142,265
82,121,119
86,255,524
73,136,131
67,106,114
69,207,136
32,159,112
87,125,161
65,103,259
83,143,134
32,117,139
65,188,100
8,451,380
70,722,265
65,111,96
67,135,185
8,43,839
83,130,181
84,143,142
32,143,161
65,124,229
78,123,104
32,143,127
8,951,538
68,152,117
32,108,62
69,142,198
70,127,164
73,167,398
69,143,213
8,425,375
67,135,153
73,168,127
69,119,188
78,64,135
84,139,115
190,478,366
32,128,98
16,494,163
73,102,99
84,103,174
222,375,978
83,111,92
32,39,98
65,107,152
32,160,167
71,410,136
82,143,119
69,127,122
65,111,127
8,71,375
16,141,108
73,167,80
84,148,160
222,36,407
83,130,225
32,112,149
65,119,104
32,127,144
71,386,368
82,143,178
69,113,206
65,111,256
84,79,113
32,142,129
80,849,895
76,103,581
65,126,136
67,76,228
69,95,120
32,105,193
84,93,159
79,143,36
32,96,136
71,55,283
79,178,64
32,221,97
87,161,46
73,111,296
84,104,203
72,122,168
32,111,135
71,731,274
73,215,152
82,126,160
76,151,539
70,951,23
82,102,70
73,139,279
78,95,140
68,140,138
83,196,176
188,154,320
32,128,498
65,127,125
32,151,103
81,529,918
85,820,157
73,151,102
67,64,112
75,498,505
32,159,97
76,84,572
85,493,979
78,130,26
67,96,165
72,148,89
32,127,48
79,142,112
78,119,135
32,128,211
89,126,232
79,166,120
85,418,552
32,103,278
87,193,163
79,112,88
82,98,192
75,42,927
32,111,119
66,504,340
82,127,105
69,126,128
65,103,132
75,973,969
188,781,915
32,95,128
79,219,112
82,127,112
32,112,128
69,151,176
86,11,907
69,96,136
78,119,4
32,117,63
65,127,152
32,120,111
70,569,401
85,650,76
78,122,102
32,175,176
76,96,54
73,112,156
84,98,127
76,211,69
69,142,104
32,145,94
68,108,85
65,159,128
84,73,230
69,111,176
190,899,81
