VK,HT,FT
16,614,-1
73,74,231
32,99,505
82,84,396
69,113,171
67,73,611
69,73,310
78,80,232
84,67,385
76,96,393
89,69,488
32,87,328
71,71,628
79,184,281
84,77,365
32,88,250
65,81,489
32,93,296
74,891,315
79,111,218
66,73,562
32,94,338
68,79,776
79,111,218
87,75,432
78,82,289
84,67,385
79,96,137
87,75,432
78,82,289
32,91,272
78,82,289
69,91,279
65,75,505
82,100,441
32,88,341
84,76,362
72,77,101
69,79,330
32,85,229
67,75,525
65,78,461
77,99,364
80,78,417
85,73,308
83,88,391
188,80,631
32,83,271
83,81,504
79,89,200
32,84,267
16,534,585
73,75,223
222,82,706
86,77,307
69,73,260
32,84,312
66,75,525
69,206,429
78,80,232
32,90,275
76,75,514
79,111,218
75,79,290
73,77,258
78,95,283
71,73,262
32,92,308
70,72,581
79,140,159
82,77,235
32,90,330
65,81,489
32,93,296
71,71,628
79,184,281
68,82,501
32,87,336
83,81,504
65,93,417
78,81,210
87,75,432
73,77,258
67,79,534
72,73,143
32,86,420
80,74,482
76,96,393
65,80,454
67,77,500
69,73,310
191,50,374
68,80,460
69,65,258
76,96,393
73,74,427
32,99,505
84,76,362
79,96,137
32,84,267
80,74,482
73,99,537
67,79,534
75,79,290
32,94,338
85,63,423
80,87,350
32,99,411
76,75,514
85,73,308
78,82,289
67,79,430
72,73,143
32,86,420
68,79,776
85,73,308
82,71,292
73,72,293
78,95,283
71,73,262
32,92,308
84,76,362
72,77,101
69,79,330
32,85,229
87,75,383
69,91,279
75,79,290
68,80,460
65,80,454
89,77,188
83,79,421
190,79,835
32,94,338
16,534,585
73,75,223
32,99,505
87,75,383
65,80,454
83,75,201
32,85,312
82,84,396
69,113,171
65,75,505
76,139,270
89,69,488
32,87,328
80,74,482
76,96,393
69,91,279
65,75,505
83,75,201
69,59,249
68,91,216
32,91,382
84,76,288
79,96,137
32,84,267
70,72,581
73,77,258
78,95,283
68,75,409
32,86,298
16,534,585
83,79,421
73,73,157
77,99,364
79,111,218
78,81,337
222,82,706
83,79,421
189,135,983
32,94,338
84,76,362
72,77,101
69,79,330
32,85,229
86,76,389
73,77,258
66,73,562
69,164,384
32,85,285
73,77,258
83,72,311
32,85,312
87,75,383
65,80,454
82,100,441
77,99,364
