VK,HT,FT
16,124,-1
87,38,531
79,133,106
87,109,171
188,77,1113
32,141,110
87,158,369
72,62,148
69,119,91
82,206,106
69,139,178
32,178,151
16,263,266
68,190,185
79,93,277
32,24,111
73,30,982
32,93,137
16,135,113
8,87,218
16,230,700
73,195,130
32,85,105
69,108,349
86,141,196
69,153,154
78,145,156
32,149,170
66,165,216
69,125,147
71,111,231
73,110,287
78,126,132
190,162,569
32,126,288
16,141,216
78,156,86
8,587,253
16,142,1270
73,118,139
70,108,199
32,78,519
89,111,328
79,132,119
85,106,183
32,32,106
65,203,117
82,186,158
69,183,92
32,124,67
87,198,30
73,92,97
84,107,100
72,98,56
73,219,83
78,181,91
32,167,126
49,173,202
48,118,78
32,108,408
77,154,72
73,92,123
76,86,131
69,146,431
83,201,239
32,109,224
79,110,94
70,79,138
32,133,123
16,607,56
78,127,162
73,97,206
90,238,119
65,157,419
32,133,195
89,119,133
79,179,101
85,187,81
32,126,85
66,111,214
69,294,129
84,122,301
69,79,280
84,133,130
8,234,884
84,119,335
69,149,147
82,69,199
32,116,93
72,153,103
65,124,129
86,98,109
69,95,123
32,93,185
65,133,121
84,147,214
76,140,253
69,109,102
65,140,229
83,148,167
84,101,227
32,125,224
79,133,122
78,105,111
69,125,132
32,161,165
77,86,257
69,129,81
65,106,24
76,142,93
32,118,105
72,126,217
69,122,79
82,131,99
69,134,190
190,143,285
32,137,116
16,286,161
84,93,126
72,130,400
69,201,115
32,162,233
70,79,169
79,253,182
68,90,222
32,124,123
8,105,174
16,137,1204
84,133,53
72,93,223
69,89,186
32,96,189
70,103,86
73,144,102
82,153,40
83,62,228
84,94,175
32,165,107
84,61,227
72,109,115
73,123,69
78,192,253
71,99,82
32,101,330
89,86,96
79,16,195
85,109,118
32,121,74
78,151,703
79,247,154
84,128,111
73,101,87
67,123,180
69,106,111
32,48,106
73,95,98
83,96,163
32,142,68
84,99,110
72,78,155
69,87,161
32,144,135
69,126,210
8,92,401
73,120,1177
78,131,99
67,105,128
82,109,257
69,160,204
68,141,192
73,288,104
66,118,189
76,84,64
89,141,100
32,125,191
72,93,416
69,84,178
76,94,288
80,137,191
70,139,185
85,85,99
76,82,102
32,154,166
83,104,806
84,132,271
65,99,91
70,216,122
32,81,250
84,120,96
72,103,130
65,259,154
84,90,87
32,146,78
87,152,119
73,109,151
76,244,237
32,137,294
77,124,197
69,44,161
84,168,43
32,66,145
89,88,109
79,99,104
85,159,121
82,117,216
32,173,196
69,120,115
86,134,252
69,102,79
82,86,65
89,130,58
32,71,84
78,139,159
69,108,272
68,119,427
190,95,114
32,90,113
16,174,154
89,158,143
84,53,219
72,180,20
8,1092,351
16,348,123
84,118,75
72,109,207
69,108,190
32,117,120
65,16,260
84,87,184
79,91,112
77,22,229
8,31,707
77,36,513
79,134,216
83,85,101
80,149,213
72,161,282
69,240,210
82,211,106
69,125,210
32,119,137
79,110,294
70,78,85
32,117,107
84,125,122
72,123,130
69,104,23
32,101,161
82,188,232
69,101,91
83,158,287
84,68,233
65,77,142
85,99,211
82,84,163
8,102,545
85,131,196
82,118,148
65,125,87
78,150,152
84,96,131
32,93,73
73,93,152
83,93,131
32,118,144
82,189,772
69,107,233
65,123,169
76,76,91
89,140,367
32,124,95
82,228,190
69,118,177
77,120,141
65,104,113
82,121,309
75,170,85
65,124,177
66,117,257
76,93,99
69,111,188
32,109,112
65,120,123
78,87,130
68,131,99
32,154,97
87,115,382
73,124,115
76,300,209
32,107,549
72,99,80
65,144,129
86,116,183
69,116,147
32,82,93
89,77,203
79,187,114
85,178,157
32,111,92
70,153,815
69,67,153
76,124,314
73,119,278
78,106,89
71,134,130
32,136,207
76,133,557
73,124,338
75,135,257
69,108,69
32,118,116
89,92,95
79,189,126
85,148,115
65,126,50
32,108,123
82,177,265
69,78,108
32,126,148
8,661,421
32,140,710
65,117,214
82,122,197
69,115,107
32,81,196
84,83,211
72,70,137
69,74,109
32,108,231
67,121,324
72,100,82
65,138,108
82,86,114
65,82,117
8,655,387
82,145,520
69,118,92
32,141,155
65,141,141
84,111,102
32,109,139
89,93,115
79,91,47
85,110,55
82,100,147
32,111,115
72,125,870
79,80,125
77,118,142
69,27,617
84,98,136
79,165,59
87,120,130
78,32,124
32,143,235
8,353,1026
32,114,848
78,77,193
69,109,250
71,80,33
73,117,42
72,170,83
8,287,483
73,81,312
71,134,121
66,85,293
8,267,752
72,102,409
66,16,323
79,116,101
82,152,107
72,119,126
79,157,123
68,117,404
8,1374,940
65,135,641
32,82,162
82,174,187
69,68,104
71,121,195
85,85,87
76,113,215
65,125,150
82,113,194
32,129,109
65,125,160
84,93,128
32,130,144
89,28,187
79,36,171
85,130,75
82,99,188
32,110,104
76,85,86
79,100,265
67,109,76
65,154,322
76,109,130
32,184,220
82,101,166
69,106,122
83,189,148
84,82,181
65,123,179
85,84,217
82,112,265
65,194,110
78,84,122
84,106,163
191,100,290
8,923,309
190,134,343
32,98,192
16,166,611
84,95,91
72,93,145
69,86,130
32,110,70
70,118,277
79,188,424
68,83,292
32,16,250
84,101,98
65,221,174
75,118,145
69,127,162
83,110,324
32,128,245
65,143,120
32,100,124
66,82,187
73,98,698
84,88,127
32,137,308
84,101,352
79,329,69
32,70,108
66,120,126
69,102,37
32,107,136
80,118,119
82,133,53
69,125,194
80,63,573
65,162,244
82,123,110
69,132,100
68,118,227
32,87,501
66,87,657
85,154,191
84,92,94
32,118,80
84,120,101
72,97,91
69,85,126
32,143,122
87,55,208
65,125,256
73,85,213
84,85,588
32,135,151
73,100,125
83,173,167
32,155,178
68,85,182
69,134,115
70,116,151
73,16,139
78,85,187
73,136,80
84,107,139
76,105,393
89,175,128
8,116,754
69,159,908
76,43,163
89,70,138
32,154,162
87,100,159
79,97,174
82,129,117
84,80,179
72,133,55
32,107,31
73,125,371
84,102,101
190,73,138
32,98,87
16,194,205
73,92,117
70,108,126
8,716,441
16,166,280
8,85,19
32,101,573
8,114,552
190,99,296
188,132,203
8,76,267
32,134,1395
16,207,219
73,101,121
32,134,147
87,109,196
79,144,123
85,132,116
76,163,137
68,129,50
32,126,117
82,132,151
69,86,66
67,154,376
79,125,83
77,222,185
69,41,547
78,94,107
68,106,118
32,109,154
84,106,141
72,38,43
65,71,149
84,107,421
32,141,90
69,169,331
86,165,247
69,116,138
82,146,159
89,99,195
79,159,141
78,140,73
69,85,153
32,91,91
84,100,80
82,188,231
89,134,70
32,117,137
84,125,192
72,87,628
69,117,123
32,111,130
67,154,209
65,138,112
76,99,31
73,109,162
8,126,438
65,104,209
77,125,126
78,117,170
73,126,223
82,83,111
8,79,459
