VK,HT,FT
16,491,-1
66,982,416
76,91,233
85,100,173
67,90,54
69,98,246
32,133,178
16,73,152
67,139,40
8,834,168
69,203,135
16,478,929
32,176,259
67,39,121
32,148,68
16,241,119
83,100,177
85,67,111
83,116,123
72,113,0
73,80,147
32,86,173
73,54,99
83,93,0
32,145,67
65,121,65
76,88,362
87,182,120
65,95,169
89,70,85
83,108,175
32,161,37
65,83,212
32,109,18
71,89,0
79,176,142
68,104,108
32,66,117
82,96,90
69,97,190
83,77,182
84,73,344
65,130,334
85,104,147
82,129,112
69,161,0
78,79,225
84,96,190
32,96,40
84,90,0
79,44,59
32,158,193
71,56,299
79,117,258
32,122,88
73,86,310
84,71,35
190,310,413
8,679,259
84,115,0
79,88,171
190,62,231
32,162,71
16,683,925
73,66,49
84,94,42
32,133,188
72,125,107
65,129,118
83,84,222
32,120,159
65,133,82
78,107,0
32,122,150
69,93,179
76,112,0
69,118,0
71,86,42
65,52,38
78,75,177
84,159,0
32,125,97
86,195,903
85,87,97
8,0,436
66,730,506
85,119,161
84,98,0
32,53,18
67,106,167
65,98,251
83,118,194
85,84,161
65,117,360
76,60,223
32,90,38
65,117,82
84,31,648
77,680,245
79,168,344
83,74,119
80,57,76
72,86,71
79,104,0
69,153,298
82,124,57
8,215,485
69,15,0
82,76,107
69,89,207
32,86,140
84,120,303
72,62,45
65,116,31
84,94,512
32,154,72
73,110,118
83,81,77
32,154,114
71,95,244
79,73,0
68,107,103
32,128,128
70,345,55
79,15,152
82,56,121
32,178,105
69,133,35
86,711,203
69,79,39
82,67,84
89,124,139
84,115,0
72,84,84
73,117,111
78,86,21
71,32,205
32,140,19
84,0,330
79,93,104
32,98,135
70,804,192
73,74,93
82,94,56
83,124,0
84,153,0
32,151,120
68,142,273
65,164,0
84,147,92
69,118,291
83,133,49
32,211,60
84,135,0
79,146,326
32,101,177
70,886,18
65,104,371
77,737,646
73,102,150
76,65,302
89,47,195
32,90,143
68,61,197
73,75,51
78,104,288
69,132,156
82,144,140
83,106,149
32,146,86
84,180,56
79,65,255
32,151,85
66,313,623
85,82,86
83,76,52
73,82,80
78,109,163
69,191,0
83,104,127
32,160,103
77,682,4
69,156,23
84,118,62
73,126,129
78,104,234
71,95,0
83,132,222
190,567,34
32,99,152
16,558,663
84,154,123
72,40,104
69,91,321
82,63,149
69,84,220
32,142,176
73,101,178
83,113,14
32,90,91
65,142,132
32,171,124
8,388,248
72,94,91
69,109,109
32,130,129
16,57,312
8,510,332
16,752,393
8,301,328
84,141,295
72,98,142
73,63,41
83,104,97
32,192,132
83,108,325
85,76,127
8,265,220
82,93,118
69,79,393
83,134,16
84,163,192
65,135,193
85,73,174
82,63,107
65,83,174
78,92,165
84,128,132
32,151,235
73,70,73
83,92,112
32,142,129
86,510,752
69,60,0
82,85,135
89,52,96
32,130,187
67,147,237
76,91,169
69,56,158
65,101,146
78,133,72
32,150,67
65,92,135
78,78,214
68,96,0
32,66,84
89,50,6
79,114,167
85,108,122
32,64,99
68,89,0
69,77,50
70,766,640
73,86,106
78,60,194
73,110,48
84,95,361
69,167,72
76,60,224
89,66,6
32,113,97
70,309,722
69,105,434
76,65,0
32,181,158
76,96,233
73,61,176
69,124,232
75,244,407
32,112,71
89,26,99
79,130,164
85,95,137
8,323,155
75,590,861
69,83,150
32,57,174
89,106,21
79,41,104
85,63,85
32,163,86
67,136,58
65,114,0
78,95,151
32,123,134
84,58,267
82,60,148
85,45,143
83,112,27
84,120,57
32,103,109
84,69,133
72,82,163
69,75,274
32,132,93
67,111,150
79,102,95
75,554,859
83,146,169
32,147,51
8,1000,335
83,93,188
84,64,0
32,165,27
84,113,0
72,58,42
69,103,274
77,530,339
32,100,63
84,96,0
79,57,241
32,124,132
83,123,213
69,170,271
82,98,77
86,493,640
69,213,311
32,167,5
89,78,50
79,72,22
85,55,97
32,121,109
79,128,48
8,9,281
71,80,129
79,92,0
68,90,222
81,491,695
85,51,84
65,109,195
76,47,248
8,537,165
32,135,10
81,256,210
85,92,226
65,92,351
76,77,221
73,64,41
84,147,381
89,112,133
188,558,131
32,139,154
67,126,328
76,80,225
69,89,236
65,106,354
78,69,97
8,579,228
32,163,81
71,111,172
79,42,6
8,469,237
70,151,929
79,154,323
68,86,218
32,77,107
73,129,183
78,79,51
32,193,86
83,111,83
65,119,188
78,13,294
73,109,199
84,99,0
65,111,683
82,42,146
89,70,200
32,90,105
67,67,114
79,130,73
78,111,182
68,35,156
73,19,117
84,114,436
73,38,139
79,62,0
78,55,112
83,140,141
190,676,307
32,136,108
16,3,70
84,75,0
72,85,147
69,140,149
32,148,89
83,99,76
85,52,141
83,76,147
72,86,33
73,8,69
32,144,176
65,115,92
76,72,243
87,899,895
65,99,270
89,83,78
83,92,109
32,115,113
84,73,189
65,155,297
83,93,205
84,102,103
69,204,0
83,105,166
32,84,97
70,883,479
82,68,195
69,78,270
83,85,242
72,81,65
32,116,84
65,154,9
78,53,24
68,112,336
32,70,151
84,42,230
72,64,4
69,87,60
82,106,145
69,76,144
32,59,83
73,64,82
83,71,175
32,100,57
65,129,29
32,157,153
87,474,643
73,124,78
68,101,199
69,100,0
32,154,0
86,682,145
65,94,229
82,89,116
73,72,124
69,117,356
84,90,0
89,114,91
32,176,19
84,96,287
72,96,205
65,90,12
84,54,0
32,91,64
73,50,207
83,92,137
32,100,108
87,10,260
8,331,64
83,103,127
85,32,112
82,75,83
69,126,361
32,142,130
84,129,193
79,147,183
32,171,169
80,44,152
76,78,112
69,84,178
65,121,0
83,108,144
69,187,270
32,96,187
84,125,0
8,306,342
69,124,2
86,458,503
69,143,221
82,44,41
89,90,72
79,45,117
78,73,217
69,157,157
190,863,59
32,86,106
16,213,191
84,103,118
72,85,68
69,112,196
82,92,110
69,64,256
32,167,103
73,65,116
83,96,0
32,167,107
8,0,264
69,165,4
32,76,96
65,120,203
82,123,89
69,123,165
32,151,132
84,86,113
86,616,623
83,94,171
32,126,160
70,1,674
79,42,263
82,115,65
32,152,179
89,66,83
79,124,0
85,74,181
32,105,120
84,69,321
79,77,0
32,114,120
78,60,141
8,132,194
69,89,175
78,130,96
74,413,498
79,6,66
89,59,51
32,99,92
66,989,673
85,109,190
84,62,370
32,170,149
84,74,450
72,109,183
69,69,114
89,83,149
32,151,150
8,0,193
84,58,292
72,48,148
69,84,120
32,144,260
82,78,119
69,176,33
83,110,89
84,111,11
65,97,165
85,59,123
82,107,140
65,140,98
78,70,233
84,75,153
32,144,97
73,139,160
83,122,185
32,87,36
78,126,74
69,183,205
86,217,156
69,124,97
82,105,134
32,137,46
84,112,53
79,109,148
32,182,0
76,97,125
79,104,86
85,88,135
68,105,230
32,155,106
84,61,96
79,42,0
32,186,120
72,67,166
65,113,200
86,197,110
69,97,326
32,185,41
65,76,0
32,153,159
71,31,62
79,81,486
68,84,93
32,144,104
67,83,157
79,58,0
78,84,34
86,465,758
69,116,6
82,102,157
83,82,25
65,106,220
84,135,490
73,60,155
79,120,378
83,87,40
32,102,38
87,310,681
73,85,204
8,159,289
78,30,60
32,121,153
87,348,864
73,124,209
84,113,0
72,48,15
32,103,48
84,74,49
72,55,47
69,89,152
32,201,239
82,115,120
69,160,149
83,110,32
84,86,0
32,147,151
79,133,0
70,955,21
32,168,64
89,78,182
79,31,389
85,98,91
82,131,41
32,112,48
80,28,139
65,83,403
82,106,108
84,93,370
89,45,61
190,947,450
32,103,14
16,687,236
84,144,128
72,43,168
69,98,91
32,130,164
8,273,246
16,434,873
84,120,67
72,40,102
69,43,141
32,149,300
83,87,69
84,32,0
65,122,464
70,341,932
32,132,40
73,62,11
83,98,0
32,134,26
65,121,17
87,323,504
76,68,130
8,0,385
76,96,18
87,621,45
65,128,391
89,53,164
83,73,111
32,119,74
80,70,209
79,185,57
76,53,259
73,84,107
84,144,132
69,58,60
32,80,211
65,116,147
78,108,109
68,43,138
32,135,86
69,147,136
65,129,167
71,142,89
69,99,154
82,51,149
32,122,72
84,152,167
79,40,396
32,186,131
82,108,10
69,48,154
67,83,28
79,111,0
77,128,684
69,92,88
78,113,152
32,142,115
8,733,65
68,113,137
32,134,95
65,99,29
32,180,196
71,68,29
8,373,324
69,117,79
78,95,101
68,130,206
32,80,112
84,86,131
72,65,138
69,110,56
73,53,210
82,72,111
32,131,148
70,714,512
65,165,179
86,624,286
82,79,128
79,108,0
84,106,223
8,250,183
79,114,75
82,53,157
73,95,146
84,33,82
69,194,0
32,212,231
68,77,264
70,721,116
8,443,83
73,59,233
83,62,120
72,54,129
32,124,105
84,110,574
79,67,99
32,177,81
89,72,187
79,75,62
85,84,103
190,879,344
