VK,HT,FT
16,617,-1
84,116,106
72,659,377
73,25,144
83,25,97
32,155,107
16,655,407
68,305,20
85,205,527
78,42,141
75,983,782
73,83,164
78,120,187
222,964,810
32,187,93
16,216,726
68,512,180
79,173,96
78,98,149
85,244,776
84,115,216
83,121,170
32,187,206
73,84,145
8,910,725
73,84,151
83,117,151
32,150,194
65,154,95
76,559,955
87,513,979
65,137,385
89,283,71
83,43,111
32,161,115
65,118,138
32,161,125
80,206,601
76,225,73
69,153,100
65,115,141
83,117,284
85,698,394
82,89,297
69,119,97
32,88,60
84,114,141
79,121,148
32,177,115
71,298,180
79,205,148
32,150,127
84,113,33
79,19,101
190,419,309
32,161,134
16,177,245
84,118,141
72,331,107
69,74,140
32,153,119
69,153,141
77,295,503
80,762,763
79,81,149
76,152,642
8,43,186
80,171,226
76,297,660
79,83,141
89,31,235
8,967,106
76,908,421
79,76,148
89,308,484
69,79,141
83,79,151
32,184,99
65,115,97
82,115,96
69,54,345
32,155,115
78,84,148
8,227,956
75,437,619
8,164,91
78,101,156
73,84,139
67,317,814
69,120,141
32,188,156
65,115,86
78,120,121
68,981,288
32,153,104
72,47,731
69,82,231
76,191,401
80,497,336
70,178,212
85,412,893
76,943,976
32,161,173
65,118,85
78,78,104
68,450,683
32,151,158
84,83,171
72,435,832
32,145,102
8,183,993
69,155,141
32,158,155
83,117,219
84,113,100
79,81,148
82,116,176
69,138,67
32,156,148
73,79,152
83,79,207
32,225,179
65,142,97
76,794,645
87,246,625
65,118,185
89,352,824
83,149,262
32,160,131
67,848,609
76,402,620
69,84,157
78,109,429
8,572,191
65,116,150
78,99,119
191,890,239
32,192,149
16,934,135
84,126,138
72,249,926
8,975,74
190,711,105
32,154,62
16,43,434
84,83,114
72,902,126
69,153,164
82,80,119
69,120,292
32,183,104
73,79,138
83,112,54
32,155,160
65,151,141
32,195,107
78,107,400
73,79,159
67,535,854
69,82,93
32,188,156
68,182,431
73,79,140
78,84,158
73,80,137
78,87,129
71,320,630
32,167,122
65,125,143
82,109,140
69,79,96
65,148,140
32,136,142
65,116,164
78,79,399
68,342,471
32,230,122
65,129,100
32,184,133
8,852,212
70,24,166
69,84,160
65,117,142
85,955,709
84,81,107
8,703,9
84,124,192
85,173,850
82,109,123
73,55,139
78,12,40
71,680,582
32,152,129
67,846,730
79,197,148
77,239,44
70,329,693
89,895,842
32,152,99
76,307,452
8,649,362
76,751,331
79,78,89
85,659,475
71,490,995
69,109,141
32,185,184
8,867,439
78,86,156
71,865,807
69,157,99
32,114,99
67,377,721
72,844,941
65,120,92
73,41,139
82,109,146
83,118,312
32,113,60
65,16,141
78,79,142
68,877,628
32,116,232
65,122,182
32,149,170
70,515,579
76,210,631
65,152,141
84,82,51
32,150,154
67,294,753
83,121,177
8,476,734
83,183,163
67,24,187
82,153,147
69,116,47
